BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","CHORMARE2023139760","Chormare, Rishikesh; Moradeeya, Pareshkumar G.; Sahoo, Tarini Prasad; Seenuvasan, Muthulingam; Baskar, Gurunathan; Saravaia, Hitesh T.; Kumar, Madhava Anil","Conversion of solid wastes and natural biomass for deciphering the valorization of biochar in pollution abatement: A review on the thermo-chemical processes","Chemosphere",339,,"","139760",2023,"","","https://www.sciencedirect.com/science/article/pii/S0045653523020271","","","","","","","","","","","","","This overview addresses the formation of solid trash and the various forms of waste from a variety of industries, which environmentalists have embraced. The paper investigates the negative effects on the environment caused by unsustainable management of municipal solid trash as well as the opportunities presented by the formal system. This examination looks at the origins of solid waste as well as the typical treatment methods. Pyrolysis methods, feedstock pyrolysis, and lignocellulosic biomass pyrolysis were highlighted. Explain in detail the various thermochemical processes that take place during the pyrolysis of biomass. Due to its carbon content, low cost, accessibility, ubiquitousness, renewable nature, and environmental friendliness, biomass waste is a unique biochar precursor. This study looks at the different types of biomass waste that are available for treating wastewater. This study discussed a wide variety of reactors. Adsorption is the standard method that is used the most frequently to remove hazardous organic, dye, and inorganic pollutants from wastewater. These pollutants cause damage to the environment and water supplies, thus it is important to remove them. Adsorption is both simple and inexpensive to utilize. Temperature-dependent conversions explain the kinetic theories of biomaterial biochemical degradation. This article presents a review that explains how pyrolytic breakdown char materials can be used to reduce pollution and improve environmental management.","","Biochar, Pyrolysis, Remediation, Solid wastes, Thermo-chemical, Valorization","",""
7,"","NIVETHA2023137099","Nivetha, N.; Srivarshine, B.; Sowmya, B.; Rajendiran, Mangaiyarkarasi; Saravanan, Panchamoorthy; Rajeshkannan, R.; Rajasimman, M.; Pham, Thi Hong Trang; Shanmugam, VenkatKumar; Dragoi, Elena-Niculina","A comprehensive review on bio-stimulation and bio-enhancement towards remediation of heavy metals degeneration","Chemosphere",312,,"","137099",2023,"","","https://www.sciencedirect.com/science/article/pii/S0045653522035925","","","","","","","","","","","","","Pollution of heavy metals is one of the risky contaminations that should be managed for all intents and purposes of general well-being concerns. The bioaccumulation of these heavy metals inside our bodies and pecking orders will influence our people in the future. Bioremediation is a bio-mechanism where residing organic entities use and reuse the squanders that are reused to one more form. This could be accomplished by taking advantage of the property of explicit biomolecules or biomass that is equipped for restricting by concentrating the necessary heavy metal particles. The microorganisms can't obliterate the metal yet can change it into a less harmful substance. In this unique circumstance, this review talks about the sources, poisonousness, impacts, and bioremediation strategies of five heavy metals: lead, mercury, arsenic, chromium, and manganese. The concentrations here are the ordinary strategies for bioremediation such as biosorption methods, the use of microbes, green growth, and organisms, etc. This review demonstrates the toxicity of heavy metal contamination degradation by biotransformation through bacterioremediation and biodegradation through mycoremediation.","","Bioremediation, Environmental pollution, Bioaccumulation, Toxicity, Biosorption","",""
7,"","SINGH2023137917","Singh, Arun Dev; Khanna, Kanika; Kour, Jaspreet; Dhiman, Shalini; Bhardwaj, Tamanna; Devi, Kamini; Sharma, Neerja; Kumar, Pardeep; Kapoor, Nitika; Sharma, Priyanka; Arora, Priya; Sharma, Anket; Bhardwaj, Renu","Critical review on biogeochemical dynamics of mercury (Hg) and its abatement strategies","Chemosphere",319,,"","137917",2023,"","","https://www.sciencedirect.com/science/article/pii/S0045653523001844","","","","","","","","","","","","","Mercury (Hg) is among the naturally occurring heavy metal with elemental, organic, and inorganic distributions in the environment. Being considered a global pollutant, high pools of Hg-emissions ranging from >6000 to 8000 Mg Hg/year get accumulated by the natural and anthropogenic activities in the atmosphere. These toxicants have high persistence, toxicity, and widespread contamination in the soil, water, and air resources. Hg accumulation inside the plant parts amplifies the traces of toxic elements in the linking food chains, leads to Hg exposure to humans, and acts as a potential genotoxic, neurotoxic and carcinogenic entity. However, excessive Hg levels are equally toxic to the plant system and severely disrupt the physiological and metabolic processes in plants. Thus, a plausible link between Hg-concentration and its biogeochemical behavior is highly imperative to analyze the plant-soil interactions. Therefore, it is requisite to bring these toxic contaminants in between the acceptable limits to safeguard the environment. Plants efficiently incorporate or absorb the bioavailable Hg from the soil thus a constructive understanding of Hg uptake, translocation/sequestration involving specific heavy metal transporters, and detoxification mechanisms are drawn. Whereas recent investigations in biological remediation of Hg provide insights into the potential associations between the plants and microbes. Furthermore, intense research on Hg-induced antioxidants, protein networks, metabolic mechanisms, and signaling pathways is required to understand these bioremediations techniques. This review sheds light on the mercury (Hg) sources, pollution, biogeochemical cycles, its uptake, translocation, and detoxification methods with respect to its molecular approaches in plants.","","MDA- Malondialdehyde, TBARS- Thiobarbituric acid reactive substances, SH- Sulfhydryl, Nanoparticles, Transporter proteins, MRB-Mercury-resistant bacteria","",""
7,"","SAMAVATI2023530","Samavati, Zahra; Samavati, Alireza; Goh, Pei Sean; Fauzi Ismail, Ahmad; Sohaimi Abdullah, Mohd","A comprehensive review of recent advances in nanofiltration membranes for heavy metal removal from wastewater","Chemical Engineering Research and Design",189,,"","530-571",2023,"","","https://www.sciencedirect.com/science/article/pii/S026387622200675X","","","","","","","","","","","","","Despite several technological advancements and achievements, wastewater treatment continues to be a fundamental global issue. The wastewater, which contains heavy metal ions, poses an acute threat to human health if not properly cleaned, making its disposal of paramount importance. Due to its adaptable design, efficient operation, and low cost, the nanofiltration (NF) membrane is one of the most successful methods for removing heavy metals from wastewater. NF membranes made from innovative materials are gaining popularity as a result of their many advantageous features, including their ability to treat wastewater in a variety of situations. To remove heavy metal ions from wastewater, the modification of NF membrane using interfacial polymerization (IP) and grafting techniques, as well as its subsequent development via nanofiller addition, is the most effective way to tailor the properties of NF membranes. Many aspects of NF membrane modification in terms of their preparation, characteristics, and performance have been introduced. This review discusses the modification processes and performances of NF membranes for heavy metal remediation from wastewater. The findings elucidated the roles and benefits of innovative membranes for the treatment of wastewater containing heavy metals. It has been observed that high rejection is enabled by electrostatic charge induction, the creation of chelating complexes and the tuning of pore size while the high permeability and antifouling properties can be achieved through the addition of hydrophilic nanofillers. The economical and non-toxic application of polyhydroxy phenols compounds for enhancing the permeability and capture rate of heavy metal ions is also suggested for study. Finally, the research gaps and uncertainties of these NF membranes in the treatment of water contaminated with heavy metals are highlighted.","","Heavy metal removal, Nanofiltration, Interfacial polymerization, Grafting, Nanofiller materials, Wastewater","",""
7,"","MURSHED2023104023","Murshed, Sanzida; Griffin, Amy L.; Islam, Md Ashraful; Wang, Xiao Hua; Paull, David J.","Assessing sensitivity to climate-related disasters in the context of a developing country: Evidence from the coastal region of Bangladesh","International Journal of Disaster Risk Reduction",97,,"","104023",2023,"","","https://www.sciencedirect.com/science/article/pii/S2212420923005034","","","","","","","","","","","","","Climate-related disasters have become a major threat to human civilization. Since many climatic hazards cannot be prevented, recognizing the underlying factors that render societies more vulnerable might facilitate pragmatic measures for minimizing the likelihood of disasters. With this impulse, the current study developed an innovative framework for appraising various societal attributes, the interplay of which potentially adds to the vulnerabilities of the coastal region of Bangladesh. In our study, we harnessed the notion of sensitivity used in disaster discourse and proposed five major domains of sensitivity namely demographic setback, inadequacy of basic resources, economic marginality, socio-cultural impediments and fragility of policy and governance, based on the conceptual adaptation of the prior social vulnerability frameworks. A total of thirty-five context-specific variables were consolidated under these five domains. To determine the weights of the variables, the popular Analytic Hierarchy Process (AHP) technique was applied. Respective variables were summed up with appropriate weights to generate the five subindices which were eventually integrated using the additive (averaging) approach to develop a composite sensitivity index for the nineteen coastal districts. The outcomes of the sensitivity assessment were spatially mapped. Coxsbazar (0.60), Pirojpur (0.39) Bagerhat (0.38), Shariatpur (0.37), Patuakhali (0.34), and Chandpur (0.33) were the most sensitive districts, which is attributable to diverse key factors. Our study thus delineates the areas that require prioritized actions for reducing vulnerability and offers an opportunity to improve the prevailing interventions aimed at Disaster Risk Reduction across the coastal region of Bangladesh. Moreover, the integration of factors like child labor, violence against women, early marriage of girls, corruption, and crime that have not been previously considered, but often act as factors shaping increased vulnerability render the current framework a conceptual advancement for understanding sensitivity to climate-related disasters in other developing countries of the world.","","Climate-related disasters, Coastal region of Bangladesh, Societal attributes, Composite index, Analytic hierarchy process (AHP)","",""
7,"","DURIG2023100757","Dürig, Johannes; Calcagni, Maurizio; Buschmann, Johanna","Transition metals in angiogenesis – A narrative review","Materials Today Bio",22,,"","100757",2023,"","","https://www.sciencedirect.com/science/article/pii/S259000642300217X","","","","","","","","","","","","","The aim of this paper is to offer a narrative review of the literature regarding the influence of transition metals on angiogenesis, excluding lanthanides and actinides. To our knowledge there are not any reviews up to date offering such a summary, which inclined us to write this paper. Angiogenesis describes the process of blood vessel formation, which is an essential requirement for human growth and development. When the complex interplay between pro- and antiangiogenic mediators falls out of balance, angiogenesis can quickly become harmful. As it is so fundamental, both its inhibition and enhancement take part in various diseases, making it a target for therapeutic treatments. Current methods come with limitations, therefore, novel agents are constantly being researched, with metal agents offering promising results. Various transition metals have already been investigated in-depth, with studies indicating both pro- and antiangiogenic properties, respectively. The transition metals are being applied in various formulations, such as nanoparticles, complexes, or scaffold materials. Albeit the increasing attention this field is receiving, there remain many unanswered questions, mostly regarding the molecular mechanisms behind the observed effects. Notably, approximately half of all the transition metals have not yet been investigated regarding potential angiogenic effects. Considering the promising results which have already been established, it should be of great interest to begin investigating the remaining elements whilst also further analyzing the established effects.","","Transition metals, Angiogenesis inducing agents, Angiogenesis inhibitors, Vascular endothelial growth factors, Reactive oxygen species, Nanoparticles","",""
7,"","MAHMOODKHAN2023214842","Mahmood Khan, Imran; Niazi, Sobia; Akhtar, Wasim; Yue, Lin; Pasha, Imran; Khan, Muhammad Kashif Iqbal; Mohsin, Ali; Waheed Iqbal, Muhammad; Zhang, Yin; Wang, Zhouping","Surface functionalized AuNCs optical biosensor as an emerging food safety indicator: Fundamental mechanism to future prospects","Coordination Chemistry Reviews",474,,"","214842",2023,"","","https://www.sciencedirect.com/science/article/pii/S0010854522004374","","","","","","","","","","","","","Gold nanoclusters (AuNCs) are represented to be a versatile class in terms of functionality with appealing photoluminescence and optoelectronic properties, revealing huge potential in food safety. With the increased globalization of food supply, the need for stringent food regulations and safety measures has taken a prime position among health concerns. Unsafe food, harmful pathogens, or chemical substance, can be linked to an estimated 2 million deaths annually, including children. Therefore, the prior decades grasped the insurgencies in real-time monitoring devices and nanotechnology-based biosensing. The present review primarily emphasizes the development of AuNCs optical sensors to facilitate food safety assurance. Briefly, it explained the development of AuNCs optical sensors and their chemical and physical conjugation strategies of recognition elements to AuNCs. Moreover, it describes the expected synthesis principle, and sensing mechanism and summarized the recent progress of AuNCs as optical biosensors. Additionally, the present work also summarizes the application of optical AuNCs biosensors in food safety along with their sensing mechanism and challenges associated with the application of AuNCs based on recent signs of progress.","","Gold nanocluster, Optical, Biosensor, Conjugation, Synthesis, Food safety","",""
7,"","GIGI2023115210","Gigi, Greeshma; Mohan, Akhila Maheswari","Probe-impregnated monolithic polymer as a robust solid-state colorimetric chemosensor for selective sensing of Hg2+ in environmental water and cigarette samples","Environmental Research",220,,"","115210",2023,"","","https://www.sciencedirect.com/science/article/pii/S0013935123000026","","","","","","","","","","","","","The current study developed a novel aqua-compatible and naked-eye portable solid-state opto-sensor for selective and sensitive detection of ultra-trace Hg2+ ions. The developed chemosensor was fabricated by the direct impregnation of a chromoionophoric probe composed of 2,3-bis((4-isopropylbenzylidene)amino)maleonitrile (PDPM) onto the surface of structurally tailored porous polymer monolithic framework. The template exhibited a highly porous network with greater surface area, which led to the effective anchoring of probe molecules onto the surface of the polymer template, thus serving as an efficient platform to constitute a regenerative solid-state chemosensor. The sensor rendered a superior color shift from dull white to dijon yellow after complexing with Hg2+. The surface, structural, and morphological aspects of the sensor were evaluated using FE-SEM, HR-TEM, EDAX, SAED, p-XRD, N2 adsorption isotherm, and XPS. Rigorous optimization of the effects of different analytical parameters on the sensing performance of the PDPM sensor material was ensured. The monolithic sensor had an optimum sensing performance at pH 8.0, rapid signal response kinetics of 60s and a broad linear response range of 0.5–150.0 μg/L with a 0.22 μg/L detection limit. Furthermore, the sensor was also tolerant of foreign matrix constituents, thereby enabling it to be highly selective in detecting Hg2+. Sensor recovery was analyzed to be possible via Hg2+ desorption using 0.01 M EDTA without compromising its sensing performance. It had reutilization potential for up to eight regenerative cycles with excellent data reliability (recovery ≥99.4% and RSD ≤1.4%). The practicability of the fabricated sensor was investigated using various water and cigarette samples. Experimental data revealed that the developed chromoionophoric sensor was reusable, eco-friendly, low-cost, and possessed superior sensing capabilities, making it more feasible for on-site analysis of environmental samples. The designed sensor has the potential for further investigations and applications as a sensor kit for facilitating heavy metal detection in remote places.","","Mesoporous, Polymer, Monolith, Probe, Opto-chemosensor, Mercury","",""
7,"","YANG2023438","Yang, Wei; Cao, Jianwei; Cheng, Hui; Chen, Liang; Yu, Meihua; Chen, Yu; Cui, Xingang","Nanoformulations targeting immune cells for cancer therapy: mRNA therapeutics","Bioactive Materials",23,,"","438-470",2023,"","","https://www.sciencedirect.com/science/article/pii/S2452199X22004789","","","","","","","","","","","","","The approved worldwide use of two messenger RNA (mRNA) vaccines (BNT162b2 and mRNA-1273) in late 2020 has proven the remarkable success of mRNA therapeutics together with lipid nanoformulation technology in protecting people against coronaviruses during COVID-19 pandemic. This unprecedented and exciting dual strategy with nanoformulations and mRNA therapeutics in play is believed to be a promising paradigm in targeted cancer immunotherapy in future. Recent advances in nanoformulation technologies play a prominent role in adapting mRNA platform in cancer treatment. In this review, we introduce the biologic principles and advancements of mRNA technology, and chemistry fundamentals of intriguing mRNA delivery nanoformulations. We discuss the latest promising nano-mRNA therapeutics for enhanced cancer immunotherapy by modulation of targeted specific subtypes of immune cells, such as dendritic cells (DCs) at peripheral lymphoid organs for initiating mRNA cancer vaccine-mediated antigen specific immunotherapy, and DCs, natural killer (NK) cells, cytotoxic T cells, or multiple immunosuppressive immune cells at tumor microenvironment (TME) for reversing immune evasion. We highlight the clinical progress of advanced nano-mRNA therapeutics in targeted cancer therapy and provide our perspectives on future directions of this transformative integrated technology toward clinical implementation.","","mRNA delivery, Nanoformulations, Cancer immunotherapy, mRNA therapeutics, Targeted cancer therapy","",""
7,"","BIGI202311","Bigi, Francesco; Maurizzi, Enrico; Quartieri, Andrea; De Leo, Riccardo; Gullo, Maria; Pulvirenti, Andrea","Non-thermal techniques and the “hurdle” approach: How is food technology evolving?","Trends in Food Science & Technology",132,,"","11-39",2023,"","","https://www.sciencedirect.com/science/article/pii/S0924224422004836","","","","","","","","","","","","","Background Food technology has played a crucial role since the beginning of human civilization. Throughout the centuries, the evolution of food processing has led to an increase of food safety and quality, enhancing the overall quality of human life. Lately, academic research and industries have gained awareness about the impact of conventional preservation technologies like heat sterilization and chemical preservatives on environment and economy, besides the detrimental effects on the organoleptic and nutritional quality of foods. This consciousness oriented the efforts towards more sustainable techniques, paving the way to a new “green era” of food technology. Scope and approach This work explores seven non-thermal technologies, describing their theoretical principles, mechanism of action, effect on microorganisms, advantages, and limitations. Besides, the concept of hurdle technology to overcome the criticisms related to single processing techniques is highlighted. Key findings and conclusions Non-thermal technologies have the potential to substitute conventional techniques for microbial inactivation, improving the safety and quality of food. The efficiency of each technique strongly relies on the process parameters (treatment intensity; exposure time), equipment (geometry; conformation), product (physical state; composition; viscosity; geometry), and microorganism characteristics (strain; concentration; growth phase; resistance mechanisms). In this sense, the hurdle approach allows to overcome the limitations related to the single technologies, broadening their efficiency and application range, and minimizing their impact on food quality. Further studies are recommended to better understand the mechanisms of mutual interaction among these techniques when combined together in specific conditions, in view of their scaling-up for commercial applications.","","Non-thermal techniques, Food preservation, Hurdle, Food decontamination, Green technology","",""
