http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://www.w3.org/2004/02/skos/core#note,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,FENG2023137625,"Feng, Danyi; Hicks, Andrea","Environmental, human health, and CO2 payback estimation and comparison of enhanced weathering for carbon capture using wollastonite",Journal of Cleaner Production,414,,137625,2023,,https://www.sciencedirect.com/science/article/pii/S0959652623017833,"Negative emission technologies (NETs) are emerging pathways to remove carbon dioxide (CO2) from the atmosphere in order to achieve the target of the 2015 Paris Agreement that restricts global temperature increases between 1.5 °C and 2 °C. In recent years, enhanced weathering (EW) has drawn considerable attention as a potential carbon dioxide removal technology (CRD). The advantages of EW are not only to capture CO2 but also to improve the productivity of agricultural land and intensify soil water retention. Here, a comprehensive literature review is conducted for informing a cradle-to-grave life cycle impact assessment of EW of wollastonite. While previous studies report that the transportation process has the greatest environmental and human health impacts where natural rocks are used, there is currently a gap in the literature with respect to the implications of synthesized rocks. The aim of this work is to analyze and compare the environmental, human health, and CO2 payback period performances of EW for carbon capture using synthetic and natural wollastonite. The functional unit is 1 kg CO2 removed. The results indicate that the natural scenario performs better from environmental, human health, and CO2 payback perspectives when compared to the synthetic scenario.","Enhanced weathering, Carbon capture, Life cycle assessment, Synthesized and nature wollastonite, Carbon dioxide payback period"
7,GAJANAYAKE2023100013,"Gajanayake, Shashika M.; Gamage, Ranjith P.; Li, Xiao-Sen; Huppert, Herbert",Natural gas hydrates – Insights into a paradigm-shifting energy resource,Energy Reviews,2,1,100013,2023,,https://www.sciencedirect.com/science/article/pii/S277297022200013X,"Experts have identified natural gas hydrates, which are found in the shallow seabed and beneath permafrost regions, as an energy source (mostly methane) that is greener than other petroleum fuel resources. With their worldwide distribution and abundance, gas hydrates have vast potential to become the next pillar of the energy industry. Although no entity has established methane extraction from hydrates at a commercial scale yet, extensive laboratory experiments have introduced several extraction strategies. Methods such as depressurization, thermal stimulation, and inhibitor injection are likely to disturb seabed integrity, which may result in catastrophic consequences. However, the CO2 replacement method is inferred to be preserving the seabed stability, offering an opportunity to reduce anthropogenic CO2 emissions safely. In this paper, we provide a comprehensive review of the progress of experimental work in developing methane-extraction methods for gas hydrate reservoirs. Depressurization combined with thermal stimulation can be proposed as a viable methane extraction method based on laboratory-scale experiments, however, a sustainable extraction method is yet to be developed to field-scale when both economic and environmental perspectives are considered. A handful of field production runs have delivered positive outcomes to establish the exploitability of natural hydrate reservoirs, but thorough investigations and scientific collaborations are needed to develop hydrate accumulations as a commercially viable energy source.","Unconventional resources, Natural gas hydrates, Methane, Dissociation methods, CO replacement"
7,NING2023114883,"Ning, Yanrui; Wang, Lei; Yu, Xiaochuan; Li, Jing",Recent development in the decarbonization of marine and offshore engineering systems,Ocean Engineering,280,,114883,2023,,https://www.sciencedirect.com/science/article/pii/S0029801823012672,"To mitigate global warming within 1.5 °C, it is critical to leverage the resources of the marine system to reduce the magnitude of CO2 concentration in the atmosphere. Recent progress of the decarbonization in the ocean and the underlying subsurface sedimentary basin is reviewed in this study. Considerable research effort has gone into the decarbonization of cargo ships and offshore oil and gas platforms, which mainly includes two aspects: 1) replace and integrate the current fuel with clean energy, and 2) deploy the carbon capture technology. Many technologies have been demonstrated to be effective in decarbonization with some being commercialized recently. Wind turbines have been linked with emerging battery technologies to provide power to offshore projects, while other renewable energies such as wave, solar and tidal energies are in the research stage. Comparison of different CO2 storage technologies shows that CO2 storage in the offshore saline aquifers/reservoirs is more achievable from the perspectives of cost and environmental concerns. The offshore CCUS projects under operation and planning until 2022 have been summarized, most of which are planned by companies in Europe near the North Sea. Nevertheless, ocean-based negative emission technologies (NET) are still in the early stage. Due to the high cost and the potential environmental concerns, there is still a long way to go before NET can be widely deployed for application.","Decarbonization, CO storage, Carbon capture, Marine and offshore systems, Ocean-based negative emission technologies (NETs)"
7,SIMONOVA2023143,"Simonova, Aleksandra",Performing Infrastructure: The Cultural Biopolitics of the Russian State in Crimea,Russian Literature,141,,143-167,2023,Cultural Biopolitics in Russia,https://www.sciencedirect.com/science/article/pii/S030434792300011X,"This paper explores the contested status of political sovereignty and the role of infrastructure in establishing political power in Crimea, a Ukrainian territory taken over by Russia in 2014. I analyze the complexities of the construction of the Crimean Bridge, a huge infrastructure project completed by Russia in 2019 to connect Crimea with Russia, along with the bridge’s practical and symbolic value. I suggest that apart from performing a socio-economic function, the bridge has been invested with significant symbolic power, and provides material routes and forms for the construction of a unified national geohistorical consciousness. I argue that the Crimean bridge has become a “focal object” for Russian cultural biopolitics, providing a space for the state-sponsored performances of power that have come to define both the Russian political agenda and efforts to reconnect Crimea historically to Russia. Indeed, the bridge has not only connected the banks of the Kerch Strait between Crimea and the Russian mainland but has also connected different and often competing narratives of Russian history.","Infrastructure, Sovereignty, Performance, History, Biopolitics, Crimea"
7,ZGONC2023100976,"Zgonc, David; Ramos, Pia; Gao, Yifan; Hoek, Eric M. V.; Blotevogel, Jens; Rappé, Anthony K.; Mahendra, Shaily",Hot topic: thermal treatment of per- and polyfluoroalkyl substances,Current Opinion in Chemical Engineering,42,,100976,2023,,https://www.sciencedirect.com/science/article/pii/S2211339823000801,"Per- and polyfluoroalkyl substances’ (PFAS) unique chemical properties define modern expectations of synthetic chemistry for diverse consumer products and industrial applications. That same chemistry becomes problematic at the end of PFAS-containing material life cycles. Safe disposal of PFAS is important to mitigate adverse human health and ecotoxicological effects. Thermal treatment is reported to be effective in defluorinating and mineralizing many PFAS. However, thermal technologies are energy-intensive and have the potential to create harmful by-products, including fluorinated products of incomplete combustion. In this work, we critically review recent advances in thermal treatment, focusing on mature technologies such as combustion and pyrolysis plus other promising options such as alkaline hydrothermal processes, sonolysis, and supercritical water oxidation. Furthermore, we propose that thermal treatment not be used as a sole method for PFAS destruction but as a treatment train component following the separation and concentration of PFAS from impacted environmental media.",
7,COSTA2023,"Costa, Raphael Cavalcante; Borges, Guilherme Almeida; Dini, Caroline; Bertolini, Martinna; Souza, Joāo Gabriel S.; Mesquita, Marcelo Ferraz; Barão, Valentim Adelino Ricardo",Clinical efficacy of triclosan-containing toothpaste in peri-implant health: A systematic review and meta-analysis of randomized clinical trials,The Journal of Prosthetic Dentistry,,,,2023,,https://www.sciencedirect.com/science/article/pii/S0022391323005085,"ABSTRACT Statement of problem Recent evidence suggests that toothpaste containing 0.3% triclosan (TCS) is more effective than regular toothpaste in improving clinical periodontal conditions. However, a consensus on whether TCS favors a healthy peri-implant environment is limited. Purpose The purpose of this systematic review and meta-analysis of randomized clinical trials was to determine the effects of TCS-containing toothpaste on dental implant health based on clinical, immunological, and microbiological parameters, as well as on reported adverse events. Material and methods Clinical studies comparing peri-implant conditions in participants by using TCS toothpaste versus conventional fluoride toothpaste (control) were extracted from 9 databases. The studies were assessed with the Cochrane risk-of-bias tool for randomized clinical trials (RoB 2). Datasets for bleeding on probing (BOP), probing depth (PD), clinical attachment level (CAL), gingival index (GI), plaque index (PI), osteo-immunoinflammatory mediators, and bacterial load were plotted, and the standard mean difference (SMD) quantitative analysis was applied by using the Rev Man 5.3 software program. Adverse effects reported by the studies were also tabulated. The certainty of evidence was assessed by using the grading of recommendations assessment, development, and evaluation approach. Results Six studies were included in the meta-analyses. BOP was higher in the control group than in the TCS toothpaste group at 3 months (SMD −0.59 [−1.11, −.07] P=.002, I2=77%) and 6 months (SMD −0.59 [−0.83, −0.34] P=.009, I2=79%). PD (SMD −0.04 [−0.08, −0.00] P=.04, I2=0%) was also deeper in the control group versus TCS toothpaste at 6 months (SMD −0.41 [−0.73, −0.10] P=.04, I2=77%). CAL, GI, and PI did not differ between groups (P>.05). Among the osteo-immunoinflammatory mediators, IL-10 levels increased, and IL-1β and osteoprotegerin levels decreased in the TCS toothpaste group (P<.05). Microbiological findings found that TCS toothpaste prevented the growth of periodontal pathogens, specifically in up to approximately 20% of the Prevotella intermedia. Adverse effects were not reported after toothbrushing in either group. However, most studies had “some” or “high” risk of bias, and the certainty of the evidence was considered to be “very low.” Conclusions Most studies were short-term (3 and 6 months) analyses, and the results found that, although TCS-containing toothpaste had positive osteo-immunoinflammatory and microbiologic results, clinical parameters, including CAL, GI, and PI, were not influenced.",
7,ZOU2023135,"Zou, Jiyuan; Xia, Han; Jiang, Qianzhou; Su, Zhikang; Wen, Siyi; Liang, Zitian; Ouyang, Yuanting; Liu, Jiaohong; Zhang, Zhiyi; Chen, Ding; Yang, Li; Guo, Lvhua",Exosomes derived from odontogenic stem cells: Its role in the dentin-pulp complex,Regenerative Therapy,24,,135-146,2023,,https://www.sciencedirect.com/science/article/pii/S2352320423000470,"Odontogenic stem cells originate from cranial neural crest cells and offer unique advantages in the regeneration of dentin-pulp complex. There is increasing evidence that stem cells exert their biological functions mainly through exosome-based paracrine effects. Exosomes contain DNA, RNA, proteins, metabolites, etc., which can play a role in intercellular communication and have similar therapeutic potential to stem cells. In addition, compared with stem cells, exosomes also have the advantages of good biocompatibility, high drug carrying capacity, easy to obtain, and few side effects. Odontogenic stem cell-derived exosomes mainly affect the regeneration of the dentin-pulp complex by regulating processes such as dentintogenesis, angiogenesis, neuroprotection and immunomodulation. This review aimed to describe “cell-free therapies” based on odontogenic stem cell-derived exosomes, which aim to regenerate the dentin-pulp complex.","Odontogenic stem cells, Exosomes, Dentin-pulp complex, Regenerative therapy, Tissue repair"
7,HAO2023100741,"Hao, Shuyue; Wang, Mingkai; Yin, Zhifeng; Jing, Yingying; Bai, Long; Su, Jiacan",Microenvironment-targeted strategy steers advanced bone regeneration,Materials Today Bio,22,,100741,2023,,https://www.sciencedirect.com/science/article/pii/S2590006423002016,"Treatment of large bone defects represents a great challenge in orthopedic and craniomaxillofacial surgery. Traditional strategies in bone tissue engineering have focused primarily on mimicking the extracellular matrix (ECM) of bone in terms of structure and composition. However, the synergistic effects of other cues from the microenvironment during bone regeneration are often neglected. The bone microenvironment is a sophisticated system that includes physiological (e.g., neighboring cells such as macrophages), chemical (e.g., oxygen, pH), and physical factors (e.g., mechanics, acoustics) that dynamically interact with each other. Microenvironment-targeted strategies are increasingly recognized as crucial for successful bone regeneration and offer promising solutions for advancing bone tissue engineering. This review provides a comprehensive overview of current microenvironment-targeted strategies and challenges for bone regeneration and further outlines prospective directions of the approaches in construction of bone organoids.","Bone regeneration, Physiological microenvironment, Chemical microenvironment, Physical microenvironment, Biomaterials"
7,PADHYE2023131575,"Padhye, Lokesh P.; Srivastava, Prashant; Jasemizad, Tahereh; Bolan, Shiv; Hou, Deyi; Shaheen, Sabry M.; Rinklebe, Jörg; O’Connor, David; Lamb, Dane; Wang, Hailong; Siddique, Kadambot H. M.; Bolan, Nanthi",Contaminant containment for sustainable remediation of persistent contaminants in soil and groundwater,Journal of Hazardous Materials,455,,131575,2023,,https://www.sciencedirect.com/science/article/pii/S0304389423008580,"Contaminant containment measures are often necessary to prevent or minimize offsite movement of contaminated materials for disposal or other purposes when they can be buried or left in place due to extensive subsurface contamination. These measures can include physical, chemical, and biological technologies such as impermeable and permeable barriers, stabilization and solidification, and phytostabilization. Contaminant containment is advantageous because it can stop contaminant plumes from migrating further and allow for pollutant reduction at sites where the source is inaccessible or cannot be removed. Moreover, unlike other options, contaminant containment measures do not require the excavation of contaminated substrates. However, contaminant containment measures require regular inspections to monitor for contaminant mobilization and migration. This review critically evaluates the sources of persistent contaminants, the different approaches to contaminant remediation, and the various physical-chemical-biological processes of contaminant containment. Additionally, the review provides case studies of contaminant containment operations under real or simulated field conditions. In summary, contaminant containment measures are essential for preventing further contamination and reducing risks to public health and the environment. While periodic monitoring is necessary, the benefits of contaminant containment make it a valuable remediation option when other methods are not feasible.","Contaminants, Containment, Permeable reactive barriers, Stabilization and solidification, Phytostabilization"
7,XU202323,"Xu, Weichen; Zhang, Binbin; Addison, Owen; Wang, Xiutong; Hou, Baorong; Yu, Fei",Mechanically-assisted crevice corrosion and its effect on materials degradation,Corrosion Communications,11,,23-32,2023,,https://www.sciencedirect.com/science/article/pii/S2667266923000294,"Mechanically-assisted crevice corrosion (MACC) is a synergistic combination of wear and crevice corrosion. The major differences between tribocorrosion, fretting corrosion and MACC relate to the relative scale of motion and contact area, are clarified in this work. Experimental testing methods for MACC and design of simulation apparatuses are compared and discussed. MACC associated with biomedical alloys used as orthopedic implants, screws, and dental implants has been the subject of most recent research regarding this corrosion mechanism. However, there are also many engineering structures where the pre-requisite conditions for MACC are met but have to date received less scientific scrutiny. Examples are tubes and supportive bars/plates constructions, bolt-type structures and rail track foot covered by fastening systems. Reasonable selection of fretting-resistant materials, proper mounting methods and development of lubricating coating and oil/grease would be effective for mitigating MACC, and it is proposed that surface modification regarding contact geometries and surface compliances may have future promise.","Mechanically-assisted crevice corrosion, Fretting corrosion, Wear, Tribology, Mitigation"
