BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","MOCQUOT2022104244","Mocquot, Caroline; Vergnes, Jean-Noël; Julien, Laupie; Volgenant, Catherine; de Soet, Hans; Seux, Dominique; Muller-Bolla, Michèle; Kopperud, Simen E.; Staxrud, Frode; Grosgogeat, Brigitte; Doméjean, Sophie","How French dentists manage defective restorations: Evidence from ReCOL the French dental practice-based research network––A survey study","Journal of Dentistry",125,,"","104244",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222003001","","","","","","","","","","","","","Objectives The objective of this study was to describe the knowledge, opinions and practices about the defective restoration (DR) management of French general dental practitioners (GDPs). Methods A cross-sectional, online survey-based study was carried out amongst 378 GDPs - members of the dental practice-based research network in France (ReCOL). Bivariate comparisons were made using Fisher's exact test to assess the association of the respondent characteristics (age, gender…) with the decision to repair DRs, and responses to clinical cases. Results The response rate was 82.9%. 50.4% of the respondents declared they at least sometimes consider DRs repair in their clinical practice instead of DRs total replacement. For the 89.8% who at least rarely repaired DRs, the main characteristic determining the therapeutic strategy was the defect size (71%, mainly inclined to repair small defects), followed by the defect type (marginal defect or crack for more than 60% of the respondents) and the material of initial restoration (composite for 63.5%). When shown clinical photographs illustrating DRs, most of respondents proposed a replacement with inlay/onlay or crown. Conclusions This study indicates that a significant proportion of French GDPs do not make sufficient use of DR repair on a routine basis. A lack of knowledge of the concept seems to explain at least part of this situation. Collective and individual efforts from the profession are still needed to promote DR repair and therefore more often apply MinimalIntervention Dentistry. Clinical significance This survey shows that MID is not yet sufficiently used in routine practice in France regarding DR management. Further efforts (continuing education toward MID, public funding revaluation for MID strategies…) are needed to help GDPs to implement MID into everyday practice.","","Questionnaire survey, Defective restorations, France, General dental practitioners, Practice-based research network, Minimal intervention dentistry (MID)","",""
7,"","KANZOW20191","Kanzow, Philipp; Wiegand, Annette; Schwendicke, Falk; Göstemeyer, Gerd","Same, same, but different? A systematic review of protocols for restoration repair","Journal of Dentistry",86,,"","1-16",2019,"","","https://www.sciencedirect.com/science/article/pii/S0300571219301046","","","","","","","","","","","","","Objectives While repairs are increasingly recommended to manage partially defective restorations, performing the repair (including bonding to different substrates) can be challenging, and dentists should adhere to established repair protocols. We aimed to systematically assess the consistency and quality of repair protocols. Data 808 records were initially identified and 71 repair protocols based on 84 sources included. The number of published sources over time increased exponentially (p < 0.001). Recommended treatment steps varied widely. Some treatment steps were only recommended by a minority of protocols, while others were consistently recommended (e.g. surface roughening, hydrofluoric acid etching of silicate ceramics, application of an adhesive/bonding agent). The overall quality of included sources was moderate (mean ± SD 3.7 ± 0.9 out of 7 points). Sources Electronic databases (Medline via PubMed, Embase) were searched, hand searches using Google and Google Scholar conducted, and the reference lists of included full texts screened and cross-referenced. Study selection (Non-)systematic reviews, working instructions, and textbooks with protocols on direct composite repair restorations for partially defective (1) composite, (2) amalgam, (3) porcelain-fused-to-metal (PFMs) with exposed metal base, (4) ceramic/PFMs without exposed metal base, and (5) full metal restorations were included. Data synthesis was performed by tabulation of recommended treatment steps and descriptive statistics. The quality of included sources was assessed based on a checklist for guideline appraisal (MiChe). Conclusions The main treatment steps were consistently reported across repair protocols. Clinical significance Dentists may want to adopt widely recommended treatment steps when performing repairs of different restoration materials in their daily practice.","","Decision-making, Evidence-based practice, Minimally invasive dentistry, Restoration repair, Systematic review","",""
7,"","DAABASH2023104549","Daabash, Rawan; Alqahtani, Mohammed Q.; Price, Richard Bengt; Alshabib, Abdulrahman; Niazy, Abdurahman; Alshaafi, Maan M.","Surface properties and Streptococcus mutans biofilm adhesion of ion-releasing resin-based composite materials","Journal of Dentistry",134,,"","104549",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223001355","","","","","","","","","","","","","Objective To evaluate the adhesion of Streptococcus mutans (S. mutans) and related surface properties of ion-releasing resin-based composite (RBC) restorative materials. Methods Two ion-releasing RBCs, Activa (ACT) and Cention-N (CN), were compared to a conventional RBC (Z350) and a resin-modified glass ionomer cement (Fuji-II-LC). Ten disk-shaped specimens were fabricated for each material (n = 40). After standardized surface polishing procedure, the surface properties of the specimens were evaluated using surface roughness measurements by a profilometer and hydrophobicity using water contact angle measurements. To assess bacterial adhesion, the number of S. mutans bacteria was calculated from colony-forming units (CFU). Confocal laser scanning microscope analysis was done for qualitative & quantitative assessment. The data were analyzed using One-way ANOVA followed by Tukey's post-hoc test to compare the mean values of surface roughness, water contact angle and CFU values. To compare the mean dead cell percentage Kruskal-Wallis rank test and Conover test were used. A p-value of ≤ 0.05 was used to report the statistical significance. Results Z350 and ACT had the smoothest surfaces, followed by CN, and the roughest surface was seen in FUJI-II-LC. The lowest water contact angles were seen in CN, and Z350, and the highest were in ACT. S. mutans counts were the highest in ACT and the lowest in Z350 and CN. CN and Fuji-II-LC registered the highest percentage of dead bacterial cells, while the lowest were in ACT. Significance Surface properties did not significantly influence bacterial adhesion. More S. mutans bacteria accumulated on ACT than on the nanofilled composite and on CN. CN had antibacterial effects against Streptococcus mutans biofilms.","","Resin composites, Ion release, Surface properties, , Confocal laser scanning microscopy","",""
7,"","GIROTTO2023104410","dos Santos Girotto, Luiza Paloma; Chisini, Luiz Alexandre; Lynch, Christopher D.; Blum, Igor R.; Wilson, Nairn H. F.; Sarkis-Onofre, Rafael; de Carvalho, Rodrigo Varella; van de Sande, Françoise Hélène","Teaching of composite restoration repair in Brazilian dental schools","Journal of Dentistry",130,,"","104410",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223000027","","","","","","","","","","","","","Objectives The aim was to investigate aspects of the teaching of restoration repair as a minimally invasive alternative to replacing defective direct composite restorations in undergraduate curricula teaching programs in Brazilian dental schools. Methods A 14-item validated survey questionnaire was mailed to directors/coordinators of operative/restorative dentistry teachers of Brazilian Dental Schools. Data were collected on demographic characteristics of the teachers and institutions, together with questions on the teaching of the repair of defective resin-based composite restorations as part of the school curriculum; the rationale behind the teaching; the nature of the teaching (preclinical and/or clinical); how techniques were taught, indications for repair, operative techniques, materials used, patient acceptability and expected longevity of completed repairs. Results Two hundred and twenty-two (94%) directors/ coordinators of dental curricula in Brazil were contacted. One hundred and thirty-one directors/coordinators (59%) replied, providing the e-mail address from the teacher responsible for the operative/restorative dentistry program in their school. Of these, 104 responded to the questionnaire (79% response rate). Ninety-three (89%) of the participating schools reported teaching composite repairs as an alternative to replacing restorations. Of the theoretical content, 43% was taught at preclinical and clinical levels, whereas most practical experience (53%) was acquired at clinical levels. Eighty-eight schools (95%) reported tooth substance preservation being the main reason for teaching repair techniques. All schools that taught repairs reported high patient acceptability. Conclusions The teaching of composite restoration repair as an alternative to restoration replacement is established in undergraduate programs in most of the Brazilian dental schools surveyed. Clinical significance The reasons for teaching restoration repair in Brazil were found to be quite unanimous among teachers, especially regarding the preservation of tooth structure. Variations were found in the clinical indications for repair, suggesting the need for further investigations. Monitoring repaired restorations should be encouraged and could contribute to future studies.","","Composite resins, Decision-making, Questionnaire, Restoration repair, Teaching","",""
7,"","KANZOW2020103321","Kanzow, Philipp; Büttcher, Amelie F.; Wilson, Nairn H. F.; Lynch, Christopher D.; Blum, Igor R.","Contemporary teaching of posterior composites at dental schools in Austria, Germany, and Switzerland","Journal of Dentistry",96,,"","103321",2020,"","","https://www.sciencedirect.com/science/article/pii/S0300571220300609","","","","","","","","","","","","","Objective To investigate current teaching and operative techniques for posterior composite resin restorations in dental schools in Austria, Germany, and Switzerland. Methods Data on teaching, including operative techniques applied in the placement of posterior composites, were collected by means of a 25-item validated questionnaire sent to the Heads of Department of Operative/Restorative Dentistry at all 38 dental schools in Austria, Germany, and Switzerland. Responses were compiled in Excel and analysed. Results Thirty-three schools responded to the survey, resulting in a response rate of 87 %. All dental schools indicated teaching of 2- and 3-surface posterior composite restorations. About one third only of the preclinical teaching is assigned to teaching posterior composite restorations, while the vast majority of posterior restorations placed by students in their clinical instruction are composite (89.6 ± 9.3 %). Most dental schools teach few contraindications to posterior composites, except for adverse reactions such as allergies. All dental schools consider moisture control to be important, while approaches to the management of exposed dentine differ. Conclusions The teaching of the placement of posterior composite restorations is common to all the dental schools in Austria, Germany, and Switzerland which participated in the present study. Most aspects of the teaching were found to be consistent amongst the schools. However, marked variations were observed in respect of operative techniques for the placement of posterior composites. Clinical significance Graduates from dental schools in Austria, Germany, and Switzerland may be found to have received theoretical, preclinical, and clinical instruction in posterior composites, but do show some variation in approach to the management of exposed dentine.","","Education, Minimally invasive dentistry, Operative dentistry, Posterior composites, Teaching","",""
7,"","BRESSER2019103227","Bresser, R. A.; Gerdolle, D.; van den Heijkant, I. A.; Sluiter-Pouwels, L. M. A.; Cune, M. S.; Gresnigt, M. M. M.","Up to 12 years clinical evaluation of 197 partial indirect restorations with deep margin elevation in the posterior region","Journal of Dentistry",91,,"","103227",2019,"","","https://www.sciencedirect.com/science/article/pii/S0300571219302295","","","","","","","","","","","","","Objectives Deep margin elevation (DME) relocates the cervical outline of large-sized cavity dimensions in the posterior area supragingivally, using a resin composite in a direct technique. The aim of this study is to evaluate the clinical performance of partial indirect restorations with DME and compare the effects of selected baseline variables on the (quality of) survival of the restorations. Methods All teeth that were restored in combination with indirect restorations and DME between 2007 and 2016 were eligible for inclusion. Overall cumulative survival rates were calculated (Kaplan–Meier estimates) and compared among subsets of variables. Qualitative evaluation of all surviving restorations was performed using the modified United States Public Health Service (USPHS) criteria using Chi-square tests. Results A total of 197 indirect restorations in 120 patients could be included. Restorations or teeth presenting with secondary caries, fracture of the restoration/tooth, debonding of the indirect restoration, root caries, severe periodontal breakdown or pulpal necrosis were considered as absolute failures (n = 8) leading to an overall cumulative survival rate of 95.9% (SE 2.9%) up to 12 years, with an average evaluation time of 57.7 months. Some indication of degradation of the restorations was seen over time. Indirect composite restorations showed more degradation compared to ceramic restorations (p = 0.000). More wear of the antagonist was observed when teeth were opposed to ceramic restorations (p = 0.04). Endodontic treatment negatively impacted the occurrence of fracture of restorations and teeth (p = 0.000). Conclusions Indirect restorations with DME have a good survival rate in this study, however longer follow-up is needed as degradation of the restorations is seen over time. Clinical significance This long-term study shows the possible clinical applicability of deep margin elevation.","","Partial indirect restoration, Clinical study, Adhesion, Deep margin elevation, Immediate dentin sealing, Margin relocation","",""
7,"","GE2022104272","Ge, Kelsey Xingyun; Quock, Ryan; Chu, Chun-Hung; Yu, Ollie Yiru","The preventive effect of glass ionomer restorations on new caries formation: A systematic review and meta-analysis","Journal of Dentistry",125,,"","104272",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222003281","","","","","","","","","","","","","Objective To investigate the effectiveness of glass ionomer cement (GIC) restorations on preventing new caries in primary or permanent dentitions compared with other types of restorations. Data Randomized controlled clinical trials evaluating caries experience increment or caries incidence in patients with GIC restorations, including conventional GIC (CGIC) and resin-modified GIC (RMGIC) restorations, were included. Sources A systematic search of publications in English was conducted in PubMed/Medline, Web of Science, Cochrane, and Scopus databases. Study selection/results This review included 10 studies reporting caries preventive effect of GIC restorations and selected 5 studies for meta-analysis. Patients with GIC restorations showed lower caries incidence compared with other restorations in primary and permanent dentition [RR=0.67, 95% CI:0.55–0.82, p < 0.0001]. Patients with CGIC restorations showed lower caries incidence compared with amalgam restorations [RR=0.57, 95% CI:0.43–0.76, p = 0.0001] and RMGIC restorations [RR=0.70, 95% CI:0.56–0.87, p = 0.002], but no statistical difference with composite resin restorations [RR=0.73, 95% CI:0.51–1.04, p = 0.08] in primary dentition. Patients with RMGIC restorations showed no statistical differences of caries incidence compared with composite resin restorations in primary and permanent dentition [RR=0.83, 95% CI:0.56–1.22, p = 0.33]. Conclusions GIC restorations presented a better preventive effect on new caries than other restorations did in primary and permanent dentitions. CGIC restorations presented a better caries preventive effect on new caries than RMGIC and amalgam restorations in primary dentitions did. RMGIC restorations showed similar preventing effect on new caries with composite resin restorations in primary and permanent dentitions. Clinical significance This review affirmed the potential of GIC in preventing new caries development in the dentition.","","Glass ionomer cement, Resin-modified glass ionomer cement, Caries prevention, Fluoride, Systematic review","",""
7,"","CHANDRAN2022104349","Chandran, Segin; Sers, Laurent; Picciocchi, Guido; Luongo, Fabrizia; Lerner, Henriette; Engelschalk, Marcus; Omar, Sam","Guided implant surgery with R2Gate®: A multicenter retrospective clinical study with 1 year of follow-up","Journal of Dentistry",127,,"","104349",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222004018","","","","","","","","","","","","","Purpose To present the results obtained with a novel sleeveless and keyless guided implant surgery system. Methods Inclusion criteria for this multicenter clinical retrospective study were fully or partially edentulous patients who had been treated with a sleeveless and keyless guided implant surgery system (R2Gate®, Megagen), and who had been rehabilitated with fixed restorations, with a minimum follow-up of 1 year. All surgeries and prosthetic procedures were conducted following the same protocol, and data were obtained from the patients’ medical records. The outcomes were the fit and stability of the surgical guide, any intra-operative and immediate post-operative complications, any biologic and prosthetic complications that occurred during the 1-year follow-up period, implant survival, and prosthetic success. Results Sixty patients were selected for the installation of 124 implants, through a guided procedure: 66 sleeveless, keyless surgical guides were manufactured. The incidence of immediate intra-operative (lack of space: 12.1%; lack of implant stability 2.6%) and immediate post-operative (pain and discomfort: 6.6%; mild swelling 3.3%) complications was low. In total, 112/124 implants (90.3%) were successfully placed with a guided procedure, in 52 patients; among them, 82 (73.2%) were placed with a flapless procedure. Thirty fixtures supported single crowns (SCs), 42 fixed partial dentures (FPDs) and 52 full-arch (FA) restorations. Sixty-two fixed prosthetic restorations (30 SCs, 22 FPDs and 10 FAs) were delivered; among these restorations, 15 (24.1%) were subjected to immediate functional loading. All implants (100%) survived. Two implants had peri‑implant mucositis (1.6%), two SCs had abutment screw loosenings (1.6%), two FAs and one FPD had ceramic chipping/fracture (2.4%), for an overall prosthetic success amounting to 88.7%. Conclusions Within the limits of this study, this novel guided surgery system appeared to be clinically reliable; further studies are needed to confirm these results. Statement of Clinical Relevance The use of sleveless and keyless surgical guides can be clinically reliable and may be represent a valid option for the surgeon.","","Guided implant surgery, Cone beam computed tomography (CBCT), Immediate loading, Flapless surgery, Computer-assisted-design/computer-aided-manufacturing (CAD/CAM), Implants, Complications, Survival, Success","",""
7,"","MARTIN2022103948","Martin, Nicolas; Mulligan, Steven; Fuzesi, Peter; Hatton, Paul V.","Quantification of single use plastics waste generated in clinical dental practice and hospital settings","Journal of Dentistry",118,,"","103948",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222000057","","","","","","","","","","","","","Objectives To quantify (by number and mass) single use plastic waste generated from the provision of oral healthcare in primary and secondary care clinical dental settings in the UK. Methods An observational study of four dental practices and the clinics of a UK undergraduate dental teaching hospital was conducted. A range of routine common procedures were observed by trained and calibrated observers; these were: Examinations, endodontics, periodontics, direct placement restorations, fixed and removable prosthodontics and oral surgery. The PPE items used before and during the COVID-19 pandemic were also included. Results Routine ‘surgery set up’ generic items present a significant proportion of SUP plastic waste as these are used in every instance of patient treatment. An average of twenty-one (n = 21) SUP plastic waste items are used for every procedure with a mean mass of 354 g per procedure (including set up and clean up). The use of PPE increased from 14 items (pre-COVID -19) to 19 items during the pandemic. SUP items are constructed from a single plastic or from multiple plastics forming compound structures (heteropolymers); with an approximate 50:50 distribution. Conclusions The dental profession, at the point of care, uses a high volume of single use plastic that becomes clinical waste. The use of personal protective equipment (PPE) significantly increased during the COVID 19 pandemic and this accounts for the single greatest contribution of single use plastic, as this is used for every clinical procedure. Clinical Significance Manufacturers, distributors and oral healthcare providers have an opportunity to consider and implement approaches that include effective waste management with reduction, recovery and recycling at its core, towards transforming oral healthcare to a circular plastics economy.","","Single use plastics, SUPs, Dentistry, Waste management","",""
7,"","SCHWENDICKE2021103614","Schwendicke, Falk; Rossi, Jesus Gomez; Krois, Joachim; Basso, Matteo; Peric, Tamara; Turkun, Lezize Sebnem; Miletić, Ivana","Cost-effectiveness of glass hybrid versus composite in a multi-country randomized trial","Journal of Dentistry",107,,"","103614",2021,"","","https://www.sciencedirect.com/science/article/pii/S030057122100035X","","","","","","","","","","","","","Objectives We assessed the cost-effectiveness of two amalgam alternatives, glass hybrid (GH) and composite (CO) in a multi-country randomized controlled split-mouth trial. Materials University clinics in Croatia, Serbia, Italy and Turkey participated. Pairs of GH (EQUIA Forte, GC) and a nano-hybrid CO (TetricEvoCeram, IvoclarVivadent) were randomly placed in occlusal-proximal two-surfaced cavities in permanent molars of adults (n = 180/360 patients/molars). We used 3-years interim data for this evaluation. FDI-2 criteria were applied and teeth requiring repair, re-restoration, endodontic treatment or extraction recorded. Our outcome was the time until any or major complications (requiring endodontic treatment or extraction) occurred. Costs were calculated in US Dollar (USD) 2018, with the local currencies being converted using Purchasing Power Parities. To estimate initial and re-treatment costs, a payers’ perspective was taken and direct medical costs estimated from fee item catalogues. Incremental-cost-effectiveness ratios (ICER) were used to express the cost difference per gained or lost effectiveness. Results Overall costs were lower for GH than CO in Croatia, Turkey and Serbia, while this difference was minimal in Italy. GH tended to survive longer than CO in Croatia and Italy, and shorter in Serbia and Turkey; overall survival time was not significantly different (p = 0.67/log-rank). The cost-effectiveness differences indicated CO to be more expensive at limited (ICER: 268.5 USD/month without any complications) or no benefit at all (-186.2 USD/month without major complications). Conclusions GH was less costly than CO both initially and over 3 years. Efficacy differences were extremely limited. Clinical significance Given their low initial costs and as efficacy between GH and CO did not differ significantly, GH had a high chance of being more cost-effective within this specific trial.","","Caries, Clinical studies, Dental materials, Economic evaluation, Health services research","",""
