BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","KANZOW2020103321","Kanzow, Philipp; Büttcher, Amelie F.; Wilson, Nairn H. F.; Lynch, Christopher D.; Blum, Igor R.","Contemporary teaching of posterior composites at dental schools in Austria, Germany, and Switzerland","Journal of Dentistry",96,,"","103321",2020,"","","https://www.sciencedirect.com/science/article/pii/S0300571220300609","","","","","","","","","","","","","Objective To investigate current teaching and operative techniques for posterior composite resin restorations in dental schools in Austria, Germany, and Switzerland. Methods Data on teaching, including operative techniques applied in the placement of posterior composites, were collected by means of a 25-item validated questionnaire sent to the Heads of Department of Operative/Restorative Dentistry at all 38 dental schools in Austria, Germany, and Switzerland. Responses were compiled in Excel and analysed. Results Thirty-three schools responded to the survey, resulting in a response rate of 87 %. All dental schools indicated teaching of 2- and 3-surface posterior composite restorations. About one third only of the preclinical teaching is assigned to teaching posterior composite restorations, while the vast majority of posterior restorations placed by students in their clinical instruction are composite (89.6 ± 9.3 %). Most dental schools teach few contraindications to posterior composites, except for adverse reactions such as allergies. All dental schools consider moisture control to be important, while approaches to the management of exposed dentine differ. Conclusions The teaching of the placement of posterior composite restorations is common to all the dental schools in Austria, Germany, and Switzerland which participated in the present study. Most aspects of the teaching were found to be consistent amongst the schools. However, marked variations were observed in respect of operative techniques for the placement of posterior composites. Clinical significance Graduates from dental schools in Austria, Germany, and Switzerland may be found to have received theoretical, preclinical, and clinical instruction in posterior composites, but do show some variation in approach to the management of exposed dentine.","","Education, Minimally invasive dentistry, Operative dentistry, Posterior composites, Teaching","",""
7,"","BRESSER2019103227","Bresser, R. A.; Gerdolle, D.; van den Heijkant, I. A.; Sluiter-Pouwels, L. M. A.; Cune, M. S.; Gresnigt, M. M. M.","Up to 12 years clinical evaluation of 197 partial indirect restorations with deep margin elevation in the posterior region","Journal of Dentistry",91,,"","103227",2019,"","","https://www.sciencedirect.com/science/article/pii/S0300571219302295","","","","","","","","","","","","","Objectives Deep margin elevation (DME) relocates the cervical outline of large-sized cavity dimensions in the posterior area supragingivally, using a resin composite in a direct technique. The aim of this study is to evaluate the clinical performance of partial indirect restorations with DME and compare the effects of selected baseline variables on the (quality of) survival of the restorations. Methods All teeth that were restored in combination with indirect restorations and DME between 2007 and 2016 were eligible for inclusion. Overall cumulative survival rates were calculated (Kaplan–Meier estimates) and compared among subsets of variables. Qualitative evaluation of all surviving restorations was performed using the modified United States Public Health Service (USPHS) criteria using Chi-square tests. Results A total of 197 indirect restorations in 120 patients could be included. Restorations or teeth presenting with secondary caries, fracture of the restoration/tooth, debonding of the indirect restoration, root caries, severe periodontal breakdown or pulpal necrosis were considered as absolute failures (n = 8) leading to an overall cumulative survival rate of 95.9% (SE 2.9%) up to 12 years, with an average evaluation time of 57.7 months. Some indication of degradation of the restorations was seen over time. Indirect composite restorations showed more degradation compared to ceramic restorations (p = 0.000). More wear of the antagonist was observed when teeth were opposed to ceramic restorations (p = 0.04). Endodontic treatment negatively impacted the occurrence of fracture of restorations and teeth (p = 0.000). Conclusions Indirect restorations with DME have a good survival rate in this study, however longer follow-up is needed as degradation of the restorations is seen over time. Clinical significance This long-term study shows the possible clinical applicability of deep margin elevation.","","Partial indirect restoration, Clinical study, Adhesion, Deep margin elevation, Immediate dentin sealing, Margin relocation","",""
7,"","GE2022104272","Ge, Kelsey Xingyun; Quock, Ryan; Chu, Chun-Hung; Yu, Ollie Yiru","The preventive effect of glass ionomer restorations on new caries formation: A systematic review and meta-analysis","Journal of Dentistry",125,,"","104272",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222003281","","","","","","","","","","","","","Objective To investigate the effectiveness of glass ionomer cement (GIC) restorations on preventing new caries in primary or permanent dentitions compared with other types of restorations. Data Randomized controlled clinical trials evaluating caries experience increment or caries incidence in patients with GIC restorations, including conventional GIC (CGIC) and resin-modified GIC (RMGIC) restorations, were included. Sources A systematic search of publications in English was conducted in PubMed/Medline, Web of Science, Cochrane, and Scopus databases. Study selection/results This review included 10 studies reporting caries preventive effect of GIC restorations and selected 5 studies for meta-analysis. Patients with GIC restorations showed lower caries incidence compared with other restorations in primary and permanent dentition [RR=0.67, 95% CI:0.55–0.82, p < 0.0001]. Patients with CGIC restorations showed lower caries incidence compared with amalgam restorations [RR=0.57, 95% CI:0.43–0.76, p = 0.0001] and RMGIC restorations [RR=0.70, 95% CI:0.56–0.87, p = 0.002], but no statistical difference with composite resin restorations [RR=0.73, 95% CI:0.51–1.04, p = 0.08] in primary dentition. Patients with RMGIC restorations showed no statistical differences of caries incidence compared with composite resin restorations in primary and permanent dentition [RR=0.83, 95% CI:0.56–1.22, p = 0.33]. Conclusions GIC restorations presented a better preventive effect on new caries than other restorations did in primary and permanent dentitions. CGIC restorations presented a better caries preventive effect on new caries than RMGIC and amalgam restorations in primary dentitions did. RMGIC restorations showed similar preventing effect on new caries with composite resin restorations in primary and permanent dentitions. Clinical significance This review affirmed the potential of GIC in preventing new caries development in the dentition.","","Glass ionomer cement, Resin-modified glass ionomer cement, Caries prevention, Fluoride, Systematic review","",""
7,"","CHO2023104739","Cho, Jun-Ho; Yi, Yuseung; Choi, Jinhyeok; Ahn, Junseong; Yoon, Hyung-In; Yilmaz, Burak","Time efficiency, occlusal morphology, and internal fit of anatomic contour crowns designed by dental software powered by generative adversarial network: A comparative study","Journal of Dentistry",138,,"","104739",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223003251","","","","","","","","","","","","","Objectives To evaluate the time efficiency, occlusal morphology, and internal fit of dental crowns designed using generative adversarial network (GAN)-based dental software compared to conventional dental software. Methods Thirty datasets of partial arch scans for prepared posterior teeth were analyzed. Each crown was designed on each abutment using GAN-based software (AI) and conventional dental software (non-AI). The AI and non-AI groups were compared in terms of time efficiency by measuring the elapsed work time. The difference in the occlusal morphology of the crowns before and after design optimization and the internal fit of the crown to the prepared abutment were also evaluated by superimposition for each software. Data were analyzed using independent t tests or Mann–Whitney test with statistical significance (α=.05). Results The working time was significantly less for the AI group than the non-AI group at T1, T5, and T6 (P≤.043). The working time with AI was significantly shorter at T1, T3, T5, and T6 for the intraoral scan (P≤.036). Only at T2 (P≤.001) did the cast scan show a significant difference between the two groups. The crowns in the AI group showed less deviation in occlusal morphology and significantly better internal fit to the abutment than those in the non-AI group (both P<.001). Conclusions Crowns designed by AI software showed improved outcomes than that designed by non-AI software, in terms of time efficiency, difference in occlusal morphology, and internal fit. Clinical significance The GAN-based software showed better time efficiency and less deviation in occlusal morphology during the design process than the conventional software, suggesting a higher probability of optimized outcomes of crown design.","","Deep learning, Computer aided design, Dental crown, Time efficiency, Occlusal morphology, Internal fit","",""
7,"","TSUTSKOV2022104016","Tsutskov, Oleksandr; Voitovych, Viktoriia; Cavalcanti, Alessandro; Bilei, Anastasiia","C-Factor impact and class II direct restoration success: 1 year analysis using complex digitally improved research model","Journal of Dentistry",121,,"","104016",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222000732","","","","","","","","","","","","","Purpose To verify the potential impact of the C-factor and its subcomponents on the clinical success of Class II direct composite restorations by using a complex digitally-improved research model. Methods During caries treatment 64 Class II cavities were prepared among patients of University Dental Clinic (Uzhhorod National University, Ukraine). Each prepared cavity was scanned by Medit i500 intraoral scanner (MEDIT corp., Seoul, Korea). The second scanning procedure was provided after direct composite restoration placement with its further contouring, polishing and occlusal correction. Obtained pairs of *.stl-files were imported into Autodesk Meshmixer software (Autodesk Inc., San Rafael, CA, USA), and pair-wised analyzed in means of exact cavity volume, the surface area of the cavity walls, width, length, and height of each cavity, exact filling volume, objectified C-factor value. Results Mean 1-year success rate for Class II restoration by the USPHS criteria was 90.71±4.27%, while no statistically significant correlation was registered between C-factor value (C=2) and registered level of composite direct restoration success (р > 0.05). Meanwhile, the statistical association was established (р < 0.05), when the C-factor was objectified as the ratio of absolute surfaces’ areas (Cmean=2.71±0.54) based on obtained digital scans. Geometrical subcomponents of C-factors, such as depth of cavity (р < 0.05) and restoration volume (р < 0.05) also demonstrated statistically augumented relations with clinical success of fillings after 1-year of monitoring. Conclusions Digitally-improved research model helped to establish the clinically valuable level of inter-relations between C-factor subcomponents and success of direct composite Class II restorations, while the analog investigational approach has not supported prominent evidence regarding such interdependence.","","c-factor, digital model, direct restoration, stl","",""
7,"","CHANDRAN2022104349","Chandran, Segin; Sers, Laurent; Picciocchi, Guido; Luongo, Fabrizia; Lerner, Henriette; Engelschalk, Marcus; Omar, Sam","Guided implant surgery with R2Gate®: A multicenter retrospective clinical study with 1 year of follow-up","Journal of Dentistry",127,,"","104349",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222004018","","","","","","","","","","","","","Purpose To present the results obtained with a novel sleeveless and keyless guided implant surgery system. Methods Inclusion criteria for this multicenter clinical retrospective study were fully or partially edentulous patients who had been treated with a sleeveless and keyless guided implant surgery system (R2Gate®, Megagen), and who had been rehabilitated with fixed restorations, with a minimum follow-up of 1 year. All surgeries and prosthetic procedures were conducted following the same protocol, and data were obtained from the patients’ medical records. The outcomes were the fit and stability of the surgical guide, any intra-operative and immediate post-operative complications, any biologic and prosthetic complications that occurred during the 1-year follow-up period, implant survival, and prosthetic success. Results Sixty patients were selected for the installation of 124 implants, through a guided procedure: 66 sleeveless, keyless surgical guides were manufactured. The incidence of immediate intra-operative (lack of space: 12.1%; lack of implant stability 2.6%) and immediate post-operative (pain and discomfort: 6.6%; mild swelling 3.3%) complications was low. In total, 112/124 implants (90.3%) were successfully placed with a guided procedure, in 52 patients; among them, 82 (73.2%) were placed with a flapless procedure. Thirty fixtures supported single crowns (SCs), 42 fixed partial dentures (FPDs) and 52 full-arch (FA) restorations. Sixty-two fixed prosthetic restorations (30 SCs, 22 FPDs and 10 FAs) were delivered; among these restorations, 15 (24.1%) were subjected to immediate functional loading. All implants (100%) survived. Two implants had peri‑implant mucositis (1.6%), two SCs had abutment screw loosenings (1.6%), two FAs and one FPD had ceramic chipping/fracture (2.4%), for an overall prosthetic success amounting to 88.7%. Conclusions Within the limits of this study, this novel guided surgery system appeared to be clinically reliable; further studies are needed to confirm these results. Statement of Clinical Relevance The use of sleveless and keyless surgical guides can be clinically reliable and may be represent a valid option for the surgeon.","","Guided implant surgery, Cone beam computed tomography (CBCT), Immediate loading, Flapless surgery, Computer-assisted-design/computer-aided-manufacturing (CAD/CAM), Implants, Complications, Survival, Success","",""
7,"","VOGLER2023104723","Vogler, Jonas Adrian Helmut; Stummer, Anna-Lena; Walther, Kay-Arne; Wöstmann, Bernd; Rehmann, Peter","Survival of teeth treated with post and core - A retrospective study of more than 1000 cases with observation periods up to 18 years","Journal of Dentistry",138,,"","104723",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223003093","","","","","","","","","","","","","Objectives Even if survival of post and core (PC) itself was frequently investigated in recent literature, clinical data concerning the risk for extraction of teeth restored with PC is still scarce. Since most authors found the loss of retention of refitable post and cores as the most common cause of failure, it is impossible to draw a conclusion on tooth survival on the results of those studies. Therefore, the aim of the present study was to improve the clinical evidence on the survival of teeth treated with post and cores on a large number of cases over a long observation period. Materials and methods 735 patients were treated with 1053 post and cores in the observation period (2004–2022) and could be included in the study. The patient files were analysed due to the parameters: Type of covering prosthetic restoration, location, type of tooth, luting material, post and core material, bone attachment and therapist. The survival probability was assessed using Kaplan-Meyer analysis. Cox regression was used to assess possible multifactorial influences. Results The overall average survival time until necessary extraction of a tooth restored with a post and core was 11.74 years. A root fracture in primary crown retained removeable partial dentures (RPDs) during the first five years was the most common reason for extraction in this study. A significant influence on the survival time of teeth restored with post and cores was found for the type of covering restoration, bone attachment, age of the patient and post and core material. Conclusions Post and core restored teeth should be avoided as abutments for primary crown retained RPDs. Clinical significance If it is inevitable to utilise post and core restored teeth for primary crown retained RPDs, post and core materials with matching mechanical properties to that of dentine should be preferred.","","Post and core, Survival time, Cox regression, Kaplan-Meyer analysis, Retrospective study","",""
7,"","DIKENTURKSAYAR2022104155","Diken Turksayar, Almira Ada; Donmez, Mustafa Borga; Olcay, Emin Orkun; Demirel, Münir; Demir, Esra","Effect of printing orientation on the fracture strength of additively manufactured 3-unit interim fixed dental prostheses after aging","Journal of Dentistry",124,,"","104155",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222002111","","","","","","","","","","","","","Objectives To evaluate the effect of printing orientation on the fracture strength of 3-unit interim fixed dental prostheses fabricated by using additive manufacturing and to compare with those fabricated by subtractive manufacturing after thermomechanical aging. Materials and methods A 3-unit fixed dental prosthesis was designed by using a dental design software (exocad DentalCAD 2.2 Valetta) in standard tessellation language (STL) format. This STL file was exported into a nesting software (PreForm) and 3-unit interim fixed dental prostheses with 5 different orientations (0°, 30°, 45°, 90°, and 150°) were printed by using a 3-dimensional (3D) printing interim resin (Temporary CB) (n = 10). The same STL file was also used to mill polymethymethacrylate (DuoCAD) 3-unit interim fixed dental prostheses as the control group (n = 10). All specimens were cemented onto cobalt-chromium test models representing a maxillary first premolar and first molar tooth with a long-term temporary cement (DentoTemp), and subjected to thermomechanical aging (120,000 cycles, 1.6 Hz, 50 N, 5–55 °C). Then, all specimens were loaded until fracture by using a universal tester. The data were analyzed with nonparametric 1-way analysis of variance (Kruskal-Wallis) and Dunn's tests (α = 0.05). Results Additively manufactured specimens printed with 90° showed the lowest fracture strength values (P≤.048). However, the difference between specimens printed with 45° and 90° was nonsignificant (P>.05). Milled 3-unit interim fixed dental prostheses withstood significantly higher loads than 3-unit interim fixed dental prostheses printed with 45° and 150° (P≤.012). In addition, specimens printed with 0° showed higher fracture strength than the specimens printed with 45° (P=.01). Specimens printed with 0° and 30° presented similar fracture strength values with milled (P≥.057) and 150° printed (P>.05) specimens. Conclusions Printing orientation had a significant effect on the fracture strength of 3-unit interim fixed dental prostheses. Among the additively manufactured samples, those printed with 0° showed similar fracture strength values with the subtractively manufactured samples. Clinical significance Three-unit interim fixed dental prostheses fabricated with 0° and 30° using the 3D printing interim resin tested may be alternatives to milled PMMA in terms of fracture strength.","","Fracture strength, Interim restoration, Printing orientation, Thermomechanical aging","",""
7,"","SKJOLD2022104271","Skjold, Anneli; Schriwer, Christian; Gjerdet, Nils Roar; Øilo, Marit","Fractographic analysis of 35 clinically fractured bi-layered and monolithic zirconia crowns","Journal of Dentistry",125,,"","104271",2022,"","","https://www.sciencedirect.com/science/article/pii/S030057122200327X","","","","","","","","","","","","","Objectives The aim of this retrieval study was to analyze the fracture features and identify the fracture origin of zirconia-based single crowns that failed during clinical use. Methods Thirty-five fractured single crowns were retrieved from dental practices (bi-layered, n = 15; monolithic, n = 20). These were analyzed according to fractographic procedures by optical and scanning electron microscopy to identify fracture patterns and fracture origins. The fracture origins were closely examined. The crown margin thickness and axial wall height were measured. Results Three types of failure modes were observed: total fractures, marginal semilunar fractures, and incisal chippings. Most of the crowns (23) had fracture origins at the crown margin and seven of them had defects in the fracture origin area. The exact fracture origin was not possible to identify due to missing parts in four crowns. The crown wall thickness was 20% thinner and wall height 30% shorter in the fracture origin area compared to the opposite side. Conclusions The findings in this study show that fractography can reveal fracture origins and fracture modes of both monolithic and bi-layered dental zirconia. The findings indicate that the crown margin on the shortest axial wall is the most common fracture origin site. Clinical significance Crown design factors such as material thickness at the margin, axial wall height and preparation type affects the risk of fracture. It is important to ensure that the crown margins are even and flawless.","","Ceramics, Zirconium dioxide, Fractography, Retrieval, Crown design, Fracture origin","",""
7,"","EMARA2020103330","Emara, Ramy; Krois, Joachim; Schwendicke, Falk","Maintaining pulpal vitality: Cost-effectiveness analysis on carious tissue removal and direct pulp capping","Journal of Dentistry",96,,"","103330",2020,"","","https://www.sciencedirect.com/science/article/pii/S0300571220300695","","","","","","","","","","","","","Objectives When managing deep carious lesions, dentists can maintain pulp vitality via (1) avoiding pulp exposure and complications by performing selective (SE) instead of non-selective (NS) carious tissue removal, and/or (2) treat exposed pulps by direct capping with mineral-trioxide-aggregate (MTA) instead of calcium hydroxide (CH). We assessed the cost-effectiveness of SE vs. NS combined with direct pulp capping using MTA vs. CH. Methods A mixed public-private-payer perspective within German healthcare was applied. We modeled a permanent molar with a deep carious lesion and a vital asymptomatic pulp. The lesion was treated by SE/NS and, in case of exposure, direct pulp capping using MTA/CH. The tooth was followed over the lifetime of an initially 30-year-old patient using Markov-models, informed by pairwise and Bayesian network meta-analyses and further data sources. The primary health outcome was tooth-retention time. Costs were derived from German fee item catalogues, combined with micro-costing. Monte-Carlo micro-simulation was performed, and uncertainty introduced via probabilistic and univariate sensitivity analyses. Value-of-information-analysis (VOI) was performed to quantify the value of further research. Results SE and, in case of pulp exposure, MTA had a high chance (>95 %) of being cost-effective, with teeth being retained for 37.37 years at costs of 2140 Euro in mean. Alternative strategies were both more costly and less effective; this ranking was robust in sensitivity analyses. The VOI was 1.18 Euro per treated case and 12.86 million Euro on population-level. Conclusion Selective carious tissue removal and, in case of pulp exposure, direct capping with MTA was the most cost-effective strategy. Clinical significance Avoiding pulp exposure was more relevant for cost-effectiveness than how the exposed pulp was managed. Overall differences remain limited, though, and dentists may want to tailor treatment strategies according to their expertise and patients’ expectations.","","Calcium hydroxide, Dental caries, Direct capping, Health economics, MTA, Selective carious tissue removal","",""
