BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","FORGIONE2023104361","Forgione, Diletta; Nassar, Mohannad; Seseogullari-Dirihan, Roda; Jamleh, Ahmed; Tezvergil-Mutluay, Arzu","Effect of phytic acid on dentinal collagen solubilization and its binding and debinding potentials to dentin","Journal of Dentistry",128,,"","104361",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571222004134","","","","","","","","","","","","","Objectives To study phytic acid (IP6) effect on collagen solubilization by assessing hydroxyproline (HYP) release, evaluate its binding to demineralized (DD) and mineralized dentin (MD) and determine the effect of different media on debinding of IP6. Methods Demineralized dentin beams were incubated in 1%, 2% or 3% IP6 and HYP release was evaluated at 1 or 3 weeks and compared to those obtained in untreated control or phosphoric acid (PA)-treated beams. DD or MD powder was treated with 1%, 2% or 3% IP6 and the decrease in IP6 amount was quantitated by ultraviolet–visible spectroscopy. IP6-treated samples were re-suspended in distilled water, ethanol, urea or sodium chloride and the amount of IP6 displaced was determined. Results At 1 week, the control group and IP6 showed lower HYP release when compared to PA (P < 0.05). There was no difference among PA, IP6 and control at 3 weeks (P = 0.22). IP6 binding was concentration dependent. 1% IP6 had higher binding potential with MD compared to DD while 2% IP6 showed the opposite result (P<0.05). 3% IP6 had similar binding values between DD and MD (P = 0.53). The highest debinding in MD occurred with urea for 2%, 3% and 1% IP6 in descending manner. Within each concentration of IP6 in DD, the highest debinding effect was reported with ethanol. Conclusions IP6 bound to DD and MD in a concentration-dependent manner. IP6 was debound from DD mostly by the action of ethanol, while in MD, urea caused the most displacement. Collagen solubilization of IP6-treated DD was comparable to untreated DD. Clinical significance These findings add to the potential use of IP6 as an alternative to PA for dentin etching which possibly results in long-term stability of resin-dentin adhesion.","","Phytic acid, Collagen, Binding, Debinding, Phosphoric acid, Dentin","",""
7,"","WENDLINGER2023104481","Wendlinger, M.; Pomacóndor-Hernández, C.; Pintado-Palomino, K.; Cochinski, G. D.; Loguercio, A. D.","Are universal adhesives in etch-and-rinse mode better than old 2-step etch-and-rinse adhesives? One-year evaluation of bonding properties to dentin","Journal of Dentistry",132,,"","104481",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223000660","","","","","","","","","","","","","Objectives This study compared the bonding properties of dentin of three 2-step etch-and-rinse adhesives (2-ERAs) to those of three universal adhesives (UAs) applied with an etch-and-rinse strategy (ER), immediately and after 1 year of water storage. Methods Sixty caries-free molars were divided into 6 groups according to the adhesive systems used (n = 10). The 2-ERA systems included were: 1) Adper Single Bond 2 (SB), 2) Tetric N-Bond (TB), and 3) Ambar (AM); and the UAs systems were: 4) Single Bond Universal (SBU) 5) Tetric N-Bond Universal (TBU), and 6) Ambar Universal (AMU). The occlusal third of each tooth was removed and the adhesives were applied. After the composite build-up, specimens were sectioned and tested for microtensile bond strength (µTBS) and nanoleakage (NL) immediately and after 1 year of water storage. In situ degree of conversion (DC) was only evaluated in the immediate time. For water sorption (WS), solubility (SO), and mass change (MC) tests, 48 disk-shaped specimens were prepared (n = 8) and assessed according to ISO 4049:2009. Results UAs showed higher µTBS and lower NL values than 2-ERAs did after 1 year of water storage (p = 0.001). Regarding DC, 2-ERAs showed higher DC values than UAs (p = 0.001). Regarding WS, 2-ERAs showed higher WS values than those of UAs (p = 0.00001), except for AM and AMU. Lower WS was observed for AM than for other 2-ERAs (p = 0.00001). Conclusion The use of UAs applied with the ER strategy seems to be a more effective technique for maintaining adhesion to dentin substrate than 2-ERAS. Clinical significance This study may support clinicians in selecting the most adequate adhesive system to be used in ER strategy in dentin, demonstrating that UAs were more effective, considering the longevity of the resin restorations.","","Universal adhesive, etch-and-rinse systems, dentin bond durability, dentin, tensile strength, dental leakage","",""
7,"","BRUHNKE2023104646","Bruhnke, Maria; Naumann, Michael; Beuer, Florian; Böse, Mats Wernfried Heinrich; von Stein-Lausnitz, Manja; Schwendicke, Falk","Implant or tooth? – A cost-time analysis of managing “unrestorable” teeth✰","Journal of Dentistry",136,,"","104646",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223002324","","","","","","","","","","","","","Objectives Retaining and restoring severely compromised teeth with subcrestal defect extensions or removing and replacing them using implant-supported crowns (ISC) remains controversial, and economic analyses comparing both strategies remain scarce. We performed a cost-time analysis, comparing the expenditures for retaining “unrestorable” teeth using forced orthodontic extrusion and restoration (FOE) versus extraction and ISC, in a clinical prospective cohort study. Methods Forty-two patients (n = 21 per group) were enrolled from clinical routine at a university into this study. Direct medical and indirect costs (opportunity costs) were assessed for all relevant steps (initial care, active care, restorative care, supportive care) using the private payer's perspective in German healthcare based on a micro-costing approach and/or national fee items. Statistical comparison was performed with Mann-Whitney-U test. Results Patients were followed up for at least one year after initial treatment (n = 40). The drop-out rate was 5% (n = 2). Total direct medical costs were higher for ISC (median: 3439.05€) than FOE (median: 1601.46€) with p<0.001. We observed a higher number of appointments (p = 0.002) for ISC (median: 14.5) in comparison to FOE (median: 12), while cumulatively, FOE patients spent more time in treatment (median: 402.5 min) in comparison to ISC (median: 250 min) with p<0.001, resulting in comparable opportunity costs for both treatment groups (FOE: 304.50€; ISC: 328.98€). Conclusions ISC generated higher costs than FOE. More in-depth and long-term exploration of cost-effectiveness is warranted. Clinical Significance ISCs were associated with higher initial medical costs and required more appointments than the restoration of severely compromised teeth after FOE. Treatment time was higher for patients with FOE, resulting in similar opportunity costs for both treatment approaches. Future research needs to investigate long-term cost-effectiveness.","","Forced eruption, Orthodontic extrusion, Tooth extrusion, Dental implant, Cost analysis, Cost","",""
7,"","YATMAZ2023104414","Yatmaz, Berfin Bahar; Raith, Stefan; Reich, Sven","Accuracy of four recent intraoral scanners with respect to two different ceramic surfaces","Journal of Dentistry",130,,"","104414",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223000064","","","","","","","","","","","","","Objectives To investigate the complete arch accuracy of intraoral scanners (IOS) on two different ceramic surfaces. Methods Two maxillary master cast samples were prepared. The bases of both the master casts were made from zirconium oxide. The difference between the two casts was that the teeth of the [ZR] cast were produced from zirconium oxide and that of the [LD] cast were made of lithium disilicate glass-ceramic. Unlike the zirconia teeth of the [ZR] cast, the lithium disilicate teeth of the [LD] cast were glazed. The two master casts were digitized using a high-resolution scanner (Atos Compact Scan 5 M, GOM GmbH, Braunschweig, Germany) to obtain digital reference casts. Subsequently, each master cast was scanned 15 times using four IOSs. The IOSs were the Cerec Omnicam [OM], Primescan [PR], Trios 4 [TR4], and VivaScan [VS]. On surface comparison, the absolute mean deviation values were obtained for trueness and precision. For multiple comparisons, statistically significant differences were analyzed using one-way ANOVA and the Kruskal-Wallis H test. The p-value was adjusted to control for the increased risk of type I error (p < 0.0083). To compare the two means, the t-test and Mann-Whitney U test were used (p < 0.05). Results Trueness values for [ZR] ranged from 24.6 (±6.3) µm for [PR] and 77.1 (±8.3) µm for [OM]. Trueness values for [LD] were between 28.3 (±6.3) µm for [PR] and 72.8 (±15.6) µm for [OM]. Precision values for [ZR] ranged from 17.6 (±3.7) µm for [PR] to 37.3 (±9.9) µm for [OM]. Precision values for [LD] ranged from 17.5 (±3.6) µm for [PR] to 41.8 (±8.7) µm for [OM]. Statistically significant differences were found among all the IOSs (p < 0.0083). The trueness values of the four IOSs did not differ significantly (p < 0.05) with respect to either the [ZR] or [LD] cast. The precision values of [OM] and [VS] differed significantly with respect to the scanned surface. Conclusions Complete arch scans achieved with the four IOSs showed significantly different trueness and precision results. [VS] and [OM] were more sensitive in terms of the scanned material. Clinical significance The latest IOSs showed the required accuracy for complete arch digital impressions in-vitro investigations. These findings should be implemented under conditions relevant to complete arch deviations, such as the construction of occlusal splints, analysis of occlusal relationships, and long-span restorations. Clinicians should be aware that the clinically acceptable threshold varies depending on the purpose of the IOS.","","Intraoral, Scanner, Accuracy, Digital, 3D comparison","",""
7,"","HASSOUNEH2020103426","Hassouneh, Layla; Jum’ah, Ahmad A.; Ferrari, Marco; Wood, David J.","Post-fatigue fracture resistance of premolar teeth restored with endocrowns: An in vitro investigation","Journal of Dentistry",100,,"","103426",2020,"","","https://www.sciencedirect.com/science/article/pii/S030057122030172X","","","","","","","","","","","","","Objectives To evaluate the post-fatigue load-to-failure and failure modes of endodontically treated premolar teeth restored with endocrowns fabricated from different CAD/CAM materials. Materials and methods A total of 60 extracted human, single-rooted premolar teeth were endodontically treated and sectioned horizontally 2 mm above the cementoenamel junction. Sectioned teeth were restored using two reconstruction designs: endocrowns (Cendo) or post-crowns (Cpost) (n = 30 p/g). In each group, reconstructions were fabricated from 3 different CAD/CAM substrates (n = 10 p/g); a resin-based composite (Cera), a lithium disilicate glass ceramic (LiSi) and a monolithic, translucent zirconia (Zir). Additional 10 intact teeth were used as control. Restored teeth were subjected to dynamic fatigue test (10−50 N, 600,000 cycles) and thermocycling (5−55 °C, 1500 cycles). Load-to-failure and failure mode was determined following application of a static, 45° oblique compressive load on each specimen. One-way and Two-way analysis of variance (ANOVA), Tukey’s post hoc and chi-square tests were used to determine statistically significant interactions among experimental and control groups. Results All specimens survived the mechanical and thermal fatigue tests. A statistically significant interaction between reconstruction design and material type was observed (p  <  0.001). CpostZir and CendoCera groups exhibited significantly higher post-fatigue load-to-failure when compared to other materials of the same reconstruction design (p ≤ 0.001). The highest frequency of catastrophic failures was observed with Zir reconstructions in both designs. Intact teeth exhibited significantly higher load-to-failure when compared to all groups (p ≤ 0.042) except CpostZir (p = 0.345). Conclusion Single piece, CAD/CAM resin composite endocrowns can present a reliable option for restoring endodontically treated premolar teeth. Clinical Significance Endocrowns can be as effective as post-crowns provided appropriate preparation; material selection; and bonding protocols are utilized. Clinicians need to be cautious when prescribing zirconia endocrowns to restore premolar teeth owing to the low fracture resistance and high risk of catastrophic failures.","","Endodontic treatment, Endocrowns, Post-crowns, CAD/CAM, Zirconia, Lithium disilicate, Resin based composite, Fracture resistance","",""
7,"","HAN2022104159","Han, Fei; Jin, Xin; Yuan, Xiaojun; Bai, Zehua; Wang, Qi; Xie, Haifeng","Interactions of two phosphate ester monomers with hydroxyapatite and collagen fibers and their contributions to dentine bond performance","Journal of Dentistry",122,,"","104159",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222002159","","","","","","","","","","","","","Objectives To evaluate the interactions of two phosphate ester monomers [10-methacryloyloxydecyl dihydrogen phosphate (10-MDP) and dipentaerythritol penta-acrylate phosphate (PENTA)] with hydroxyapatite and collagen and understand their influence on dentine bonding. Methods Fourier transform infrared spectroscopy, X-ray photoelectron spectroscopy, X-ray diffraction, nuclear magnetic resonance, ultraviolet-visible, and molecular docking were applied for separately evaluating the interactions of two monomers with hydroxyapatite and collagen. Hydrophilicity tests and morphological observation were employed to characterize pretreated dentine. Microtensile bond strength (μTBS) and nanoleakage were investigated to evaluate the bonding performance. Hydroxyproline assay, in situ zymography, and matrix metalloproteinase-9 (MMP-9) activity assay were used to confirm the MMP inhibition. Results Chemoanalytic characterization confirmed the interactions of 10-MDP and PENTA with hydroxyapatite and collagen. The interactions of PENTA were weaker than 10-MDP. PENTA possessed better dentine tubule sealing after etching than 10-MDP. Dentine treated with PENTA was more hydrophilic than 10-MDP. 10-MDP and PENTA treating significantly increased the initial μTBS than the control group without primer conditioning. μTBS decreased significantly during aging, and the decrease was more severe in the PENTA group than 10-MDP. The 10-MDP and PENTA groups exhibited relatively less fluorescence than the control. The relative inhibition percentages of MMP-9 decreased in the order of 10-MDP–Ca salt, 10-MDP and PENTA. The 10-MDP, PENTA, and 10-MDP–Ca salt groups showed significantly lower hydroxyproline contents than the control. Conclusions Although PENTA adsorbed on hydroxyapatite, it did not form a stable calcium salt. The interactions of 10-MDP with hydroxyapatite and collagen are different than those of PENTA. Clinical significance The sealing of dentinal tubules by PENTA and the inhibition of MMP by 10-MDP and its calcium salts contribute to improving the dentine bonding durability.","","Phosphate ester monomer, Dentine bonding, Collagen, Hydroxyapatite, Matrix metalloproteinases","",""
7,"","HJERPPE2022104121","Hjerppe, Jenni; Jung, Ronald E.; Hämmerle, Christoph H. F.; Özcan, Mutlu; Mühlemann, Sven","Mechanical stability of fully personalized, abutment-free zirconia implant crowns on a novel implant-crown interface","Journal of Dentistry",121,,"","104121",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222001786","","","","","","","","","","","","","Objectives To test the failure load and failure mode of a novel implant-crown interface specifically designed for the fabrication of fully personalized, abutment-free monolithic zirconia CAD-CAM crowns compared to conventional implant-abutment interfaces involving prefabricated or centrally manufactured abutments for zirconia CAD-CAM crowns. Methods Implants (N=48) were divided into groups (n=12) according to different implant-abutment interface designs: (1) internal implant connection with personalized, abutment-free CAD-CAM crowns (Abut-Free-Zr), (2) internal conical connection with customized, centrally manufactured zirconia CAD-CAM abutments (Cen-Abut-Zr), (3) prefabricated titanium base abutments from manufacturer 1 (Ti-Base-1), (4) additional prefabricated titanium base abutments from manufacturer 2 (Ti-Base-2). All specimens were restored with a screw-retained monolithic zirconia CAD-CAM molar crown and subjected to thermomechanical aging (1.200.000 cycles, 49 N, 1.67 Hz, 30° angulation, thermocycling 5-50°C). Static load until failure was applied in a universal testing machine. Failure modes were analyzed descriptively under digital microscope. Mean failure load values were statistically analyzed at a significance level of p<0.05. Results All specimens survived thermomechanical aging. The mean failure loads varied between 1332 N (Abut-Free-Zr) and 1601 N (Ti-Base-2), difference being significant between these groups (p<0.05). No differences between the other groups were seen. The predominant failure mode per group was crown fracture above implant connection (Abut-Free-Zr, 75%), abutment fracture below implant neck (Cen-Abut-Zr, 83%), crown fracture leaving an intact abutment (Ti-Base-1/Ti-Base-2 100%). Conclusions Implant-crown interface with fully personalized, abutment-free monolithic CAD-CAM zirconia crowns exhibited similar failure loads as conventional implant-abutment interfaces (except group Ti-Base-2) involving CAD-CAM crowns with prefabricated or centrally manufactured abutment. Clinical significance The new implant connection simplifies the digital workflow for all-ceramic implant reconstructions. The specific design of the implant-crown interface allows the fabrication of fully personalized, abutment-free zirconia implant crowns both in-house and in-laboratory without the need of a prefabricated abutment or central manufacturing.","","Prosthodontics, Dental implants, Zirconia, Monolithic, Crown, CAD-CAM, Personalized","",""
7,"","VOGLER2023104723","Vogler, Jonas Adrian Helmut; Stummer, Anna-Lena; Walther, Kay-Arne; Wöstmann, Bernd; Rehmann, Peter","Survival of teeth treated with post and core - A retrospective study of more than 1000 cases with observation periods up to 18 years","Journal of Dentistry",138,,"","104723",2023,"","","https://www.sciencedirect.com/science/article/pii/S0300571223003093","","","","","","","","","","","","","Objectives Even if survival of post and core (PC) itself was frequently investigated in recent literature, clinical data concerning the risk for extraction of teeth restored with PC is still scarce. Since most authors found the loss of retention of refitable post and cores as the most common cause of failure, it is impossible to draw a conclusion on tooth survival on the results of those studies. Therefore, the aim of the present study was to improve the clinical evidence on the survival of teeth treated with post and cores on a large number of cases over a long observation period. Materials and methods 735 patients were treated with 1053 post and cores in the observation period (2004–2022) and could be included in the study. The patient files were analysed due to the parameters: Type of covering prosthetic restoration, location, type of tooth, luting material, post and core material, bone attachment and therapist. The survival probability was assessed using Kaplan-Meyer analysis. Cox regression was used to assess possible multifactorial influences. Results The overall average survival time until necessary extraction of a tooth restored with a post and core was 11.74 years. A root fracture in primary crown retained removeable partial dentures (RPDs) during the first five years was the most common reason for extraction in this study. A significant influence on the survival time of teeth restored with post and cores was found for the type of covering restoration, bone attachment, age of the patient and post and core material. Conclusions Post and core restored teeth should be avoided as abutments for primary crown retained RPDs. Clinical significance If it is inevitable to utilise post and core restored teeth for primary crown retained RPDs, post and core materials with matching mechanical properties to that of dentine should be preferred.","","Post and core, Survival time, Cox regression, Kaplan-Meyer analysis, Retrospective study","",""
7,"","MARTIN2022103948","Martin, Nicolas; Mulligan, Steven; Fuzesi, Peter; Hatton, Paul V.","Quantification of single use plastics waste generated in clinical dental practice and hospital settings","Journal of Dentistry",118,,"","103948",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222000057","","","","","","","","","","","","","Objectives To quantify (by number and mass) single use plastic waste generated from the provision of oral healthcare in primary and secondary care clinical dental settings in the UK. Methods An observational study of four dental practices and the clinics of a UK undergraduate dental teaching hospital was conducted. A range of routine common procedures were observed by trained and calibrated observers; these were: Examinations, endodontics, periodontics, direct placement restorations, fixed and removable prosthodontics and oral surgery. The PPE items used before and during the COVID-19 pandemic were also included. Results Routine ‘surgery set up’ generic items present a significant proportion of SUP plastic waste as these are used in every instance of patient treatment. An average of twenty-one (n = 21) SUP plastic waste items are used for every procedure with a mean mass of 354 g per procedure (including set up and clean up). The use of PPE increased from 14 items (pre-COVID -19) to 19 items during the pandemic. SUP items are constructed from a single plastic or from multiple plastics forming compound structures (heteropolymers); with an approximate 50:50 distribution. Conclusions The dental profession, at the point of care, uses a high volume of single use plastic that becomes clinical waste. The use of personal protective equipment (PPE) significantly increased during the COVID 19 pandemic and this accounts for the single greatest contribution of single use plastic, as this is used for every clinical procedure. Clinical Significance Manufacturers, distributors and oral healthcare providers have an opportunity to consider and implement approaches that include effective waste management with reduction, recovery and recycling at its core, towards transforming oral healthcare to a circular plastics economy.","","Single use plastics, SUPs, Dentistry, Waste management","",""
7,"","ALFADHLI2022104321","Alfadhli, Reem; Alshammari, Yara; Baig, Mirza Rustum; Omar, Ridwaan","Clinical outcomes of single crown and 3-unit bi-layered zirconia-based fixed dental prostheses: An upto 6- year retrospective clinical study: Clinical outcomes of zirconia FDPs","Journal of Dentistry",127,,"","104321",2022,"","","https://www.sciencedirect.com/science/article/pii/S0300571222003761","","","","","","","","","","","","","Objectives The aim of this retrospective clinical study was to evaluate the survival and the occurrence of technical and biological complications in bi-layered zirconia-based (Zi) single crown and 3-unit fixed dental prostheses (FDPs). Also, the study aimed to analyze the effects of tooth vitality (vital versus non-vital), abutment location (anterior versus posterior), and luting cement (self-adhesive resin versus resin-reinforced glass ionomer) on clinical outcomes. Methods A total of 147 prostheses (in 94 patients) placed by undergraduate dental students in a university dental center during the period 2015–2021 were examined clinically using modified United States Public Health Service (USPHS) and California Dental Association (CDA) criteria. The mean duration of follow-up was 37 months (range, 6 - 63 months) for the single crowns (n = 77) and 25 months (range, 6 - 68 months) for the 3-unit FDPs (n = 70). Data were descriptively analyzed to determine the types and rates of complications based on USPHS and CDA criteria. The Kaplan-Meier survival estimation method was used to determine the cumulative survival and success rates of the prostheses (α=0.05). Differences in clinical outcomes (survival or failure) according to tooth vitality, luting cement, and location were statistically analyzed using cross-tabulations and Х2 test (α=0.05). Results The Kaplan-Meier cumulative survival rate was estimated as 96% for the Zi 3-unit FDPs after 5.5 years, and 90% for the Zi single crowns after 4.8 years. The 5-year estimated success rate was 68% for both 3-unit FDPs and single crowns. Seven (9.1%) 77Zi single crowns and 70 2 (2.9%) Zi 3-unit FDPs were recorded as failures with occlusal roughness being the most commonly-observed complication (crowns: 4 [5.6%]; 3-unit FDPs: 8 [11.4%]). In terms of clinical outcomes, statistically significant differences were found between all included vital and non-vital teeth (p = .006), and cement types (p = .028). Taking single crowns alone, significant differences in clinical outcomes according to tooth vitality were noted (p = .036), but not for PFDPs. The location of the prostheses did not produce any significant differences in the clinical outcomes, for both prostheses types independently or combined (p > .05). Conclusions The estimated cumulative survival rates in this study for single crowns and 3-unit Zi FDPs concurred with the ranges reported in systematic reviews. Zi-based prostheses on vital teeth produced better clinical outcomes than those placed on non-vital teeth, and type of luting cement influenced the final clinical outcome. Clinical significance Zi crowns and 3-unit PFDPs fabricated using the specific CAD-CAM system used in the controlled environment of this study showed good clinical performance with minimal veneer porcelain chipping. Root canal treated teeth seem to be at higher risk for failure of Zi prostheses compared with vital teeth.","","Zirconia, Ceramic, crown, Partial fixed dental prosthesis, Survival, Failure, Complications","",""
