http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#isbn,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#monthPublished,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,,WANG20231076,"Wang, Ruili; Li, Zhihao; Tian, Qingyi; Ma, Zhiyuan; Zhu, Meifang",Making graphene oxide (GO)-cladded SiO2 spheres (SiO2 @GO) as inorganic fillers for dental restorative resin composites,Dental Materials,39,12,,1076-1084,2023,https://www.sciencedirect.com/science/article/pii/S0109564123004104,"Objective Graphene oxide (GO) is of great interest in dentistry as the functional filler, mainly owing to its ability to inhibit the formation of cariogenic bacteria and possess low cytotoxicity to different cells, such as human dental pulp cells, HeLa cells, etc. However, its typical brown color limits the practical application. Methods Here, the refractive-index-matched monodisperse SiO2 were used as the supporting substrates to synthesize GO-cladded SiO2 spheres (xSiO2 @ yGO) through a mild electrostatic self-assembly process, where x and y represent the amount of SiO2 and GO in the reaction mixture, respectively. The morphology and the optical performance of the obtained xSiO2 @ yGO particles were modulated by varying the mass ratio of SiO2 and GO (5:1, 10:1, 50:1, and 100:1). All developed hybrid particles were silanized and formulated with dimethacrylate-based resins. These were tested for curing depth, polymerization conversion, mechanical performance, in vitro cell viability, and antibacterial activity. Results Of all xSiO2 @ yGO materials, increasing the mass ratio to 100:1 made the 100SiO2 @GO particles appear light brown and possess the lowest light absorbance from 300 to 800 nm. The results of CIEL*a*b* system showed that all these hybrid particles exhibited obvious discoloration compared with SiO2 and GO, where 100SiO2 @GO possessed the smallest color difference. Furthermore, following the results of curing depth, polymerization conversion, and mechanical performance of dental composites, the optimal filler composition was 100SiO2 @GO at 5 wt% filler loading. The resultant 100SiO2 @GO-filled composite produced the highest flexural strength (115 ± 12 MPa) and the lowest bacterial concentration (6.7 × 108 CFU/mL) than those of the resin matrix (78 ± 11 MPa; 9.2 × 108 CFU/mL) and 5 wt% SiO2-filled composite (106 ± 9 MPa; 9.1 × 108 CFU/mL), respectively, without affecting in vitro cell viability. Significance The facile and mild synthesis of xSiO2 @ yGO hybrid particles provided a convenient way to tune their optical property. The optimal 100SiO2 @GO particles could be considered as the promising antibacterial filler to be applied in dental care and therapy.","Refractive index-matched, Optical characteristic, Antibacterial property, Dental resin composite"
7,,TURP2021e523,"Türp, Lisa; Bartels, Nomi; Wille, Sebastian; Lehmann, Frank; Kern, Matthias",Effect of alumina particle morphology used for air abrasion on loss of enamel and luting composite resin,Dental Materials,37,12,,e523-e532,2021,https://www.sciencedirect.com/science/article/pii/S0109564121002815,"Objective To evaluate the volume loss after air abrasion with alumina particles with different morphology on bovine enamel and luting composite resin. Methods Air abrasion was performed on 12 unscathed bovine teeth and 72 luting composite resin discs with 85 μm round-shaped and 50 μm sharp-edged alumina particles applied for 20 s, 40 s and 60 s (n = 12). Air abrasion was standardized by uniform areas of 2 mm diameter, a pressure of 0.25 MPa and a distance of 3 mm. The volume loss was determined by using a laboratory scanner. Results Air abrasion with round-shaped alumina particles was mostly not measurable with the laboratory scanner, while sharp-edged alumina air abrasion resulted in significant loss of enamel. The median of volume loss by sharp-edged alumina particles ranged from 0.78 mm3 (20 s) to 2.52 mm3 (60 s). In contrast to round-shaped alumina the removal caused by sharp-edged alumina increased significantly with increasing application times (p ≤ 0.05). For air abrasion on luting composite resin the median of the removed volume ranged from 2.25 mm3 (20 s) to 6.18 mm3 (60 s), while round-shaped alumina showed a range from 0.45 mm3 (20 s) to 1.40mm3 (60 s). The round-shaped alumina produced a statistically significant lower volume loss than sharp-edged alumina for all three air abrasion times. Significance The 85 μm round-shaped alumina particles removed less composite resin than 50 μm sharp-edged alumina particles but barely any enamel, making it an option for removing composite resin residues from enamel.","Air abrasion, Alumina particle morphology, Round-shaped alumina, Sharp-edged alumina, Enamel loss, Surface damage, Volume loss, Removal, Composite remnants, Luting composite resin"
7,,VENTURINI2019534,"Venturini, Andressa B.; Prochnow, Catina; Pereira, Gabriel K. R.; Segala, Rodrigo D.; Kleverlaan, Cornelis J.; Valandro, Luiz Felipe","Fatigue performance of adhesively cemented glass-, hybrid- and resin-ceramic materials for CAD/CAM monolithic restorations",Dental Materials,35,4,,534-542,2019,https://www.sciencedirect.com/science/article/pii/S010956411830558X,"Objective To evaluate the fatigue failure load, number of cycles until failure, and survival probability of adhesively cemented materials with different microstructures (glass-, hybrid- and resin-ceramic) used to manufacture CAD/CAM monolithic restorations. Methods Disc-shaped specimens (n=15; Ø=10mm; thickness=1.0mm) were produced from CAD/CAM blocks as follows: feldspathic (FEL); leucite (LEU); lithium disilicate (LD); zirconia-reinforced lithium silicate (ZRLS); polymer-infiltrated ceramic network (PICN); and resin nanoceramic (RNC). Adhesive cementation was performed onto epoxy discs (dentin analogue- Ø=10mm; thickness=2.5mm). The cemented assemblies were subjected to fatigue testing using a step–stress approach (400N–2200N; step-size of 200N; 10,000 cycles per step; 1.4Hz). Fatigue data were analyzed using Kaplan–Meier and Mantel–Cox (log-rank) tests (p<0.05) and Weibull statistical analysis. Fractographic analysis was also performed. Results All RNC specimens survived the fatigue test (100% probability of survival at 2200N; 100,000 cycles) and presented occlusal deformation in response to loading, while all other tested materials failed in distinct loading steps with radial cracks starting from the bonding surface. LD (1146.7N; 47,333) and ZRLS (1013.3N; 40,666) materials obtained the highest fatigue failure loads and cycles until failure, meanwhile all PICN specimens failed during the first step (0% probability of survival at 400N; 10,000). FEL had similar Weibull modulus to LD and ZRLS and higher than LEU for both load and number of cycles outcomes. Significance The microstructure of adhesively cemented glass-, hybrid- and resin-ceramic CAD/CAM restorative materials influence their response during fatigue testing, which aids in suggesting the best clinical indications.","CAD/CAM blocks, Mechanical cycling, Vita Mark II, IPS Empress CAD, IPS e.max CAD, Vita Suprinity, Vita Enamic, Lava Ultimate"
7,,LEMPEL20231095,"Lempel, Edina; Gyulai, Sarolta; Lovász, Bálint Viktor; Jeges, Sára; Szalma, József",Clinical evaluation of lithium disilicate versus indirect resin composite partial posterior restorations – A 7.8-year retrospective study,Dental Materials,39,12,,1095-1104,2023,https://www.sciencedirect.com/science/article/pii/S0109564123004189,"Objective To evaluate retrospectively the longevity of lithium disilicate ceramic (LidiSi) vs. laboratory-processed resin-based composite (RBC) inlay/onlay/overlay restorations and risk factors associated with restoration deficiencies and failures. Methods Patients (n = 91) receiving LidiSi (73.1%) and RBC (36.9%) inlays/onlays/overlays between 2007 and 2017 were selected. The restorations were evaluated using the modified U.S. Public Health Service criteria. The survival of the restorations was analyzed using the Kaplan-Meier method and log rank test. Factors affecting the occurrence of deficiencies were examined by logistic regression analysis. This was performed with the use of the Generalized Estimating Equation model including Repeated measurements (GEER), with the consideration that the same patient had several teeth in the sample. Risk estimation was conducted for each evaluated criterion (p < 0.05). Results The survival of LidiSi and RBC restorations were 96.8% and 84.9%, respectively after a mean observation period of 7.8 ± 3.3 years. The annual failure rate was 0.2% for LidiSi and 1.0% for RBC. The probability of survival was above 98% for both restorations in the first 6 years, however, it dropped to 60% for RBC by the end of the 15th year. For both materials the reasons for failure included secondary caries, restoration fracture, and endodontic complication. In addition, LidiSi also failed due to tooth fracture, while RBC due to marginal gap formation and loss of retention. Among the evaluated risk factors, material of restoration (OR=6.8, CI95%:3.1–14.9), oral hygiene (OR=8.0, CI95%: 2.9–22.1], and bruxism (OR=1.9, CI95%: 1.1–3.3) showed a significant impact on the evaluated criteria. Significance LidiSi and RBC restorations showed similarly excellent 6-year survival, however, in the long term significantly more failures should be expected for RBCs.","Lithium disilicate, Resin composite, Indirect restoration, Clinical performance"
7,,KAISARLY202279,"Kaisarly, Dalia; Langenegger, Ruth; Litzenburger, Friederike; Heck, Katrin; El Gezawi, Moataz; Rösch, Peter; Kunzelmann, Karl-Heinz",Effects of application method on shrinkage vectors and volumetric shrinkage of bulk-fill composites in class-II restorations,Dental Materials,38,1,,79-93,2022,https://www.sciencedirect.com/science/article/pii/S0109564121003079,"Objectives Upon initial proximal wall construction, the favorable C-factor of class-II cavities may become unfavorable. This study investigated the application method on bulk-fill resin composite polymerization shrinkage. Methods Occluso-proximal class-II cavities were prepared in 40 molars and bonded with a self-etch adhesive (Adhese Universal). The study groups varied according to the resin composite application: group-1: bulk application, Tetric EvoCeram Bulk Fill (TBF); group-2: proximal wall construction (TBF) and occlusal cavity filling (TBF); group-3: thin flowable liner layer, Tetric EvoFlow Bulk Fill (TEF) and bulk filling (TBF); group-4: flowable liner (TEF), proximal wall (TBF), occlusal cavity (TBF); and group-5: bulk application, SDR (3 mm) and capping layer (TBF, 1 mm). Each resin composite increment was scanned twice using micro-CT (uncured, cured 40 s) at a resolution of 16 µm. Shrinkage vectors and volumetric polymerization shrinkage were evaluated and statistically analyzed (one-way ANOVA). SEM images were used to investigate the tooth-restoration interface. Results Shrinkage vectors differed significantly among the groups and were greatest in gp5-fl/SDR (47.6 µm), followed by gp1-TBF (23.8 µm) and least in gp5-fl/SDR+TBF (11.1 µm). Volumetric shrinkage varied significantly with the use of SDR (gp5-fl/SDR: 2.6%) and TEF (gp4-fl/TEF: 2.5%) to TBF (gp4-fl/TEF+wl/TBF: 0.6%) in the incremental application. Significance Building a proximal resin composite wall yielded smaller shrinkage vectors than the bulk application. Applying a thin flowable liner decreased the shrinkage vectors, even more when building a proximal wall. A thin flowable liner is recommended when building a proximal resin composite wall.","Bulk-fill resin composites, Shrinkage vectors, Volumetric polymerization shrinkage, Class-II restoration, Flowable liner, Cavity boundaries"
7,,MAUCOSKI2023275,"Maucoski, Cristiane; Price, Richard Bengt; Rocha, Mateus Garcia; Roulet, Jean-François; Sullivan, Braden",Ability of short exposures from laser and quad-wave curing lights to photo-cure bulk-fill resin-based composites,Dental Materials,39,3,,275-292,2023,https://www.sciencedirect.com/science/article/pii/S0109564123000258,"Objective This study investigated the ability of a laser, and a ‘quad-wave’ LCU, to photo-cure paste and flowable bulk-fill resin-based composites (RBCs). Methods Five LCUs and nine exposure conditions were used. The laser LCU (Monet) used for 1 s and 3 s, the quad-wave LCU (PinkWave) used for 3 s in the Boost and 20 s in the Standard modes, the the multi-peak LCU (Valo X) used for 5 s in the Xtra and 20 s in the Standard modes, were compared to the polywave PowerCure used in the 3 s mode and for 20 s in the Standard mode, and to the mono-peak SmartLite Pro used for 20 s. Two paste consistency bulk-fill RBCs: Filtek One Bulk Fill Shade A2 (3 M), Tetric PowerFill Shade IVA (Ivoclar Vivadent), and two flowable RBCs: Filtek Bulk Fill Flowable Shade A2 (3 M), Tetric PowerFlow Shade IVA (Ivoclar Vivadent) were photo-cured in 4-mm deep x 4-mm diameter metal molds. The light received by these specimens was measured using a spectrometer (Flame-T, Ocean Insight), and the radiant exposure delivered to the top surface of the RBCs was mapped. The immediate degree of conversion (DC) at the bottom, and the 24-hour Vickers Hardness (VH) at the top and bottom of the RBCs were measured and compared. Results The irradiance received by the 4-mm diameter specimens ranged from 1035 mW/cm2 (SmartLite Pro) to 5303 mW/cm2 (Monet). The radiant exposures between 350 and 500 nm delivered to the top surface of the RBCs ranged from 5.3 J/cm2 (Monet in 1 s) to 26.4 J/cm2 (Valo X), although the PinkWave delivered 32.1 J/cm2 in 20 s 350 to 900 nm. All four RBCs achieved their maximum DC and VH values at the bottom when photo-cured for 20 s. The Monet used for 1 s and the PinkWave used for 3 s on the Boost setting delivered the lowest radiant exposures between 420 and 500 nm (5.3 J/cm2 and 3.5 J/cm2 respectively), and they produced the lowest DC and VH values. Conclusions Despite delivering a high irradiance, the short 1 or 3-s exposures delivered less energy to the RBC than 20-s exposures from LCUs that deliver> 1000 mW/cm2. There was an excellent linear correlation (r > 0.98) between the DC and the VH at the bottom. There was a logarithmic relationship between the DC and the radiant exposure (Pearson's r = 0.87-97) and between the VH and the radiant exposure (Pearson's r = 0.92–0.96) delivered in the 420-500 nm range.","Dental curing lights, Dental laser, Resin-based composites, Photo-curing, Degree of conversion, Vickers hardness"
7,,LOUMPRINIS2021413,"Loumprinis, Nikolaos; Maier, Eva; Belli, Renan; Petschelt, Anselm; Eliades, George; Lohbauer, Ulrich",Viscosity and stickiness of dental resin composites at elevated temperatures,Dental Materials,37,3,,413-422,2021,https://www.sciencedirect.com/science/article/pii/S0109564120303444,"Objective To investigate the influence of pre-heating different classes of dental resin composites on viscosity and stickiness at five different temperatures. Methods Six flowable, five conventional packable, and one thermo-viscous bulk-fill resin composites were heated up to 54°C in a plate-plate rheometer to determine their complex viscosity. Normal force measurements were carried out for the six packable materials to determine the unplugging force and unplugging work (stickiness) over the same temperature range. Data were analyzed using Kolmogorov–Smirnoff test, one-way ANOVA and Tukey Post Hoc test with α=0.05 as level of significance. Results At 23°C packable composites showed viscosity between 6.75 and 19.14kPas, while flowable composites presented significantly lower viscosities between 1.31 and 2.20kPas. Pre-heating led to a drop of 30–82% in the viscosity of packable materials. The thermo-viscous material dropped to the level of flowables at 45 and 54°C thus behaving as a packable composite at room temperature with flowable-like viscosity at higher temperatures. No statistically significant differences for viscosity were observed among flowable composites at any temperature. The unplugging force decreased for packable composites, while their unplugging work generally increased at elevated temperature. At 23°C unplugging force was measured between 7.50 and 19.18N, while pre-heating up to 54°C led to values between 2.9 and 6.2N. Regarding unplugging work at 23°C the calculated values were between 3.0 and 8.9×10−3J and at 54°C between 8.8 and 13.0×10−3J. Significance Pre-heating significantly reduced viscosity of highly viscous resin composites, while no influence was shown for flowable composites. In general stickiness, measured as unplugging work, increased at elevated temperatures. The thermo-viscous material showed low viscosity comparable to flowable composites at 45 and 54°C, yet its stickiness did not increase significantly compared to the values at 23°C.","Resin composite, Pre-heating, Rheology, Handling properties, Viscosity, Stickiness, Temperature, Activation energy"
7,,SATO2021972,"Sato, Fumiaki; Suzuki, Masaya; Shinkai, Koichi","Pulp tissue reaction to a self-adhesive, resin-based direct pulp capping material containing surface pre-reacted glass-ionomer filler",Dental Materials,37,6,,972-982,2021,https://www.sciencedirect.com/science/article/pii/S0109564121000762,"Objective This study aimed to evaluate the effect of direct pulp capping using an experimental self-adhesive resin for direct pulp capping (SRD) containing silica and surface pre-reacted glass-ionomer (S-PRG) filler on pulpal healing and to monitor the dentin bridge formation in rat pulp 2–4 weeks after operation. Methods Five types of SRDs (SRD-0: S-PRG fillers 0 wt%; SRD-1: S-PRG fillers 9.1 wt%; SRD-2: S-PRG fillers 18.4 wt%; SRD-3: S-PRG fillers 27.8 wt%; and SRD-6: S-PRG fillers 57.4 wt%) were prepared, and mineral trioxide aggregate (MTA) was used as control (n = 8). Direct pulp capping was performed on rats that were sacrificed for further evaluation 2 or 4 weeks after the operation. The pulp tissue disorganization (PTD), inflammatory cell infiltration (ICI), and reparative dentin formation were histopathologically evaluated; the data were statistically analyzed using the Kruskal–Wallis and the Mann–Whitney U tests. Results The histopathological evaluation of SRD-1-treated test animals 2 weeks post-operation revealed inferior PTD and ICI when compared with that of MTA. Even 4 weeks after the operation in SRD-1- and SRD-2-treated rats, the PTD and ICI were inferior when compared with those of MTA. The dental specimens of SRD-0 and MTA showed orthodentin formation, whereas SRD-treated test animals showed osteodentin formation at a position slightly deeper than the site of the pulpal exposure. Significance The reparative dentin formed by SRD-0 and MTA was genuine, whereas that formed by SRD-3 and SRD-6 was ossified and ectopic. SRD may have the potential to be utilized clinically as a direct pulp capping material.","Direct pulp capping, Filler contents, Multi-ion release, Self-adhesive resin, Surface pre-reacted glass-ionomer filler"
7,,BUTTERHOF2021998,"Butterhof, Maximilian; Ilie, Nicoleta",Predicting transmitted irradiance through CAD/CAM resin composite crowns in a simulated clinical model,Dental Materials,37,6,,998-1008,2021,https://www.sciencedirect.com/science/article/pii/S0109564121001056,"Objective To predict the clinically relevant transmitted irradiance that is available for luting when a CAD/CAM restoration is inserted. The influence of irradiance, exposure distance, light curing unit (LCU) angulation and direction of polymerization is analyzed when curing through crowns of different thicknesses. Methods Three modern CAD/CAM resin-based composites (RBCs) were used to produce 45 crown-shaped specimens. The distance between fissure and crown base was set at 1.0, 1.5 and 2.0 mm (n = 5). Transmitted irradiance, while using a violet-blue LCU, was measured with a photo-spectrometer. 180 exposure conditions per specimen were investigated by variation in LCU curing mode, angulation, exposure distance and direction. Data was analyzed using univariate ANOVA followed by Tukey HSD (α = 0.05) and comparison of 95% confidence intervals. Results The CAD/CAM-RBC’s decadic absorption coefficient ranges from 0.317 mm−1 to 0.387 mm−1 and the reflection correcting factor for crowns ranges from 0.305 to 0.337. Transmitted irradiance decreases significantly with increasing exposure distance and decreasing incident irradiance. For tilt angles greater than 10°, transmitted irradiances are significantly reduced (−11% for 20°, −23% for 30°). Significantly lowest transmitted irradiances were measured for vestibular curing direction (up to −15%). Significance A calculation model can predict the transmitted irradiance through a CAD/CAM restoration in dependence of restoration thickness and radiant emittance. The practitioner can be supported by this model to adapt material choice of dental restoration and adhesive system to the individual situation. Variation in exposure conditions shows negative effect on the transmission of light and should be limited.","CAD/CAM, Composite crown, Resin-based composite, Correction model, Light curing, Irradiance, Transmission"
7,,KOLB20201332,"Kolb, Carina; Gumpert, Katrin; Wolter, Herbert; Sextl, Gerhard",Highly translucent dental resin composites through refractive index adaption using zirconium dioxide nanoparticles and organic functionalization,Dental Materials,36,10,,1332-1342,2020,https://www.sciencedirect.com/science/article/pii/S0109564120301925,"Objectives For dental resin composites, high translucency is important. Therefore, the aim of the study was to create a biocompatible and highly translucent resin-based composite, and to investigate the effect of material thickness on translucency. Methods A biocompatible ORMOCER® resin matrix was reinforced with dental glass powder as fillers. To reach a high translucency, refractive index matching of the matrix and fillers was done in the two ways: (1) Highly refractive ZrO2 nanoparticles were incorporated into the resin. (2) The resin was modified via addition of 4-Methylthiophenol. The corresponding refractive indices were acquired on an Abbe refractometer (n = 5). In both cases, the dental glass powder was added and translucency of the resulting minifilled and nanohybrid composites were measured using spectral photometry (n = 5). Additionally, the translucency of the experimental composites was determined as a function of specimen thickness in the range 10 μm–2 mm (n = 5). One-way ANOVA was performed to determine the significant differences in various optical parameters among different amounts of modifications and thicknesses at α = 0.05. Furthermore, cytotoxicity tests (extract and direct contact tests) were conducted according to ISO 10993 to classify the biocompatibility of the composites (n = 6). Results The translucency values of the composites with 47 wt.-% dental glass powder and a specimen thickness of 2 mm, could be increased from 26% up to 71% by increasing the refractive index of the matrix through incorporating ZrO2 nanoparticles. Moreover, it can also be increased to 67% via addition of 4-Methylthiophenol. Further results showed that the translucency significantly depended on the sample thickness following an exponential function. The effect of all tested parameters was significant among the materials (p < 0.001). The composites did not show any cytotoxic effect. Significance Highly translucent and biocompatible resin composites were developed. They show attractive properties for the use as dental enamel material in direct and indirect restorations.","Translucency, Minifilled composite, Nanohybrid composite, Dental resin composite, Biocompatibility, Resin matrix"
