http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,DELLABONA2021336,"Della Bona, Alvaro; Cantelli, Viviane; Britto, Vitor T.; Collares, Kaue F.; Stansbury, Jeffrey W.",3D printing restorative materials using a stereolithographic technique: a systematic review,Dental Materials,37,2,336-350,2021,https://www.sciencedirect.com/science/article/pii/S010956412030350X,"Objective To present through a systematic review a qualitative analysis of studies published on stereolithography-based 3D printing of restorative materials and their clinical applicability. Methods The literature search was conducted based on the question: “What is the state-of-the-art of available restorative materials for 3D printing based on stereolithography?"" Online search was conducted in three databases (MEDLINE/PubMed, Scopus and Web of Science) with no restriction for year of publication. Data are reported based on PRISMA, including publication details such as authors and their countries, year and journal of publication, and study design. The synthesis is focused on describing the dental restorative materials and properties evaluated, applied methods, 3D printers used and clinical applicability. Results Studies that fit the inclusion criteria were performed in Asia (21), Europe (16) and USA (10), mostly using polymer-based restorative materials (38) for 3D printing constructs. Stereolithographic-printed ceramic-based restorative structures were evaluated by 9 studies. Many studies reported on dimensional accuracy (14), strength (11) and surface morphology (9) of the printed structures. Antibacterial response, cytotoxicity, internal and marginal fit, fracture and wear resistance, density, viscosity, elastic modulus, hardness, structural shrinkage and reliability, degree of conversion, layer cure depth, fatigue, and color were also evaluated by the included studies. Many of them (11) published a proof of concept as an attempt to demonstrate the clinical feasibility and applicability of the technology to print restorative materials, but only 5 studies actually applied the 3D printed restorative structures in patients, which highlights an increasing interest but limited early-stage translation. Significance The fast expansion of stereolithographic-based 3D printing has been impressive and represents a great technological progress with significant disruptive potential. Dentistry has demonstrated an incredible willingness to adapt materials, methods and workflows to this promising digital technology. However, esthetic appearance, wear resistance, wet strength and dimensional accuracy are the main current clinical limitations restricting the progression to functional part production with 3D printing, which may explain the absence of clinical trials and reports on permanent/definitive dental restorative materials and structures.","3D printing, Dentistry, Dental materials"
7,BRESCHI2020672,"Breschi, Lorenzo; Maravic, Tatjana; Comba, Allegra; Cunha, Sandra Ribeiro; Loguercio, Alessandro D.; Reis, Alessandra; Hass, Viviane; Cadenaro, Milena; Mancuso, Edoardo; Mayer-Santos, Eric; Niu, Lina; Pashley, David H.; Tay, Franklin R.; Mazzoni, Annalisa",Chlorhexidine preserves the hybrid layer in vitro after 10-years aging,Dental Materials,36,5,672-680,2020,https://www.sciencedirect.com/science/article/pii/S0109564120300646,"Objective The present study investigated the ability of a chlorhexidine (CHX)-containing primer (0.2% aqueous solution) to inhibit dentinal enzymes, preserve the hybrid layer (HL) and remain within the HL, after 10 years of aging in artificial saliva at 37°C. Methods Non-carious extracted molars were assigned to two groups, cut into slabs exposing middle/deep dentin, etched and bonded with Adper Scotchbond 1XT (SB1XT) with or without 0.2% CHX aqueous solution pretreatment. Composite build-ups were made, and the specimens were cut in 1-mm thick bonded sticks. In situ zymography was performed on freshly prepared specimens (T0) and specimens aged for 10 years (T10-yr) at 37°C in artificial saliva, to investigate endogenous gelatinolytic activity within the HL. At T10-yr, specimens were also decalcified and embedded in epoxy resin for TEM analysis. Micro-Raman spectroscopy was performed at T0 and T10-yr to evaluate the chemical profiles in intertubular dentin and the HL. Results In situ zymography showed less pronounced enzymatic activity in the CHX-pretreated group (p<0.05) regardless of aging, maintaining a similar level of fluorescence at T0 and T10-yr (p>0.05). TEM results showed that 98% of the HL had been degraded in the control group, while 95% of the HL was intact in the experimental group. Moreover, all the Raman spectra peaks assigned to CHX could be identified only in the CHX-pretreated group (T0 and T10-yr). Significance In vitro, CHX remains in the HL after 10 years with its inhibitory effect preserved. This may be the underlying factor for HL preservation after this long aging period.","Hybrid layer, Dentin bonding agents, MMPs inhibitors, aging, zymography, TEM, Raman spectroscopy"
7,TAKAMIZAWA20191791,"Takamizawa, Toshiki; Imai, Arisa; Hirokane, Eizo; Tsujimoto, Akimasa; Barkmeier, Wayne W.; Erickson, Robert L.; Latta, Mark A.; Miyazaki, Masashi",SEM observation of novel characteristic of the dentin bond interfaces of universal adhesives,Dental Materials,35,12,1791-1804,2019,https://www.sciencedirect.com/science/article/pii/S0109564119308796,"Objective The aim of this study was to observe the resin/dentin interfaces of universal adhesives by using scanning electron microscopy (SEM), and to compare their morphologies with conventional etch & rinse (ER) and self-etch (SE) adhesive systems. Methods Two three-step and one two-step ER adhesives and two two-step and two single-step SE adhesives were used for comparison with seven universal adhesives in ER mode and SE mode, respectively. Bonded surfaces with bovine teeth were longitudinally sectioned and mirror-polished. Half of the samples were treated with HCl and NaOCl solutions. The interfaces were subjected to argon ion beam etching and then observed by scanning electron microscopy. Results The thickness of the adhesive layer (AL) of most of the seven universal adhesives and single-step SE adhesives was similar. Universal adhesives in SE mode formed a hybrid smear layer as a high-density zone between the AL and dentin. The thickness of the hybrid layer (HL) of the universal adhesives in ER mode was ∼1–2μm, with a high-density zone (reaction layer [RL]) below the HL. Conclusion The morphological features of most universal adhesives in SE mode and single-step SE adhesives are similar. Although resin–dentin interfaces of universal adhesives in ER mode resemble those of ER adhesives, universal adhesives have a distinctive feature, an RL. Significance The RL might be a sign of chemical bonding even when using universal adhesives in ER mode.","Universal adhesive, Resin–dentin interface, SEM observation, Etch-&-rinse adhesive system, Self-etch adhesive system"
7,ZHANG20211168,"Zhang, Lu; Ye, Ning; Aregawi, Wondwosen A.; Fok, Alex",Effect of chamfer design on load capacity of reattached incisors,Dental Materials,37,7,1168-1175,2021,https://www.sciencedirect.com/science/article/pii/S010956412100155X,"Objective This study aimed to evaluate the effect of different chamfer preparations on the load capacity of reattached fractured incisors under lingual loading. Methods Eighty #8 typodonts were randomly assigned to four groups (n = 20 each). They were sectioned to simulate crown fracture, and reattached with a self-etch adhesive and a resin composite. The preparation for each group was: (1) no chamfer; (2) buccal chamfer; (3) lingual chamfer; and (4) circumferential chamfer. Forty-eight human lower incisors were grouped and prepared similarly (n = 12 each). These teeth were tested for their load capacity under a lingual load on a universal testing machine. Finite element models were used to examine the stresses on the reattached surfaces to help interpret the experimental results. Results The buccal chamfer did not increase the load capacity when compared with the no-chamfer group. Lingual and circumferential chamfers respectively increased the fracture load by 36.9% and 32.3% in typodonts, and 78.5% and 33.3% in human incisors. The increase was statistically significant (p < 0.05). A higher fracture load tended to be accompanied by a larger area of deflected cohesive fracture. Finite element analysis showed that lingual and circumferential chamfers reduced the fracture-causing tensile stress at the lingual margin of the reattachment interface by approximately 70% and 60%, respectively, in human upper incisors. Significance It was the joint design, and not the size of the bond area, that affected the load capacity of reattached incisors. Among the preparations considered, only those with a lingual chamfer could increase the load capacity of reattached incisors under a lingual load.","Incisor fracture, Fragment, Reattachment, Chamfer, Bevel, Retention, Load capacity, Resistance, Bond area"
7,GALANTE2019825,"Galante, Raquel; Figueiredo-Pina, Celio G.; Serro, Ana Paula",Additive manufacturing of ceramics for dental applications: A review,Dental Materials,35,6,825-846,2019,https://www.sciencedirect.com/science/article/pii/S0109564118304263,"Objective The main goal of this review is to provide a detailed and comprehensive description of the published work from the past decade regarding AM of ceramic materials with possible applications in dentistry. The main printable materials and most common technologies are also addressed, underlining their advantages and main drawbacks. Methods Online databases (Web of knowledge, Science Direct, PubMed) were consulted on this topic. Published work from 2008 to 2018 was collected, analyzed and the relevant papers were selected for inclusion on this review. Results Ceramic materials are broadly used in dentistry to restore/replace damaged or missing teeth, due to their biocompatibility, chemical stability and mechanical and aesthetic properties. However, there are several unmet challenges regarding their processing and performance. Due to their brittleness nature, a very tight control of the manufacturing process is needed to obtain dental pieces with adequate mechanical properties. Additive manufacturing (AM) is an emerging technology that constitutes an interesting and viable manufacturing alternative to the conventional subtractive methods. AM enables the production of customized complex 3D parts in a more sustainable and less expensive way. AM of ceramics can be achieved with an extensive variety of methods. Significance There is no perfect technology for all materials/applications, capable alone of fulfilling all the specificities and necessities of every patient. Although very promising, AM of ceramic dental materials remains understudied and further work is required to make it a widespread technology in dentistry.","Additive manufacturing, 3D printing, Ceramics, Dentistry, Dental prosthesis"
7,DALPIVA2021e140,"de Oliveira {Dal Piva}, Amanda Maria; Tribst, João Paulo Mendes; Benalcázar Jalkh, Ernesto Byron; Anami, Lilian Costa; Bonfante, Estevam Augusto; Bottino, Marco Antonio","Minimal tooth preparation for posterior monolithic ceramic crowns: Effect on the mechanical behavior, reliability and translucency",Dental Materials,37,3,e140-e150,2021,https://www.sciencedirect.com/science/article/pii/S0109564120303080,"Objective Despite the increased use of monolithic crowns, their performance has yet to be determined when the minimal tooth preparation (MTP) principle is considered. The goal of this study was to evaluate the effect of MTP on the mechanical behavior, reliability and translucency of posterior monolithic ceramic crowns. Methods Dentin analogues were machined using two preparation designs (0.5 or 1 mm reduction) to receive first molar crowns in order to evaluate the monolithic crown performance. Next, 126 crowns were divided (21/g) according to the material (High translucent zirconia – YZHT, Zirconia reinforced lithium silicate – ZLS and Hybrid ceramic – HC) and thickness (0.5 or 1 mm). Tensile stress concentration was calculated using the finite element method. The crowns were adhesivelly cemented and step stress fatigued to calculate reliability for missions at 600 and 1000 N. Translucency was analyzed in 10 discs of each material and thickness. Results Higher stress concentration was found in thinner crowns and those with higher elastic modulus. YZHT crowns were suspended when fatigue reached 1500 N load, thus 1-parameter Weibull was used to analyze the data. Reliability was only affected by thickness at 1000 N. ZLS.5 showed lower survival than HC.5, which was similar to the groups that presented 100% survival. YZHT showed the highest strength and data scattering. ZLS1 (22.3 ± 1.4) presented higher translucency than HC1 (19.2 ± 0.6) and YZHT1 (12.0 ± 2.9), whereas ZLS.5 and HC.5 were similar to each other (26.5 ± 2.3, 26.7 ± 2.2) and superior to YZHT.5 (12.7 ± 1.2). Significance HC.5 combined high reliability and translucency with low stress concentration, yielding better crown performance and tooth preservation.","Fatigue, Reliability, Monolithic crowns, Dental materials, Tooth wear"
7,FENG2019434,"Feng, Jin; Cheng, Lei; Zhou, Xuedong; Xu, Hockin H. K.; Weir, Michael D.; Li, Qian; Hannig, Matthias; Rupf, Stefan",Effects of water aging on the mechanical and anti-biofilm properties of glass-ionomer cement containing dimethylaminododecyl methacrylate,Dental Materials,35,3,434-443,2019,https://www.sciencedirect.com/science/article/pii/S0109564118307577,"Objectives The aims of this study were to investigate the effects of water aging for up to 6months on the mechanical and anti-biofilm properties of a novel antibacterial glass ionomer cement (GIC) containing dimethylaminododecyl methacrylate (DMADDM). Methods GIC specimens (n=180) which contained DMADDM (0wt.%, 1.1wt.% or 2.2wt.%) were prepared. The mechanical properties surface roughness, microhardness and the surface charge density of ammonium groups were measured before and after water aging for 3 and 6months at 37°C. Further six months aged specimens (n=216) were worn by 6 volunteers in their oral cavities for 24h and 72h. Biofilm formation was analyzed and rated by fluorescence microscopy (FM) and by scanning electron microscopy (SEM). Biofilm viability was analyzed by FM. Results Water aging did not show any adverse effects on the surface roughness and hardness of the material. The surface charge density of the GIC samples containing DMADDM decreased due to the aging procedure, however, was still higher than that of the GIC without DMADDM. In situ biofilm formation was significantly reduced after 24h on DMADDM containing GIC (p<0.05). FM results showed a higher ratio of red/green fluorescence on GIC-DMADDM samples. Significance Incorporating DMADDM into GIC affected the material properties in a tolerable manner even after 6months of storage in water. The new GIC is a promising material to affect the biofilm formation on the surface of restorations.","Biofilms, Glass ionomer cements, Dimethylaminododecyl methacrylate, Anti-bacterial agents, Long term water aging, Mechanical properties"
7,PERDUNS2019501,"Perduns, Renke; Volk, Joachim; Schertl, Peter; Leyhausen, Gabriele; Geurtsen, Werner","HEMA modulates the transcription of genes related to oxidative defense, inflammatory response and organization of the ECM in human oral cells",Dental Materials,35,3,501-510,2019,https://www.sciencedirect.com/science/article/pii/S0109564118306444,"Objectives 2-Hydroxyethyl methacrylate (HEMA) is a widely used monomer of dental resin composite materials. Incomplete curing of resins leads to elution of HEMA, which may come in contact with different cells in oral tissues. We aimed to analyze the impact of HEMA on the transcription of genes participating in detoxification of oxidative stress, inflammatory response and organization of the extracellular matrix (ECM) using human gingival fibroblasts (HGFs) and human oral keratinocytes (OKF6/TERT2). Methods Cells were grown in monolayer cultures and treated with different HEMA concentrations (0.5–10mM). H33342 and LDH assays were used to determine HEMA-caused cytotoxicity. Quantitative RT-PCR was used to analyze mRNA expression of four genes related to oxidative stress and five genes each related to inflammation and organization of the ECM. Results HEMA caused similar concentration-dependent cytotoxicity in fibroblasts and keratinocytes. Analysis of the transcription showed that genes were regulated in both cell types after HEMA treatment. Genes related to defense against oxidative stress were transcriptionally induced, genes related to inflammation were mainly reduced and genes related to the organization of the ECM were differentially modulated. Significance We analyzed concurrent and HEMA-dependent differential expression of 14 important genes, which have a special significance for cellular processes that are linked to redox and tissue homeostasis. The results suggest that HEMA has an impact on cellular redox-homeostasis with potential impairment of inflammatory responses and of the organization of the ECM in human gingival fibroblasts and oral keratinocytes as first target cells of eluted HEMA.","HEMA, Oral keratinocytes, Gingival fibroblasts, Gene expression, Oxidative stress, Inflammation, ECM"
7,ALIA2023192,"Alia, Ala; Gao, Feng; Mitchell, John C.; Gasiorowski, Joshua; Ciancio, Mae; Kuppast, Bhimanna; Pfeifer, Carmem; Carrilho, Marcela R.",Dentin primer based on a highly functionalized gelatin-methacryloyl hydrogel,Dental Materials,39,2,192-203,2023,https://www.sciencedirect.com/science/article/pii/S0109564122003402,"Gelatin-methacryloyl hydrogels (GelMA) have demonstrated their utility as scaffolds in a variety of tissue engineering applications. Objectives In this study, a highly functionalized GelMA hydrogel was synthesized and assessed for degree of functionalization. As the proposed GelMA hydrogel was coupled to a visible-light photoinitiator, we hypothesized it might serve as base to formulate a model dentin primer for application in restorative dentistry. Methods GelMA was mixed with photoinitiator lithium phenyl-2,4,6-trimethylbenzoylphosphinate (LAP), photopolymerized for 0–40 s using a dental light-curing device and tested for extrudability, degree of photo-crosslinking (DPxlink), water sorption/solubility/swelling (WS/SL/SW) and apparent modulus of elasticity (AE). Model dentin primer was prepared by mixing GelMA+LAP with a primer of a commercial three-step etch-and-rinse adhesive. After application of GelMA-based primer to acid-etched dentin, samples were bonded with correspondent adhesive agent, photopolymerized and had their immediate bond strength compared to control samples primed and bonded with the same commercial material. Results Extrudability of hydrogel was confirmed using a microsyringe to write the acronym “CDMI”. DPxlink of GelMA+LAP changed significantly as a function of photopolymerization time (20 s < 30 s ≤ 40 s). WS, SL and SW were significantly reduced in hydrogels polymerized for 30 and 40 s. AE of hydrogels varied significantly as a function of photopolymerization time (20 s < 30 s ≤ 40 s; 20 s ‡ 40 s). Bond strength of dentin primed with GelMA-based primer was lower (∼29.3 MPa) but not significantly of that of control (∼34.6 MPa). Conclusions Optimization of a GelMA-based dentin primers can lead to the development of promising biomimetic adhesives for dentin rehabilitation.","Hydrogels, Model bonding agents, Methacrylamides, Gelatin, Dentin, Extracellular matrix"
7,WEIMANN2021e162,"Weimann, Dominique; Morgenthal, Anneke; Schwendicke, Falk; Fleck, Claudia; Razi, Hajar",Substantial regional differences in the biomechanical behavior of molar treated with selective caries tissue removal technique: a finite element study,Dental Materials,37,3,e162-e175,2021,https://www.sciencedirect.com/science/article/pii/S0109564120303286,"Objectives Selective caries removal (SCR) is recommended over non-selective removal for managing deep carious lesions to avoid pulp exposure and maintain pulp vitality. During SCR, residual carious dentin is left behind and sealed beneath the restoration. The biomechanical effects of such residual lesions on the restored tooth remain unclear and were assessed using finite element modeling (FEM). Methods Based on μ-CT images of a healthy permanent human third molar, we developed five finite element models. Generic class I and II cavity restorations were modeled where residual lesions of variable sizes were either left or fully removed on occlusal and proximal surfaces. The cavities were restored with adhesive composite. All 3D-FE models were compared with a model of a healthy, non-treated molar. A vertical load of 100 N was applied onto the occlusal surface. Results Regardless of the lesion size, in molars with occlusal lesions higher mean stresses were predicted along the filling-lesion interface than in all other models. The smallest occlusal lesion (Ø1 = 1 mm) resulted in the highest maximum stresses at the filling-lesion interface with large stress concentrations at the filling walls indicating failure risk. In conclusion, lesion site and extent are influencing parameters affecting the filling-lesion interactions and thus the biomechanical behavior of the tooth after SCR. Significance Retaining carious lesions around the pulpal floor affects the deformation and stress states in tooth-filling complexes. The higher stresses observed in molars with occlusal lesions may affect restoration stability and longevity. Suprisingly, more extended occlusal lesions may provide a more favorable tooth performance than less extended ones. In contrast, in molars with proximal lesions the residual lesion had only limited effect on the tooth’s biomechanical condition.","Selective caries removal, Partial caries removal, Occlusal and proximal caries lesion, Filling, Interfacial stresses, Tooth-filling complex, Finite element modeling, Tooth biomechanics"
