http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://www.w3.org/2004/02/skos/core#note,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,DAABASH2023104549,"Daabash, Rawan; Alqahtani, Mohammed Q.; Price, Richard Bengt; Alshabib, Abdulrahman; Niazy, Abdurahman; Alshaafi, Maan M.",Surface properties and Streptococcus mutans biofilm adhesion of ion-releasing resin-based composite materials,Journal of Dentistry,134,,104549,2023,,https://www.sciencedirect.com/science/article/pii/S0300571223001355,"Objective To evaluate the adhesion of Streptococcus mutans (S. mutans) and related surface properties of ion-releasing resin-based composite (RBC) restorative materials. Methods Two ion-releasing RBCs, Activa (ACT) and Cention-N (CN), were compared to a conventional RBC (Z350) and a resin-modified glass ionomer cement (Fuji-II-LC). Ten disk-shaped specimens were fabricated for each material (n = 40). After standardized surface polishing procedure, the surface properties of the specimens were evaluated using surface roughness measurements by a profilometer and hydrophobicity using water contact angle measurements. To assess bacterial adhesion, the number of S. mutans bacteria was calculated from colony-forming units (CFU). Confocal laser scanning microscope analysis was done for qualitative & quantitative assessment. The data were analyzed using One-way ANOVA followed by Tukey's post-hoc test to compare the mean values of surface roughness, water contact angle and CFU values. To compare the mean dead cell percentage Kruskal-Wallis rank test and Conover test were used. A p-value of ≤ 0.05 was used to report the statistical significance. Results Z350 and ACT had the smoothest surfaces, followed by CN, and the roughest surface was seen in FUJI-II-LC. The lowest water contact angles were seen in CN, and Z350, and the highest were in ACT. S. mutans counts were the highest in ACT and the lowest in Z350 and CN. CN and Fuji-II-LC registered the highest percentage of dead bacterial cells, while the lowest were in ACT. Significance Surface properties did not significantly influence bacterial adhesion. More S. mutans bacteria accumulated on ACT than on the nanofilled composite and on CN. CN had antibacterial effects against Streptococcus mutans biofilms.","Resin composites, Ion release, Surface properties, , Confocal laser scanning microscopy"
7,ELSEIDY2023127312,"El-Seidy, Ahmed M. A.; Elbaset, Marwan A.; Ibrahim, Fatma A. A.; Abdelmottaleb Moussa, Sherif A.; Bashandy, Samir A. E.",Nano cerium oxide and cerium/zinc nanocomposites characterization and therapeutic role in combating obesity via controlling oxidative stress and insulin resistance in rat model,Journal of Trace Elements in Medicine and Biology,80,,127312,2023,,https://www.sciencedirect.com/science/article/pii/S0946672X23001888,"Background CeO2NPs and ZnONPs can curb the increase of cholesterol and triglycerides observed in rats with non-alcoholic fatty liver disease. It was suggested that CeO2 NPs could potentially have an insulin-sensitizing effect, specifically on adipose tissue and skeletal muscle. It was reported that ZnONPs combat the increase of insulin resistance observed in obese rats and could be beneficial value in NAFLD. In our previous work, ZnO-NPs manifested valuable anti-obesity effects via lowering body weight gain, oxidative stress, BMI, lipids, and insulin resistance. Methods In the present study, cerium oxide nanoparticles (A-1) and cerium/zinc nanocomposites (A-2 and A-3) were synthesized by solgel to investigate their role on oxidative stress, adipocyte hormones, and insulin resistance in an obese rat model. X-ray diffraction, HRTEM, SEM, and XPS were carried out to confirm the crystal structure, the particle size, the morphology of the nanoparticles and the oxidation states. Results The Rietveld refinement has also been executed on A-1 (chi2 = 1.00; average Bragg = 2.92%; R-factor = 2.45%) and on A-2 (Rw = 9.87%, Rex= 9.68%, χ2 = 1.04, GoF = 1.02). The XPS spectra indicated the presence of Ce in + 4 and + 3 oxidation states and Zn as ZnO and ZnO.OH. Cerium oxide and ZnO crystal sizes lie in the range 40.53–45.01 and 40.53–45.01 nm, respectively. The results indicated that treating obese rats with any of the tested nano compounds (5 mg or 10 mg/Kg) lowered plasma cholesterol, triglycerides, LDL, insulin resistance, glucose, and BMI significantly relative to obese group values. On the other hand, HDL increased significantly in obese rats after treatment with either A-2 or A-3 compared to obese rats. The current investigation showed antioxidant activities for A-1, A-2, and A3 as evidenced by the significant increase in GSH level and a significant decrease in MDA. Conclusion It was found that A-1, A-2, and A-3 have an efficient therapeutic role in treating of obesity-related hyperlipidemia, oxidative stress and insulin resistance. The results of A-2 and A-3 were more pronounced than those of A-1. The use of Zn/Ce nanocomposite (that have positive characteristics) in combating obesity and its complications could be become a new trend in therapeutic application for a management of obesity.","Cerium oxide, Cerium/zinc nanocomposites, Rietveld analysis, Oxidative stress, Obese, Insulin resistance"
7,ALASMAR2023275,"Al-Asmar, Ayah A.; HA Sabrah, Alaa; Abd-Raheam, Islam M.; Ismail, Noor H.; Oweis, Yara G.",Clinical evaluation of reasons for replacement of amalgam vs composite posterior restorations,The Saudi Dental Journal,35,3,275-281,2023,,https://www.sciencedirect.com/science/article/pii/S101390522300038X,"Background The aim of the present study is to evaluate the most common reasons for replacing posterior amalgam and resin composite restorations in patients attending the university dental restorative clinics. Methods A total of 318 restorations which needed to be replaced were clinically and radiographically evaluated in a period of nine months. The frequencies of reasons for replacing posterior amalgam and resin composite restorations were calculated; secondary caries, restoration/tooth fracture, marginal discoloration/ditching, proximal overhang/open margin, loss of anatomy, pain/sensitivity, and esthetics. Results The sample population comprised of 191 females and 106 males. The majority of the sample population fell in the age group of 40–50 years (n = 110). 318 restorations (n = 318) were examined in this study. 82% of examined teeth were restored with amalgam (n = 261), while posterior composite restorations comprised 18% of the examined teeth (n = 57). Among all restorations demanded to be replaced by the patients (n = 318), aesthetic need was the most common reason (n = 98), followed by Ditching or discoloration (n = 64), secondary caries (n = 57), and fracture (n = 44). Loss of anatomy was the least common cause to replace both amalgam and resin composite restorations (n = 5). The different reasons of failure were all significant between amalgam and resin composite restorations as shown in (Fig. 1) (p < 0.005). The most common reason for amalgam replacement was aesthetic. The most common reason for composite replacement was secondary caries and marginal ditching. Conclusion Both amalgam and composite had different reasons for replacement. Amalgam had lesser risk of developing secondary caries and higher longevity than composite.","Resin composite, Amalgam, Recurrent caries, Fracture, Aesthetics"
7,NAGABUSHANAM2023,"Nagabushanam, M.; Devade, Kiran; Aravind Reddy, G.; Nagaraj Goud, B.; Sayed, Raad Muhammed; Sood, Sanjay; Sonia, Pankaj",Advance biomedical engineering – A fundamental review of composite materials and its applications,Materials Today: Proceedings,,,,2023,,https://www.sciencedirect.com/science/article/pii/S2214785323044863,"Composite materials or composites are engineered substances that comprise in two or three components with a variety of differences in their physical chemical, mechanical, and physical properties. The distinctive properties of composites are a result of their constituent components of their individual properties as well as their volume fractions as well as arrangement within the system of materials. In accordance with the application the composites are designed to meet specific geometrical mechanical, structural and even aesthetic demands. The applications of these synthetic materials are in construction, for instance in bridges and structures and the automotive industry. aeronautics, automobile bodies and naval (e.g., ships and vessels) as well as biomedical fields. While polymeric, metallic or ceramic biomaterials are known to have all been used to treat medical conditions such as tissue repair and replacements for a long time but composites are only now getting noticed. The primary goal of this article is to describe composite materials and to discuss their present and future applications in the field of biomedicine. In spite of years of research and tests in a variety of biomedical applications commercial distribution and production of composite-based medical equipment was only completed. Before making use of these tools successfully you must be aware of the intended goals and their limitations.","Composites, Biomedical engineering, Material science engineering materials, Carbon fibre reinforced composite (CFRC), Ceramic matrix composites (CMC)"
7,GIROTTO2023104410,"dos Santos Girotto, Luiza Paloma; Chisini, Luiz Alexandre; Lynch, Christopher D.; Blum, Igor R.; Wilson, Nairn H. F.; Sarkis-Onofre, Rafael; de Carvalho, Rodrigo Varella; van de Sande, Françoise Hélène",Teaching of composite restoration repair in Brazilian dental schools,Journal of Dentistry,130,,104410,2023,,https://www.sciencedirect.com/science/article/pii/S0300571223000027,"Objectives The aim was to investigate aspects of the teaching of restoration repair as a minimally invasive alternative to replacing defective direct composite restorations in undergraduate curricula teaching programs in Brazilian dental schools. Methods A 14-item validated survey questionnaire was mailed to directors/coordinators of operative/restorative dentistry teachers of Brazilian Dental Schools. Data were collected on demographic characteristics of the teachers and institutions, together with questions on the teaching of the repair of defective resin-based composite restorations as part of the school curriculum; the rationale behind the teaching; the nature of the teaching (preclinical and/or clinical); how techniques were taught, indications for repair, operative techniques, materials used, patient acceptability and expected longevity of completed repairs. Results Two hundred and twenty-two (94%) directors/ coordinators of dental curricula in Brazil were contacted. One hundred and thirty-one directors/coordinators (59%) replied, providing the e-mail address from the teacher responsible for the operative/restorative dentistry program in their school. Of these, 104 responded to the questionnaire (79% response rate). Ninety-three (89%) of the participating schools reported teaching composite repairs as an alternative to replacing restorations. Of the theoretical content, 43% was taught at preclinical and clinical levels, whereas most practical experience (53%) was acquired at clinical levels. Eighty-eight schools (95%) reported tooth substance preservation being the main reason for teaching repair techniques. All schools that taught repairs reported high patient acceptability. Conclusions The teaching of composite restoration repair as an alternative to restoration replacement is established in undergraduate programs in most of the Brazilian dental schools surveyed. Clinical significance The reasons for teaching restoration repair in Brazil were found to be quite unanimous among teachers, especially regarding the preservation of tooth structure. Variations were found in the clinical indications for repair, suggesting the need for further investigations. Monitoring repaired restorations should be encouraged and could contribute to future studies.","Composite resins, Decision-making, Questionnaire, Restoration repair, Teaching"
7,CHLOUPEK202355,"Chloupek, Brett R.","Commemorative vigilance between totalitarianisms: Slovakia’s 'Victims Warn' sculpture, from counter-monument to anti-monument",Journal of Historical Geography,81,,55-66,2023,,https://www.sciencedirect.com/science/article/pii/S0305748823000385,"Near the end of World War II, a diverse coalition of Slovak political parties and citizens orchestrated an insurrection against the Nazi occupiers and their Slovak client government. While it ultimately failed to liberate Slovakia, the narrative of the Slovak National Uprising of 1944 become central to the Slovak memory wars which have followed. Virtually all post-war political regimes have sought either to uphold the legacy of the uprising or to attack it as an anti-state action. Such memory wars extend to monumental commemorations of the uprising—most notable is Jozef Jankovič’s 1969 monument entitled 'Victims Warn'. The monument’s surreal, humanistic style and counter-monumental social message offended communist sensibilities and it was quickly removed. Since its restoration to the central courtyard of the Slovak National Uprising Museum in 2004, it now increasingly functions as an anti-monument to nationalist political narratives, including those related to NATO, Russia, Ukraine, and the legacy of the wartime Slovak state. This paper tracks the monument’s transition from counter-monument to anti-monument, and also looks at commemorative vigilance issues that currently threaten to alter the monument’s original meaning, its spatial context, and Jankovič’s original artistic vision.","Slovak National Uprising, Counter monument, Anti monument, Slovakia, Ukraine, Lieu de mémoire"
7,WANG20231076,"Wang, Ruili; Li, Zhihao; Tian, Qingyi; Ma, Zhiyuan; Zhu, Meifang",Making graphene oxide (GO)-cladded SiO2 spheres (SiO2 @GO) as inorganic fillers for dental restorative resin composites,Dental Materials,39,12,1076-1084,2023,,https://www.sciencedirect.com/science/article/pii/S0109564123004104,"Objective Graphene oxide (GO) is of great interest in dentistry as the functional filler, mainly owing to its ability to inhibit the formation of cariogenic bacteria and possess low cytotoxicity to different cells, such as human dental pulp cells, HeLa cells, etc. However, its typical brown color limits the practical application. Methods Here, the refractive-index-matched monodisperse SiO2 were used as the supporting substrates to synthesize GO-cladded SiO2 spheres (xSiO2 @ yGO) through a mild electrostatic self-assembly process, where x and y represent the amount of SiO2 and GO in the reaction mixture, respectively. The morphology and the optical performance of the obtained xSiO2 @ yGO particles were modulated by varying the mass ratio of SiO2 and GO (5:1, 10:1, 50:1, and 100:1). All developed hybrid particles were silanized and formulated with dimethacrylate-based resins. These were tested for curing depth, polymerization conversion, mechanical performance, in vitro cell viability, and antibacterial activity. Results Of all xSiO2 @ yGO materials, increasing the mass ratio to 100:1 made the 100SiO2 @GO particles appear light brown and possess the lowest light absorbance from 300 to 800 nm. The results of CIEL*a*b* system showed that all these hybrid particles exhibited obvious discoloration compared with SiO2 and GO, where 100SiO2 @GO possessed the smallest color difference. Furthermore, following the results of curing depth, polymerization conversion, and mechanical performance of dental composites, the optimal filler composition was 100SiO2 @GO at 5 wt% filler loading. The resultant 100SiO2 @GO-filled composite produced the highest flexural strength (115 ± 12 MPa) and the lowest bacterial concentration (6.7 × 108 CFU/mL) than those of the resin matrix (78 ± 11 MPa; 9.2 × 108 CFU/mL) and 5 wt% SiO2-filled composite (106 ± 9 MPa; 9.1 × 108 CFU/mL), respectively, without affecting in vitro cell viability. Significance The facile and mild synthesis of xSiO2 @ yGO hybrid particles provided a convenient way to tune their optical property. The optimal 100SiO2 @GO particles could be considered as the promising antibacterial filler to be applied in dental care and therapy.","Refractive index-matched, Optical characteristic, Antibacterial property, Dental resin composite"
7,WEISS2023938.e1,"Weiss, Ervin I.; Enoch, Omer; Steinkeller-Dekel, Michal",Effect of composite resin containing antibacterial filler on sugar-induced pH drop caused by whole saliva bacteria,The Journal of Prosthetic Dentistry,130,6,938.e1-938.e7,2023,,https://www.sciencedirect.com/science/article/pii/S0022391323006297,"ABSTRACT Statement of problem Secondary caries around restorations is a major problem and can be attributed to bacteria invading microgaps formed at the tooth-restoration interface. An antibacterial composite resin containing quaternary ammonium silica (QASi) filler has been reported to inhibit enamel demineralization in situ. However, whether the prevention of enamel demineralization by QASi-containing composite resin is because of the reduced metabolic activity of acid-producing saliva bacteria is unclear. Purpose The purpose of this study was to compare the effects of QASi-containing composite resin and 2 other restorative materials on the viability of salivary bacteria and sugar-induced acid production. Material and methods Whole saliva from each of the 30 study participants, 14 at high risk and 16 at low risk for caries, was brought into contact with quadruplicate specimens of 3 restorative materials, Infinix Flowable Composite, an anti-bacterial composite resin containing 1.5% QASi filler (Nobio), Filtek Supreme Flowable Restorative (3M), a conventional flowable composite resin, and dental amalgam (Silmet). Bacterial growth and sugar-induced acid production on each restorative material were measured every 20 minutes for 18 hours. Caries risk groups were compared using the t test and repeated measures analysis of variance (α=.05). When significant, Bonferroni multiple comparisons were used. Results On average, the saliva with the QASi-containing composite resin specimens maintained a near-neutral pH, not dropping below pH 6.0. The saliva associated with both conventional restorative materials exhibited a pH drop below 5.5 (P<.001), the critical threshold for tooth demineralization according to the Stephan curve. Virtually no growth was measured on the surface of the antibacterial composite resin, whereas bacteria grew on the conventional composite resin and dental amalgam (P<.001). No differences were observed between participants at high and low risk of caries. Conclusions Unlike amalgam and conventional composite resin, the QASi-containing composite resin showed a near-complete shutdown of the metabolic activity of salivary bacteria upon contact and virtually no bacterial viability. This suggests that the prevention of tooth demineralization by QASi-containing restoratives is associated with a significant reduction in bacterial metabolic activity.",
7,LEMPEL20231095,"Lempel, Edina; Gyulai, Sarolta; Lovász, Bálint Viktor; Jeges, Sára; Szalma, József",Clinical evaluation of lithium disilicate versus indirect resin composite partial posterior restorations – A 7.8-year retrospective study,Dental Materials,39,12,1095-1104,2023,,https://www.sciencedirect.com/science/article/pii/S0109564123004189,"Objective To evaluate retrospectively the longevity of lithium disilicate ceramic (LidiSi) vs. laboratory-processed resin-based composite (RBC) inlay/onlay/overlay restorations and risk factors associated with restoration deficiencies and failures. Methods Patients (n = 91) receiving LidiSi (73.1%) and RBC (36.9%) inlays/onlays/overlays between 2007 and 2017 were selected. The restorations were evaluated using the modified U.S. Public Health Service criteria. The survival of the restorations was analyzed using the Kaplan-Meier method and log rank test. Factors affecting the occurrence of deficiencies were examined by logistic regression analysis. This was performed with the use of the Generalized Estimating Equation model including Repeated measurements (GEER), with the consideration that the same patient had several teeth in the sample. Risk estimation was conducted for each evaluated criterion (p < 0.05). Results The survival of LidiSi and RBC restorations were 96.8% and 84.9%, respectively after a mean observation period of 7.8 ± 3.3 years. The annual failure rate was 0.2% for LidiSi and 1.0% for RBC. The probability of survival was above 98% for both restorations in the first 6 years, however, it dropped to 60% for RBC by the end of the 15th year. For both materials the reasons for failure included secondary caries, restoration fracture, and endodontic complication. In addition, LidiSi also failed due to tooth fracture, while RBC due to marginal gap formation and loss of retention. Among the evaluated risk factors, material of restoration (OR=6.8, CI95%:3.1–14.9), oral hygiene (OR=8.0, CI95%: 2.9–22.1], and bruxism (OR=1.9, CI95%: 1.1–3.3) showed a significant impact on the evaluated criteria. Significance LidiSi and RBC restorations showed similarly excellent 6-year survival, however, in the long term significantly more failures should be expected for RBCs.","Lithium disilicate, Resin composite, Indirect restoration, Clinical performance"
7,DUNCAN2023574,"Duncan, Henry F.; Kobayashi, Yoshifumi; Kearney, Michaela; Shimizu, Emi","Epigenetic therapeutics in dental pulp treatment: Hopes, challenges and concerns for the development of next-generation biomaterials",Bioactive Materials,27,,574-593,2023,,https://www.sciencedirect.com/science/article/pii/S2452199X23001317,"This opinion-led review paper highlights the need for novel translational research in vital-pulp-treatment (VPT), but also discusses the challenges in translating evidence to clinics. Traditional dentistry is expensive, invasive and relies on an outmoded mechanical understanding of dental disease, rather than employing a biological perspective that harnesses cell activity and the regenerative-capacity. Recent research has focussed on developing minimally-invasive biologically-based ‘fillings’ that preserve the dental pulp; research that is shifting the paradigm from expensive high-technology dentistry, with high failure rates, to smart restorations targeted at biological processes. Current VPTs promote repair by recruiting odontoblast-like cells in a material-dependent process. Therefore, exciting opportunities exist for development of next-generation biomaterials targeted at regenerative processes in the dentin-pulp complex. This article analyses recent research using pharmacological-inhibitors to therapeutically-target histone-deacetylase (HDAC) enzymes in dental-pulp-cells (DPCs) that stimulate pro-regenerative effects with limited loss of viability. Consequently, HDAC-inhibitors have the potential to enhance biomaterial-driven tissue responses at low concentration by influencing the cellular processes with minimal side-effects, providing an opportunity to develop a topically-placed, inexpensive bio-inductive pulp-capping material. Despite positive results, clinical translation of these innovations requires enterprise to counteract regulatory obstacles, dental-industry priorities and to develop strong academic/industry partnerships. The aim of this opinion-led review paper is to discuss the potential role of therapeutically-targeting epigenetic modifications as part of a topical VPT strategy in the treatment of the damaged dental pulp, while considering the next steps, material considerations, challenges and future for the clinical development of epigenetic therapeutics or other ‘smart’ restorations in VPT.","Epigenetics, Vital pulp treatment, Histone deacetylase inhibitors, Regenerative endodontics, Pulp capping"
