http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://www.w3.org/2004/02/skos/core#note,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,WANG2023100008,"Wang, Yuze; Konstantinou, Charalampos; Tang, Sikai; Chen, Hongyu",Applications of microbial-induced carbonate precipitation: A state-of-the-art review,Biogeotechnics,1,1,100008,2023,,https://www.sciencedirect.com/science/article/pii/S2949929123000086,"Microbial-Induced Carbonate Precipitation (MICP) is a naturally occurring process whereby bacteria produce enzymes that accelerate the precipitation of calcium carbonate. This process is facilitated through various bacterial activities, including ureolysis, sulfate reduction, iron reduction, and denitrification. The application of MICP has been widespread in a range of engineering fields, such as geotechnical, concrete, environmental, and oil and gas engineering for soil stabilization, concrete remediation, heavy metal solidification, and permeability control. Numerous review papers have been published that summarize the mechanisms and properties associated with different MICP applications. The purpose of this review paper is to provide a comprehensive summary of the various engineering applications of MICP, along with the mechanisms, materials, and engineering properties associated with each application. By comparing the similarities and differences in MICP research progress across different engineering fields, this review aims to increase understanding of MICP, stimulate new research ideas, and accelerate the development of MICP techniques.","MICP, Mechanisms, Engineering properties, Engineering applications"
7,SARAFIDOU202335,"Sarafidou, Katia; Vasileiadi, Georgia; Louvrou, Marilena Kalliopi; Moldovani, Eirini; Koidis, Petros; Kokoti, Maria; Bakopoulou, Athina",Screwmentable implant-supported prostheses: A systematic review,The Journal of Prosthetic Dentistry,130,1,35-47,2023,,https://www.sciencedirect.com/science/article/pii/S0022391321005060,"Statement of problem Screwmentable prostheses were developed to combine the benefits of screw retention and cement retention. However, data are limited on the clinical performance of this type of prosthesis. Purpose The purpose of this systematic review was to collect scientific evidence on screwmentable prostheses and evaluate their long-term clinical behavior. Material and methods An electronic search was conducted by 2 independent reviewers for articles published in scientific dental journals in English from 2004 to April 2020. The search strategy followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. Inclusion criteria were scientific studies concerning the screwmentable type of prosthesis. Results The search provided 494 records. Of these, 24 studies fulfilled the inclusion criteria and were included in the review. The included articles presented significant heterogeneity concerning the manufacturing process and the materials used. One randomized clinical trial, 2 prospective clinical studies, 14 in vitro studies, 3 protocol descriptions, 1 case series, and 3 case reports were included. Conclusions Based on the systematic search of the literature, it is concluded that the screwmentable prosthesis combines advantages of both cement-retained and screw-retained restorations, including passive fit, retrievability, excess cement control, tissue-friendly emergence profile, and improved esthetics. Nevertheless, data from well-designed clinical trials are limited, and further research is required to provide evidence on their long-term clinical behavior.",
7,WANG20231028,"Wang, Gaoqi; Wang, Shouren; Dong, Xingshi; Zhang, Yujun; Shen, Wei",Recent progress in additive manufacturing of ceramic dental restorations,Journal of Materials Research and Technology,26,,1028-1049,2023,,https://www.sciencedirect.com/science/article/pii/S2238785423017866,"Ceramics are highly regarded in dental restorations owing to their favorable mechanical properties, chemical resistance, biocompatibility, and aesthetic features. Ceramic additive manufacturing (AM) technology has emerged as a promising solution that offers advantages over traditional techniques such as injection molding, die pressing, tape casting, and milling. Ceramic AM is, however, still under development, with new technologies and devices continuously emerging. This paper provides a comprehensive review of the latest research and applications of ceramic AM in dental restoration, focusing on the progress made within the past five years. Three perspectives are discussed: ceramic AM technologies, commonly used printable ceramic materials, and different types of dental restorations. Among these, vat photopolymerization is the most widely researched and promising AM technology for large-scale applications. ZrO2 remains the primary material used in AM research, whereas crowns and bridges are the most frequently studied and are the closest to industrialized dental restorations. Currently, ceramic AM satisfies the clinical requirements of accuracy, mechanical performance, and biocompatibility. However, compared with traditional methods, it lacks significant advantages in terms of cost and manufacturing efficiency, limiting its large-scale application. Further improvements are necessary in all stages, including raw materials, equipment, post-processing, and standardization.","Additive manufacture, Ceramic, Dental restoration, Forming accuracy, Mechanical performance"
7,SALAMI2023132296,"Salami, Babatunde Abiodun; Mukhtar, Faisal; Ganiyu, Saheed A.; Adekunle, Saheed; Saleh, Tawfik A.",Graphene-based concrete: Synthesis strategies and reinforcement mechanisms in graphene-based cementitious composites (Part 1),Construction and Building Materials,396,,132296,2023,,https://www.sciencedirect.com/science/article/pii/S0950061823020123,"In this first of a two-part review, this review discusses the potential of graphene to be utilized as a reinforcing filler in cementitious composite to enhance their functional performance. The incorporation of graphene into concrete can address issues such as brittleness, low tensile strength, and permeability. Graphene offers great potential as a concrete additive because of its remarkable features such as efficient heat and electrical conductivity, as well as remarkable strength. Several forms of graphene such as graphene oxide (GO), graphene nanoplatelets (GNPs), and functionalized graphene (FG), have been tested, and all have shown improvements in compressive, flexural, and tensile strengths compared to ordinary Portland cement (OPC). The two-dimensional nature of graphene allows it to have a high specific surface area, making it an attractive construction and building material. The use of graphene in concrete can help lower global CO2 emissions, making the construction industry more sustainable. The incorporation of a very small quantity of graphene can increase the strength of conventional concrete, reducing the environmental footprint. The article discusses the results of a life cycle assessment (LCA) study, which indicates that making 1 kg of commercial GNPs resulted in lower CO2 emissions than OPC. The adoption of graphene as a 21st-century material grew extensively in many applications such as computing, energy, medicine, optics, and material science, and now it can be used to improve the concrete's mechanical and durability capabilities.","Graphene, Concrete, Cementitious binder, Mechanical strength, Durability, CO emissions, Ordinary Portland cement, OPC"
7,YU2023102152,"Yu, Hongying; Habibi, M.; Motamedi, K.; Semirumi, D. T.; Ghorbani, A.",Utilizing stem cells in reconstructive treatments for sports injuries: An innovative approach,Tissue and Cell,83,,102152,2023,,https://www.sciencedirect.com/science/article/pii/S0040816623001404,"Orthopedic tissue engineering is a rapidly evolving field that holds great promise for the reconstruction and natural repair of bone and joint tissues. Bone loss, fractures, and joint degeneration are common problems that can result from a variety of pathological conditions, and their restoration and replacement are essential not only for functional purposes but also for improving the quality of life for patients. However, current methods rely heavily on artificial materials that can potentially lead to further tissue damage, making tissue engineering a highly attractive alternative. This innovative approach involves the utilization of stem cells (SCs), which are seeded onto a scaffold to form a biological complex. Among these SCs, mesenchymal stem cells (MSCs) extracted from bone marrow and adipose tissue have shown immense potential for bone and joint tissue regeneration. The success of orthopedic tissue engineering is contingent on the careful selection of appropriate scaffolds and inducing molecules, which play a critical role in carrying and supporting cells and inducing their differentiation. This review article comprehensively analyzes the three vital aspects of orthopedic tissue engineering - SCs, scaffolds, and inducing molecules - in order to provide a deeper understanding of this emerging field and its potential for the future of orthopedic medicine.","Stem cells, Functional restoration, Bone loss, Fractures, Emerging field, Orthopedic medicine"
7,PEI2023100015,"Pei, Jason Shun Fui; Soh, Megan; Choo, Chung Siung; Ong, Dominic Ek Leong; Ng, Sing Muk; Sunarso, Jaka","Harnessing fluidised bed combustion fly ash as a potential green binder: Origin, characteristics, mechanisms, and products properties",Next Materials,1,2,100015,2023,,https://www.sciencedirect.com/science/article/pii/S2949822823000151,"Over the past decade, the production of fluidised bed combustion (FBC) fly ash has overtaken that of pulverised coal combustion (PCC) fly ash, which provides near future opportunity for its use as a binder material for construction industry. FBC fly ash however exhibits different characteristics (i.e. morphology and chemical and phase compositions) to PCC fly ash. This review aims to overview the generic features of PCC and FBC processes that contribute to their unique product characteristics. The review then discusses and summarises the important characteristics of FBC fly ash and the reported variations in the literatures due to the different coal types and origins, which determine their binding application suitability. Comprehensive discussions are then made on the requirements, mechanisms, and product properties of the four most widely studied routes of using FBC fly ash as binder material, i.e. (i) adding Portland cement to form blended Portland cement; (ii) adding bauxite to form calcium sulphoaluminate cement; (iii) adding granulated blast furnace slag to form supersulphated cement; and (iv) adding alkali activator to form alkali-activated binder. Despite the vast potential of FBC fly ash, there are two key challenges, i.e. (i) lack of standard specification that caters specifically to various FBC fly ashes and (ii) high variation in the final cured product properties. This review will pave a pathway towards wider adoption of FBC fly ash for sustainable construction application.","Alkali-activated, Blended Portland, Calcium sulphoaluminate, Cement, Supersulphated"
7,ISLAM202348,"Islam, Rafiqul; Islam, Md Refat Readul; Tanaka, Toru; Alam, Mohammad Khursheed; Ahmed, Hany Mohamed Aly; Sano, Hidehiko",Direct pulp capping procedures – Evidence and practice,Japanese Dental Science Review,59,,48-61,2023,,https://www.sciencedirect.com/science/article/pii/S1882761623000042,"The aim of direct pulp capping (DPC) is to promote pulp healing and mineralized tissue barrier formation by placing a dental biomaterial directly over the exposed pulp. Successful application of this approach avoids the need for further and more extensive treatment. In order to ensure a complete pulp healing with the placement of restorative materials, a mineralized tissue barrier must form to protect the pulp from microbial invasion. The formation of mineralized tissue barrier can only be induced when there is a significant reduction in pulp inflammation and infection. Consequently, promoting the healing of pulp inflammation may provide a favorable therapeutic opportunity to maintain the sustainability of DPC treatment. Mineralized tissue formation was observed as the favorable reaction of exposed pulp tissue against a variety of dental biomaterials utilized for DPC. This observation reveals an intrinsic capacity of pulp tissue for healing. Therefore, this review focuses on the DPC and its healing procedure as well as the materials used for DPC treatment and their mechanisms of action to promote pulpal healing. In addition, the factors that can affect the healing process of DPC, clinical considerations and future perspective has been described.","Vital pulp therapy, Direct pulp capping, Calcium hydroxide, Mineral trioxide aggregate, Bioceramics, Pulp capping materials"
7,CHUNG2023311,"Chung, D. D. L.",A critical review of electrical-resistance-based self-sensing in conductive cement-based materials,Carbon,203,,311-325,2023,,https://www.sciencedirect.com/science/article/pii/S0008622322009976,"Self-sensing refers to a structural material sensing itself. It is valuable for smart structures. It is mainly achieved by measuring the electrical resistance of the structural material, as the resistance is affected by strain and damage. Electrical-resistance-based strain/damage self-sensing in cement-based materials emerged in 1993 and the field has grown greatly since then. This is a critical review of this field. Elastic strain causes reversible resistivity change. Damage causes irreversible resistivity increase. Conductive admixtures are required. For short carbon fiber as admixture, the resistivity decreases upon compression, due to the fiber-matrix interfacial resistivity decrease, and increases upon tension; upon flexure, the compression surface resistance decreases and tension surface resistance increases. As shown by the gage factor, carbon fiber/nanofiber/nanotube is more effective than carbon-black/graphite-nanoplatelet/graphene, and short carbon fiber is more effective than carbon nanotube. The addition of carbon nanotube to short carbon fiber decreases the gage factor. For nanotube/nanofiber, the resistivity decreases upon compression, due to increased contact among the nanotube/nanofiber units. The sensing performance is best when the admixture volume fraction is near the percolation threshold. Silica fume and surfactants in the cement mix promote the admixture dispersion. Sonication for promoting the nanocarbon dispersion is not necessary for the fiber dispersion. Nanofiber/nanotube deposition on fine aggregate enhances the dispersion. Macroscale steel fibers are less effective than microscale ones, which are less effective than carbon fiber. Common experimental method pitfalls are also addressed. The four-probe method is much more reliable than the two-probe method.","Carbon fiber, Carbon nanotube, Cement, Electrical resistance, Strain sensing, Damage sensing"
7,BARLETTA2023108542,"Barletta, Mário; Melo, Roger C. B.; Whitfield, Alan K.",Past and present conservation of South American estuaries,"Estuarine, Coastal and Shelf Science",295,,108542,2023,,https://www.sciencedirect.com/science/article/pii/S0272771423003323,"South America possesses a variety of estuaries along both tropical and temperate coastal regions, with most of these systems facing uncontrolled urban settlement and industrial development pressures. This review examines the contamination of estuaries on the continent with metals, persistent organic pollutants, and solid wastes, as well as their accumulation and transference through the trophic web. Moreover, we emphasize that the damming of rivers, dredging of estuaries, and deforestation of catchments results in alterations to the natural river flow and habitat losses, thus disrupting ecoclinal gradients and impairing the ability of estuarine fauna to move across connected ecosystems. We highlight how the loss in estuarine biodiversity and complexity has diminished biotic resilience and increased the potential for natural ‘disasters. It is also apparent that conservation actions are urgently required before environmental modifications exceed the capacity of estuarine ecosystems to recover from such major perturbations. We document that developing continents with many developing countries, such as South America, require legislation to support a healthy environment, and that more attention needs to be devoted to the social, economic and cultural aspects of traditional communities. We emphasize that plans and actions aimed at estuarine conservation must be based on consistent and statistically testable data that covers natural flow regimes, cycles of environmental contamination, and their influences on estuarine organisms. Environmental protection initiatives for South American estuaries are still in their infancy and steps are required to promote their protection by reducing untreated wastewater disposal, managing exploitation of resources, using stakeholder and co-management approaches, introducing restoration protocols, and improving habitat protection.","Marine protected areas, Estuarine pollution, Wetland loss, Estuarine resources, Anthropogenic modification, Co-management, Artisanal fisheries, Overexploitation"
7,PILECCO2023105975,"Pilecco, Rafaela Oliveira; Dapieve, Kiara Serafini; Baldi, Andrea; Valandro, Luiz Felipe; Scotti, Nicola; Pereira, Gabriel Kalil Rocha",Comparing the accuracy of distinct scanning systems and their impact on marginal/internal adaptation of tooth-supported indirect restorations. A scoping review,Journal of the Mechanical Behavior of Biomedical Materials,144,,105975,2023,,https://www.sciencedirect.com/science/article/pii/S1751616123003284,"Objective To summarize the existing scientific evidence on the effect of distinct intraoral (IOS) and extraoral (EOS) scanners in terms of their accuracy for image acquisition and the marginal/internal adaptation of indirect restorations. Methods The protocol of this scoping review is available online (https://osf.io/cwua7/). A structured search, with no date restriction, was performed in LILACS, MEDLINE via Pubmed, EMBASE, Web of Science, and Scopus, for articles written in English. The inclusion criteria were studies that considered at least two scanners, regardless of method (intra or extraoral), for the production of tooth-supported restorations. Two independent and blinded researchers screened the studies, collected and analyzed the data descriptively. Results 103 studies were included (55 on marginal/internal adaptation, 33 on accuracy, 5 on both outcomes, and 10 reviews). Most of them, shown clinically acceptable adaptation (<120 μm). Factors commonly related to the performance of scanners are: use of anti-reflection powders, method of image acquisition, and restoration/tooth characteristics. The need of anti-reflection powders was controversial. Different scanning principles seems to result on similar performance; IOS that combine them could be promising. The most explored systems were Omnicam - IOS, and inEos X5 - EOS, which showed similar performance on marginal/internal adaptation. Scarce studies explored the performance of EOS systems, especially in terms of accuracy. Different restoration designs as single-unit seemed not to modify the performance of scanners. Limited information is available regarding the planned cement space, restorative material and design (multi-unit restorations), as also techniques to measure adaptation. Conclusions Digital scanners are valid approaches to obtain accurate impressions resulting in clinically acceptable restorations. Systems that uses combined principles of image acquisition seems promising for optimal performance. Based on high discrepancy, the quality of evaluated evidence is low, and well-designed studies are still encouraged, especially considering validated IOS/EOS as a control comparison condition.",Computer-aided design. Dental impression technique. Dental marginal adaptation. Dimensional measurement accuracy
