http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,MASOODARIFBUKHARI2023109588,"Masood Arif Bukhari, Syed; Husnain, Naveed; Arsalan Siddiqui, Farrukh; Tuoqeer Anwar, Muhammad; Abbas Khosa, Azhar; Imran, Muhammad; Hassan Qureshi, Tahir; Ahmad, Rauf","Effect of laser surface remelting on Microstructure, mechanical properties and tribological properties of metals and alloys: A review",Optics & Laser Technology,165,,109588,2023,https://www.sciencedirect.com/science/article/pii/S0030399223004814,"Surface defects like porosity, cracks, coarse grains, surface roughness, etc. have a huge impact on the strength and performance of materials. Due to this, surface treatments have become an important part in the field of materials to attain certain desirable mechanical properties and surface properties. Surface of parts treated with laser surface remelting exhibits excellent surface and mechanical properties. It is a computer-based technique which provides the advantage of treating selective surfaces. Laser surface remelting tends to enhance corrosion resistance, microhardness, wear resistance, fatigue strength, and tensile strength of the materials. To achieve certain mechanical properties with laser surface remelting, an optimized set of laser processing parameters is essential. Laser surface remelting has become a compulsory treatment for parts manufactured by Additive Manufacturing (AM) processes as these processes provide poor surface, porosity, and hot cracking defects which ultimately affect the performance of parts. This paper critically evaluates the advancements which have been made in the field of laser surface remelting to get better surface quality, improved mechanical and tribological properties.","Laser Surface Remelting, Mechanical Properties, Laser Treatment, Microstructure, Surface Modification"
7,SAHU2023138201,"Sahu, J. N.; Kapelyushin, Y.; Mishra, Devi Prasad; Ghosh, Prabir; Sahoo, B. K.; Trofimov, E.; Meikap, B. C.","Utilization of ferrous slags as coagulants, filters, adsorbents, neutralizers/stabilizers, catalysts, additives, and bed materials for water and wastewater treatment: A review",Chemosphere,325,,138201,2023,https://www.sciencedirect.com/science/article/pii/S004565352300468X,"Solid waste is currently produced in substantial amounts by industrial activities. While some are recycled, the majority of them are dumped in landfills. Iron and steel production leaves behind ferrous slag, which must be created organically, managed wisely and scientifically if the sector is to remain more sustainably maintained. Ferrous slag is the term for the solid waste that is produced when raw iron is smelted in ironworks and during the production of steel. Both its specific surface area and porosity are relatively high. Since these industrial waste materials are so easily accessible and offer such serious disposal challenges, the idea of their reuse in water and wastewater treatment systems is an appealing alternative. There are many components such as Fe, Na, Ca, Mg, and silicon found in ferrous slags, which make it an ideal substance for wastewater treatment. This research investigates the potential of ferrous slag as coagulants, filters, adsorbents, neutralizers/stabilizers, supplementary filler material in soil aquifers, and engineered wetland bed media to remove contaminants from water and wastewater. Ferrous slag may provide a substantial environmental risk before or after reuse, so leaching and eco-toxicological investigations are necessary. Some study revealed that the amount of heavy metal ions leached from ferrous slag conforms to industrial norms and is exceedingly safe, hence it may be employed as a new type of inexpensive material to remove contaminants from wastewater. The practical relevance and significance of these aspects are attempted to be analyzed, taking into account all recent advancements in the fields, in order to help in the development of informed decisions about future directions for research and development related to the utilization of ferrous slags for wastewater treatment.","Ferrous slag, Adsorbents, Coagulants, Wetland, Advanced chemical oxidation, Wastewater treatment"
7,RAZA2023102295,"Raza, Saleem; Orooji, Yasin; Ghasali, Ehsan; Hayat, Asif; Karimi-Maleh, Hassan; Lin, Hongjun",Engineering approaches for CO2 converting to biomass coupled with nanobiomaterials as biomediated towards circular bioeconomy,Journal of CO2 Utilization,67,,102295,2023,https://www.sciencedirect.com/science/article/pii/S2212982022004140,"The need for carbon neutralization on a global scale necessitates innovative concepts for collecting, converting, and using carbon dioxide (CO2), particularly the technology and materials that use CO2 to convert biomass and nanobiomaterials as the basis of a circular bioeconomy. In recent years, CO2 conversion reaction has paid great attention to CO2 reforming and CO2 methanation of CH4 because of its advantages in using greenhouse gases (CO2 and CH4). In general, it can be utilized as a primary material for synthesizing novel products. In order to control and reduce CO2 production, enhanced CO2 capture and storage (CCS) technology has been fully developed to store CO2 and reuse it in the valuable products, like materials and biomaterials preparation. In the present review article, the conversion of CO2 to biomass energy is comprehensively discussed, emphasizing capture technology and post-combustion capture technology as promising methods of CO2 emission reduction. Further, this paper summarizes CO2 production and the comprehensive strategy of using CO2 as helpful Energy. Moreover, the CO2 removal provides low-carbon Energy while using its capture and storing technology to provide bioenergy, which is estimated to sustain the net zero CO2 target. In addition, CO2 capture and convert to biomass and then converted biomass into nanobiomaterials, their applications, preparation techniques and unique properties were reviewed. In general, this review focuses on converting carcinogenic CO2 into useful biomass energy, conversion strategies, and the utilization of CO2 into biomass and nanobiomaterials.","Carbon dioxide CO, Biomass, Engineering strategies, Utilization of CO, Conversion approaches"
7,MADAPPURA20234868,"Madappura, Alakananda Parassini; Madduri, Srinivas",A comprehensive review of silk-fibroin hydrogels for cell and drug delivery applications in tissue engineering and regenerative medicine,Computational and Structural Biotechnology Journal,21,,4868-4886,2023,https://www.sciencedirect.com/science/article/pii/S2001037023003689,"Hydrogel scaffolds hold great promise for developing novel treatment strategies in the field of regenerative medicine. Within this context, silk fibroin (SF) has proven to be a versatile material for a wide range of tissue engineering applications owing to its structural and functional properties. In the present review, we report on the design and fabrication of different forms of SF-based scaffolds for tissue regeneration applications, particularly for skin, bone, and neural tissues. In particular, SF hydrogels have emerged as delivery systems for a wide range of bio-actives. Given the growing interest in the field, this review has a primary focus on the fabrication, characterization, and properties of SF hydrogels. We also discuss their potential for the delivery of drugs, stem cells, genes, peptides, and growth factors, including future directions in the field of SF hydrogel scaffolds.","Hydrogels, Biofabrication, Cell therapy, Drug delivery, Tissue engineering, Tissue regeneration"
7,SMEDLEY2023105534,"Smedley, P. L.; Kinniburgh, D. G.","Uranium in natural waters and the environment: Distribution, speciation and impact",Applied Geochemistry,148,,105534,2023,https://www.sciencedirect.com/science/article/pii/S0883292722003389,"The concentrations of U in natural waters are usually low, being typically less than 4 μg/L in river water, around 3.3 μg/L in open seawater, and usually less than 5 μg/L in groundwater. Higher concentrations can occur in both surface water and groundwater and the range spans some six orders of magnitude, with extremes in the mg/L range. However, such extremes in surface water are rare and linked to localized mineralization or evaporation in alkaline lakes. High concentrations in groundwater, substantially above the WHO provisional guideline value for U in drinking water of 30 μg/L, are associated most strongly with (i) granitic and felsic volcanic aquifers, (ii) continental sandstone aquifers especially in alluvial plains and (iii) areas of U mineralization. High-U groundwater provinces are more common in arid and semi-arid terrains where evaporation is an additional factor involved in concentrating U and other solutes. Examples of granitic and felsic volcanic terrains with documented high U concentrations include several parts of peninsular India, eastern USA, Canada, South Korea, southern Finland, Norway, Switzerland and Burundi. Examples of continental sandstone aquifers include the alluvial plains of the Indo-Gangetic Basin of India and Pakistan, the Central Valley, High Plains, Carson Desert, Española Basin and Edwards-Trinity aquifers of the USA, Datong Basin, China, parts of Iraq and the loess of the Chaco-Pampean Plain, Argentina. Many of these plains host eroded deposits of granitic and felsic volcanic precursors which likely act as primary sources of U. Numerous examples exist of groundwater impacted by U mineralization, often accompanied by mining, including locations in USA, Australia, Brazil, Canada, Portugal, China, Egypt and Germany. These may host high to extreme concentrations of U but are typically of localized extent. The overarching mechanisms of U mobilization in water are now well-established and depend broadly on redox conditions, pH and solute chemistry, which are shaped by the geological conditions outlined above. Uranium is recognized to be mobile in its oxic, U(VI) state, at neutral to alkaline pH (7–9) and is aided by the formation of stable U–CO3(±Ca, Mg) complexes. In such oxic and alkaline conditions, U commonly covaries with other similarly controlled anions and oxyanions such as F, As, V and Mo. Uranium is also mobile at acidic pH (2–4), principally as the uranyl cation UO22+. Mobility in U mineralized areas may therefore occur in neutral to alkaline conditions or in conditions with acid drainage, depending on the local occurrence and capacity for pH buffering by carbonate minerals. In groundwater, mobilization has also been observed in mildly (Mn-) reducing conditions. Uranium is immobile in more strongly (Fe-, SO4-) reducing conditions as it is reduced to U(IV) and is either precipitated as a crystalline or ‘non-crystalline’ form of UO2 or is sorbed to mineral surfaces. A more detailed understanding of U chemistry in the natural environment is challenging because of the large number of complexes formed, the strong binding to oxides and humic substances and their interactions, including ternary oxide-humic-U interactions. Improved quantification of these interactions will require updating of the commonly-used speciation software and databases to include the most recent developments in surface complexation models. Also, given their important role in maintaining low U concentrations in many natural waters, the nature and solubility of the amorphous or non-crystalline forms of UO2 that result from microbial reduction of U(VI) need improved quantification. Even where high-U groundwater exists, percentage exceedances of the WHO guideline value are variable and often small. More rigorous testing programmes to establish usable sources are therefore warranted in such vulnerable aquifers. As drinking-water regulation for U is a relatively recent introduction in many countries (e.g. the European Union), testing is not yet routine or established and data are still relatively limited. Acquisition of more data will establish whether analogous aquifers elsewhere in the world have similar patterns of aqueous U distribution. In the high-U groundwater regions that have been recognized so far, the general absence of evidence for clinical health symptoms is a positive finding and tempers the scale of public health concern, though it also highlights a need for continued investigation.","Uranium, Uranyl, U isotopes, Drinking water, Redox, Mine water, NORM, Radionuclide"
7,BADHE2023116746,"Badhe, Ravindra V.; Chatterjee, Abhinav; Bijukumar, Divya; Mathew, Mathew T.",Current advancements in bio-ink technology for cartilage and bone tissue engineering,Bone,171,,116746,2023,https://www.sciencedirect.com/science/article/pii/S8756328223000790,"In tissue engineering, the fate of a particular organ/tissue regeneration and repair mainly depends on three pillars - 3D architecture, cells used, and stimulus provided. 3D cell supportive structure development is one of the crucial pillars necessary for defining organ/tissue geometry and shape. In recent years, the advancements in 3D bio-printing (additive manufacturing) made it possible to develop very precise 3D architectures with the help of industrial software like Computer-Aided Design (CAD). The main requirement for the 3D printing process is the bio-ink, which can act as a source for cell support, proliferation, drug (growth factors, stimulators) delivery, and organ/tissue shape. The selection of the bio-ink depends upon the type of 3D tissue of interest. Printing tissues like bone and cartilage is always challenging because it is difficult to find printable biomaterial that can act as bio-ink and mimic the strength of the natural bone and cartilage tissues. This review describes different biomaterials used to develop bio-inks with different processing variables and cell-seeding densities for bone and cartilage 3D printing applications. The review also discusses the advantages, limitations, and cell bio-ink compatibility in each biomaterial section. The emphasis is given to bio-inks reported for 3D printing cartilage and bone and their applications in orthopedics and orthodontists. The critical/important performance and the architectural morphology requirements of desired bone and cartilage bio-inks were compiled in summary.","Biomaterials, Bio-ink, 3D printing, Tissue engineering, Regenerative medicine, Drug delivery for bone tissue"
7,CHEN2023101164,"Chen, Yipeng; Dang, Baokang; Wang, Chao; Wang, Yuanyuan; Yang, Yushan; Liu, Ming; Bi, Hongjie; Sun, Dan; Li, Yingying; Li, Jian; Shen, Xiaoping; Sun, Qingfeng",Intelligent designs from nature: Biomimetic applications in wood technology,Progress in Materials Science,139,,101164,2023,https://www.sciencedirect.com/science/article/pii/S0079642523000968,"Biological systems, adapted through millions of years of evolution with various functional trade-offs, have emerged as a crucial source of inspiration for the design of advanced functional materials. Wood, with its unique structure and remarkable properties, is particularly promising for bio-inspired materials design. This review examines recent progress in the development of bio-inspired wood products that imitate the structures of natural organisms with specialized functions by integrating advanced technologies such as nanotechnology, molecular biology, interfacial chemistry, and physical modeling. From a bio-inspired perspective, an understanding of natural phenomena serves as the basis for fabricating a broad spectrum of wood-based bio-inspired smart materials with diverse functions and structures through rational material composition and structural design. The science of bio-inspired wood provides new concepts, designs, and compositions for a range of wood processing techniques, including chemical, physical, and biological processing, to confer new functions or intelligent responsiveness to wood.","Wood, Bioinspired, Intelligent response, Wood-based materials, Biological, Mechanical performance"
7,BAKSHE2023100293,"Bakshe, Pankaj; Jugade, Ravin",Phytostabilization and rhizofiltration of toxic heavy metals by heavy metal accumulator plants for sustainable management of contaminated industrial sites: A comprehensive review,Journal of Hazardous Materials Advances,10,,100293,2023,https://www.sciencedirect.com/science/article/pii/S2772416623000645,"The urban environment is a source and a carrier of heavy metals due to industrial waste. The establishment of industries and the emission of contaminants are not real problems; the big issue is the mixing of contaminants in a healthy environment. There is an urgent need to adopt the best approach to restricting contaminants at the introductory level of discharge and keeping the contaminants apart from the healthy environment. As a consequence, phytostabilization and rhizofiltration are the most specifically used and successful plant-based methods for eliminating toxins from industrial polluted regions with low impact on water bodies or soil structure. It also has the advantages of not producing secondary waste that must be treated and of stabilizing soil qualities as compared to other conventional treating methods. The comprehensive study helps us establish a suitable selection of technique for a particular metal-bearing effluent based on time consumption and efficiency, as well as identify plants typically employed for phytostabilization and rhizofiltration. This paper aims to compile important information about phytostabilization and rhizofiltration in relation to heavy metals stabilization. It also described the phytoremedial action plan, the remedy selection decision tree, and the soil/sediment decision tree. Additionally, it reveals the major criteria for plant selection, and their mechanism of stabilization Furthermore, this paper also recommends that the future studies should focus on finding more species that absorb As and Hg and designing a diverse range of plants that are useful for multielement absorption.","Heavy metal contamination, Phytoremediation, Remedy selection decision tree, Soil/sediment decision tree, Phytoremedial action plan"
7,WU2023e17718,"Wu, Yuanhao; Liu, Jieying; Kang, Lin; Tian, Jingjing; Zhang, Xueyi; Hu, Jin; Huang, Yue; Liu, Fuze; Wang, Hai; Wu, Zhihong",An overview of 3D printed metal implants in orthopedic applications: Present and future perspectives,Heliyon,9,7,e17718,2023,https://www.sciencedirect.com/science/article/pii/S2405844023049265,"With the ability to produce components with complex and precise structures, additive manufacturing or 3D printing techniques are now widely applied in both industry and consumer markets. The emergence of tissue engineering has facilitated the application of 3D printing in the field of biomedical implants. 3D printed implants with proper structural design can not only eliminate the stress shielding effect but also improve in vivo biocompatibility and functionality. By combining medical images derived from technologies such as X-ray scanning, CT, MRI, or ultrasonic scanning, 3D printing can be used to create patient-specific implants with almost the same anatomical structures as the injured tissues. Numerous clinical trials have already been conducted with customized implants. However, the limited availability of raw materials for printing and a lack of guidance from related regulations or laws may impede the development of 3D printing in medical implants. This review provides information on the current state of 3D printing techniques in orthopedic implant applications. The current challenges and future perspectives are also included.","3D printing, Implants, Orthopedic application, Clinic trials, Regulation"
7,RAME2023101662,"Rame, Rame; Purwanto, Purwanto; Sudarno, Sudarno",Biotechnological approaches in utilizing agro-waste for biofuel production: An extensive review on techniques and challenges,Bioresource Technology Reports,24,,101662,2023,https://www.sciencedirect.com/science/article/pii/S2589014X2300333X,"As the global push for sustainable energy solutions intensifies, agro-waste emerges as a pivotal candidate for biofuel production. Rich in organic compounds and widely abundant, these agricultural byproducts present both a challenge and an opportunity. This review delves into the various biotechnological techniques championing agro-waste conversion into valuable biofuels and byproducts such as organic acids and bioplastics. At the same time, innovations in fermentation, hybrid technologies, and nano-strategies demonstrate progress, but challenges persist, encompassing technical, economic, and policy realms. The discussion underscores the importance of comprehensive research, cross-disciplinary collaboration, and informed policymaking to navigate these challenges, propelling the sustainable biofuel industry forward.","Agro-waste, Biofuel production, Biotechnological techniques, Sustainability, Lignocellulose biomass"
