http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/dc/terms/date,http://purl.org/ontology/bibo/volume,http://purl.org/ontology/bibo/issue,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#datePublished,http://purl.org/ontology/bibo/issn,http://purl.org/ontology/bibo/uri,http://purl.org/ontology/bibo/doi,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords,http://www.w3.org/2004/02/skos/core#note,http://www.w3.org/2004/02/skos/core#note
"Shah PK,Stansbury JW",Photopolymerization shrinkage-stress reduction in polymer-based dental restoratives by surface modification of fillers,Dental Materials,2021,37,4,578-587,2021,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564121000336;http://dx.doi.org/10.1016/j.dental.2021.01.013,10.1016/j.dental.2021.01.013,"Objectives This research explores the use of polymer brushes for surface treatment of fillers used in polymer-based dental restoratives with focus on shrinkage stress reduction. The influence of interfacial reactive groups on shrinkage stress is explored. Methods Oligomers of varying lengths and with varying number of reactive groups along the length were synthesized by modifying commercial oligomers. Surface of silica fillers (OX50) was treated with methylaminopropyltrimethoxysilane and this was further reacted with the synthesized oligomers to obtain a series of polymer brushes on the surface. Fillers modified with ?-methacryloxypropyltrimethoxysilane were used as a control. Filler surface treatment was confirmed using diffuse reflectance spectroscopy and thermogravimetric analysis. Fillers were added at 30 wt % to a resin made of BisGMA/TEGDMA and polymerization kinetics, shrinkage stress, volumetric shrinkage, flexural strength and modulus, viscosity were measured. Results Composites with polymer brush functionalized fillers showed up to a 30 % reduction in shrinkage stress as compared to the control, with no reduction in flexural strength and modulus. Shrinkage stress reduced with increasing length of the polymer brush and increased with increase in number of reactive groups along the length of the polymer brush. Significance The interface between inorganic fillers and an organic polymer matrix has been utilized to reduce shrinkage stress in a composite with no compromise in mechanical properties. This study gives insights into the stress development mechanism at the interface.","Shrinkage stress, Shrinkage, Conversion, Photopolymerization, Filler, Surface modification, Polymer brush, Mechanical properties, Dental restorative, Silanes, Interface, Interphase",Composites with polymer brush functionalized fillers showed up to a 30 % reduction in shrinkage stress. Need more class for polymer brush as a  sub-class of fillers or new class as functionalized component under ,"The shrinkage suffered by the composite during curing ranges from 1.35% to 7.1%. This, together with curing stress leads to cohesion and adhesion failures, which are joined by the degree of monomer to polymer conversion as the main causes of composite resin restoration failures. Most materials shrink about 2-3%."
"Wang R,Li Z,Tian Q,Ma Z,Zhu M",Making graphene oxide (GO)-cladded SiO2 spheres (SiO2 @GO) as inorganic fillers for dental restorative resin composites,Dental Materials,2023,39,12,1076-1084,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123004104;http://dx.doi.org/10.1016/j.dental.2023.10.006,10.1016/j.dental.2023.10.006,"Objective Graphene oxide (GO) is of great interest in dentistry as the functional filler, mainly owing to its ability to inhibit the formation of cariogenic bacteria and possess low cytotoxicity to different cells, such as human dental pulp cells, HeLa cells, etc. However, its typical brown color limits the practical application. Methods Here, the refractive-index-matched monodisperse SiO2 were used as the supporting substrates to synthesize GO-cladded SiO2 spheres (xSiO2 @ yGO) through a mild electrostatic self-assembly process, where x and y represent the amount of SiO2 and GO in the reaction mixture, respectively. The morphology and the optical performance of the obtained xSiO2 @ yGO particles were modulated by varying the mass ratio of SiO2 and GO (5:1, 10:1, 50:1, and 100:1). All developed hybrid particles were silanized and formulated with dimethacrylate-based resins. These were tested for curing depth, polymerization conversion, mechanical performance, in vitro cell viability, and antibacterial activity. Results Of all xSiO2 @ yGO materials, increasing the mass ratio to 100:1 made the 100SiO2 @GO particles appear light brown and possess the lowest light absorbance from 300 to 800 nm. The results of CIEL*a*b* system showed that all these hybrid particles exhibited obvious discoloration compared with SiO2 and GO, where 100SiO2 @GO possessed the smallest color difference. Furthermore, following the results of curing depth, polymerization conversion, and mechanical performance of dental composites, the optimal filler composition was 100SiO2 @GO at 5 wt% filler loading. The resultant 100SiO2 @GO-filled composite produced the highest flexural strength (115 ± 12 MPa) and the lowest bacterial concentration (6.7 × 108 CFU/mL) than those of the resin matrix (78 ± 11 MPa; 9.2 × 108 CFU/mL) and 5 wt% SiO2-filled composite (106 ± 9 MPa; 9.1 × 108 CFU/mL), respectively, without affecting in vitro cell viability. Significance The facile and mild synthesis of xSiO2 @ yGO hybrid particles provided a convenient way to tune their optical property. The optimal 100SiO2 @GO particles could be considered as the promising antibacterial filler to be applied in dental care and therapy.","Refractive index-matched, Optical characteristic, Antibacterial property, Dental resin composite",Surveyed more article on Graphene oxide in dentistry…. Scholars are very enthusiastic with its functions. New class necessary as subclass of Fillers: bioactive Filler with instance name Graphene oxide,
"Da Rosa Rodolpho PA,Rodolfo B,Collares K,Correa MB,Demarco FF,Opdam NJ,Cenci MS,Moraes RR",Clinical performance of posterior resin composite restorations after up to 33 years,Dental Materials,2022,38,4,680-688,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122000549;http://dx.doi.org/10.1016/j.dental.2022.02.009,10.1016/j.dental.2022.02.009,"Objectives This retrospective study evaluated the performance of posterior composites after up to 33 years of clinical service and investigated factors associated with the risk of failures over time including patient- and tooth-related variables. Methods Patients who received at least one Class I or Class II direct composite restoration in a private office in 1986–1992 and had follow-up appointments were included. Failures and interventions over time were investigated using the dental records. A follow-up clinical recall was carried out in 2020. Two scenarios were considered: restorations that did not require any intervention (success) or restorations that were repaired and still functional (survival). Multivariate Cox regression analyses and Kaplan-Meier curves were performed using success and survival rates (p < 0.05). Results One hundred patient records and 683 restorations were included. A total of 353 failures were reported (success rate= 48%). Main reasons for failure were fracture and secondary caries. Most interventions after failures were repairs. Replacements were registered in 183 cases (survival rate= 73%). Annual failure rates were below 2.5% (success) and 1.1% (survival). Larger restorations and maxillary molars had higher failure risks. No significant differences in success rates among different resin composites was observed. A typical observation in this sample of restorations was the presence of moderate to advanced signs of aging, including marginal and surface staining, wear, chipping, changes in anatomical shape and translucency. Clearly aged restorations were still clinically satisfactory. Significance: This long-term, practice-based study indicates that resin composites can be used to restore posterior teeth with a long-lasting durability.","Resin-based composites, Restorative dentistry, Longevity, Clinical study, Patient records, Survival analysis","Clinical study based drawbacks of long duration composite filling is fracture, secondary caries,marginal and surface staining, wear, chipping, changes in anatomical shape and translucency, Success rate : 48 %",
"Fernandes AC,Edwards AB,França R",47 - Assessment of Mercury Vapor Inhalation after Restorative Procedures,Dental Materials,2023,39,,e30-e31,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123002440;http://dx.doi.org/10.1016/j.dental.2023.08.062,10.1016/j.dental.2023.08.062,"Purpose Trituration, condensation, and dental amalgam removal are sources of mercury vapor inhalation. The understanding of the efficiency of the standard personal protective equipment (PPE) against inhalation of mercury vapor during these dental procedures is limited. This study aimed to simulate a clinical setting and quantify the absorbed mercury vapor by the operator according to different PPE protocols. Methods Surgical mask levels I, II, III, KN95 1870 AURA, 95PFE – Precision AIR™, and MSA Advantage 200-LS Respirator were tested for amalgam removal; surgical mask levels I and III for amalgam trituration and surgical mask level III for amalgam condensation. A control group was also performed without any PPE. All the PPE was tested in addition to the protective face shield, except the control group and mask level I. A portable multifunctional atomic absorption spectrometer RA-915M Mercury Analyzer (Lumex Instruments, St. Petersburg, Russia) was used to measure the mercury concentration that crosses the different PPE types. The background was measured before each analysis and subtracted from the result. Amalgam Permit Regular Set (Southern Dental Industries- SDI, Victoria, Australia) was used for all the experiments. 70 dental amalgams from seven experimental conditions (n=10) were prepared with dimensions of 2mm³ in a Cavity-type Class I; they were removed following the International Academy of Oral Medicine and Toxicology protocol. 10 SDI dental amalgams (n=5) for condensation were condensed in the same cavity shape and dimensions using conventional condensers for amalgam fillings. 15 capsules of SDI dental amalgam (n=5) were triturated according to the manufacturer's recommendations. The results were tabled and submitted to nonparametric statistical analyses, Kruskal-Wallis ANOVA (? = 0.5). Results The results showed a significant difference in mercury vapor detected among the different kinds of PPE. Statistical tests pointed out that for the trituration and condensation steps, only masks level III plus Faceshield provided different results than the control group; for the amalgam removal experiment, only the 95PFE – Precision AIR™, and MSA Advantage 200-LS Respirator provided different results than the control group. Conclusion All the mercury vapor levels detected in this study were above the Reference Exposure Levels (REL) of the California Environmental Protection Agency (CA EPA, 2008) for intermittent 1-hour inhalation.",,,
"Lempel E,Gyulai S,Lovász BV,Jeges S,Szalma J",Clinical evaluation of lithium disilicate versus indirect resin composite partial posterior restorations – A 7.8-year retrospective study,Dental Materials,2023,39,12,1095-1104,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564123004189;http://dx.doi.org/10.1016/j.dental.2023.10.017,10.1016/j.dental.2023.10.017,"Objective To evaluate retrospectively the longevity of lithium disilicate ceramic (LidiSi) vs. laboratory-processed resin-based composite (RBC) inlay/onlay/overlay restorations and risk factors associated with restoration deficiencies and failures. Methods Patients (n = 91) receiving LidiSi (73.1%) and RBC (36.9%) inlays/onlays/overlays between 2007 and 2017 were selected. The restorations were evaluated using the modified U.S. Public Health Service criteria. The survival of the restorations was analyzed using the Kaplan-Meier method and log rank test. Factors affecting the occurrence of deficiencies were examined by logistic regression analysis. This was performed with the use of the Generalized Estimating Equation model including Repeated measurements (GEER), with the consideration that the same patient had several teeth in the sample. Risk estimation was conducted for each evaluated criterion (p < 0.05). Results The survival of LidiSi and RBC restorations were 96.8% and 84.9%, respectively after a mean observation period of 7.8 ± 3.3 years. The annual failure rate was 0.2% for LidiSi and 1.0% for RBC. The probability of survival was above 98% for both restorations in the first 6 years, however, it dropped to 60% for RBC by the end of the 15th year. For both materials the reasons for failure included secondary caries, restoration fracture, and endodontic complication. In addition, LidiSi also failed due to tooth fracture, while RBC due to marginal gap formation and loss of retention. Among the evaluated risk factors, material of restoration (OR=6.8, CI95%:3.1–14.9), oral hygiene (OR=8.0, CI95%: 2.9–22.1], and bruxism (OR=1.9, CI95%: 1.1–3.3) showed a significant impact on the evaluated criteria. Significance LidiSi and RBC restorations showed similarly excellent 6-year survival, however, in the long term significantly more failures should be expected for RBCs.","Lithium disilicate, Resin composite, Indirect restoration, Clinical performance",,
"Simila HO,Boccaccini AR",Sol-gel bioactive glass containing biomaterials for restorative dentistry: A review,Dental Materials,2022,38,5,725-747,2022,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122000598;http://dx.doi.org/10.1016/j.dental.2022.02.011,10.1016/j.dental.2022.02.011,"Objective Bioactive glasses (BAGs) have been researched extensively for dentistry due to their favourable biocompatibility and hard tissue bonding ability. However, the specific application of BAGs produced through sol-gel synthesis in restorative dentistry has not been reviewed previously. This review provides a comprehensive account of the principles behind sol-gel derived BAGs and their investigation for dental tissue restoration materials. Methods A search for in vitro and in vivo studies was performed using the databases Web of Science®, Medline®, Scopus® and Google Scholar®. Articles published over the past 20 years were selected and data on the BAG composition and morphology was extracted. Analysis of the effect of specific BAG additives on the properties of experimental dental materials was also performed. Results A majority of BAG particles investigated were spheres ranging in size from 5 nm to 650 µm. Sol-gel BAGs are mainly applied in the treatment of hypersensitive dentine and for pulp-dentine tissue engineering, while a handful have been used in target drug delivery. BAG fillers are promising additives that result in improved biological properties, antibacterial effects, hardness, acid buffering and remineralization. Unfortunately, some detrimental effects on optical properties have been observed with BAG addition. Additionally, in vivo data, investigations into radiopacity and standardization of test protocols are identified as areas for improvement and further studies. Significance Future work should consider the pertinent issues raised in order to improve the quality of available data and expand knowledge in this area of dental biomaterials research and development.","Bioactivity, Sol-gel synthesis, Restorative dentistry, Dental material, Antibacterial, Cytotoxicity, pH, Ion release, Properties",,
"Kim K,Mascarenas A,Musgrave CB,Stansbury JW",Relocation and reinforcement of the adhesive/composite interface with spontaneous amine-peroxide interfacial polymerization,Dental Materials,2021,37,12,1865-1872,2021,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564121002785;http://dx.doi.org/10.1016/j.dental.2021.09.017,10.1016/j.dental.2021.09.017,"Objectives This study demonstrates a spontaneous redox polymerization process located at the adhesive-composite interface that precedes photocure of the composite with the intent to improve bonding. Methods An aromatic amine and benzoyl peroxide redox initiator system was partitioned between BAPO-photoinitiated BisGMA/HEMA adhesive and BisGMA/TEGDMA resin-composites. The composite was placed on the photocured adhesive layer with a brief delay before photopolymerization of the composite layer. Micro-tensile bond strength between the adhesive and composite was assessed in comparison with the non-redox active control materials. Results The presence of amine or peroxide in these resins without the redox initiation contribution enhanced both the rate and the final conversion of the BAPO-based photopolymerizations. Control formulations using redox-only initiation showed active polymer formation starting at approximately 30 s when physical mixing of the redox components was involved; however, simply by waiting 60 s between composite placement and photocure provided adequate time for passive interfacial diffusion of benzoyl peroxide from the pre-cured adhesive into the overlaid aromatic amine-containing composite such that a sufficient degree of redox initiated interfacial polymerization occurred prior to the composite photocure. The result was a significant increase in the adhesive to composite micro-tensile bond strength with the failure site moved away from the mainly interfacial failure noted for the control. Significance The stress-free autonomous pre-conversion of a redox-initiated thin film of composite that then provides a compositionally homogeneous interface for composite photopolymerization offers a means to enhance at least short-term bond strength between the adhesive and composite phases during restorative placement.","Dental materials, Composite restorative resin, Adhesives, Dentin bonding, Amine-peroxide redox polymerization, Interfacial polymerization",,
"Liu C,Eser A,Heintze S,Rothbrust F,Broeckmann C",Computation of the fracture probability and lifetime of all ceramic anterior crowns under cyclic loading – An FEA study,Dental Materials,2023,39,11,965-976,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S010956412300355X;http://dx.doi.org/10.1016/j.dental.2023.08.173,10.1016/j.dental.2023.08.173,"Objectives To predict the lifetime and fracture probability of anterior crowns made of a lithium disilicate glass-ceramic (IPS e.max CAD, LD, Ivoclar Vivadent, Liechtenstein) and a zirconia-containing lithium silicate glass-ceramic (Celtra Duo, ZLS, Dentsply Sirona, USA) under cycling loading. Methods Three-point bending tests were conducted to measure the viscoelastic parameters. These parameters are used to compute the residual stresses of the anterior crown after crystallization. In the next analysis, the cyclic loading on the anterior crown was calculated. Based on this combined stress state (residual stress and stress state due to external cyclic loading), the life cycle and fracture probability of the anterior crown was calculated using the CARES/Life software. Finally, fatigue experiments were carried out to compare and validate the results of the computations. Results Although a sound qualitative comparison of the lifetime of both materials can be done using this methodology, the calculated fracture probability of the anterior crown for both materials was very low in comparison with the fatigue test results using the fatigue parameters determined from the experiments. In order to achieve good correspondence with the experimental results, the SCG exponent n for both materials should be modified by a correlation factor of 0.38. Significance Using this modified computational strategy, the results of the time-consuming fatigue tests for dental glass-ceramics can be closely predicted. This methodology can be integrated into the development process of new glass-ceramic materials in order to save time and costs.","Dental glass-ceramic, Lithium disilicate, FEA, Viscoelasticity, Residual stress, Fatigue testing, Weibull theory",,
"Smith L,Ali M,Agrissais M,Mulligan S,Koh L,Martin N",A comparative life cycle assessment of dental restorative materials,Dental Materials,2023,39,1,13-24,2023,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564122003141;http://dx.doi.org/10.1016/j.dental.2022.11.007,10.1016/j.dental.2022.11.007,"Objectives Different types of direct-placement dental materials are used for the restoration of structure, function and aesthetics of teeth. The aim of this research investigation is to determine, through a comparative cradle-to-gate life cycle assessment, the environmental impacts of three direct-placement dental restorative materials (DRMs) and their associated packaging. Methods Three direct-placement dental materials; dental amalgam, resin-based composite (RBC) and glass polyalkenoate cements (GIC) are assessed using primary data from a manufacturer (SDI Limited, Australia). The functional unit consisted of ‘one dental restoration’ of each restorative system under investigation: 1.14 g of dental amalgam; 0.25 g of RBC (plus the adhesive = 0.10 g); and 0.54 g of GIC. The system boundary per restoration included the raw materials and their associated packaging materials for each DRM together with the processing steps for both the materials and packaging. The environmental impacts were assessed using an Egalitarian approach under the ReCiPe method using Umberto software and the Ecoinvent database. Nine different impact categories were used to compare the environmental performance of these materials. Results Dental amalgam had the highest impact across most of the categories, but RBC had the highest Global Warming Potential. The highest sources of the environmental impacts for each restorative material were: Amalgam, derived from material use; RBC, derived from energy use in processing material and packaging material; GIC, derived from material and energy use for packaging. Significance Less intensive energy sources or more sustainable packaging materials can potentially reduce the impacts associated with RBC and GIC thus making them suitable alternatives to dental amalgam.","Environmental impacts, LCA, Dental amalgam, Dental composite, Glass ionomer cement, Dental materials, Sustainability",,
"Crins LA,Opdam NJ,Kreulen CM,Bronkhorst EM,Sterenborg BA,Huysmans MC,Loomans BA",Randomized controlled trial on the performance of direct and indirect composite restorations in patients with severe tooth wear,Dental Materials,2021,37,11,1645-1654,2021,0109-5641,https://www.sciencedirect.com/science/article/pii/S0109564121002402;http://dx.doi.org/10.1016/j.dental.2021.08.018,10.1016/j.dental.2021.08.018,"Objective The study aimed to evaluate survival and failure behavior of Direct Composite Restorations (DRC) and Indirect Composite Restorations (ICR) on molars and anterior teeth, in a Randomized Controlled Trial (RCT). Methods Patients with generalized severe tooth wear were included, and randomly assigned to one of 2 protocols: (1) DCR: All teeth were restored with directly applied micro-hybrid composite restorations (Clearfil AP-X, Kuraray) for load bearing areas and nano-hybrid composite restorations (IPS Empress Direct, Ivoclar Vivadent) for buccal veneers; (2) ICR: First molars were restored with indirect composite ‘tabletop’ restorations and maxillary anterior teeth were restored with indirect palatal veneer restorations (Clearfil Estenia C&B, cemented with Panavia F, Kuraray). Remaining teeth were restored directly. Restorations were evaluated after 3 years, focusing on clinical acceptability. Statistical analysis was performed using Kaplan Meier curves, Annual Failure Rates (AFRs), and univariate Cox regression analyses (p < 0.05). Results 41 patients (age: 36.6 ± 6.6y) were evaluated after 3 years (40.0 ± 2.2 m). 408 restorations on first molars and palatal veneers on maxillary anterior teeth were part of this RCT, with 220 DCRs and 188 ICRs. No differences in survival between treatment modality for palatal veneers for any failure criteria were found. Tabletop restorations on first molars showed a considerable higher failure rate for ICR compared to DCR (p = 0.026, HR: 3.37, 95%CI = 1.16–9.81). Significance In this RCT, directly applied composite restorations showed superior behavior compared to the indirect composite restorations, when used in the molar region.","Tooth wear, Composite Resins, Operative Dentistry, Randomized Controlled Trial, Dental Restoration Failure",,
