http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/source,http://purl.org/dc/terms/abstract,http://purl.org/dc/terms/date,http://purl.obolibrary.org/obo/IAO_0000136,http://purl.obolibrary.org/obo/IAO_00001362,
406, Pediatric CAD/CAM applications for the general practitioner: part 2,S. M. Stines, Dent Today, ,2008,0,0,
417, Properties and applications of a new composite block for CAD/CAM,R. P. Rusin, Compend Contin Educ Dent, ,2001,0,0,
128, Effect of Decontamination and Cleaning on the Shear Bond Strength of High Translucency Zirconia,"S. Krifka, V. Preis and M. Rosentritt", Dent J (Basel)," (1) Background: This study evaluated the bonding performance of high translucency zirconia after diverse surficial decontamination and cleaning procedures. (2) Methods: High translucency zirconia (Lava(TM) Esthetic) specimens (2.0 mm × 20 mm × 10 mm) were exposed to different surface treatments prior to bonding to CoCr cylinders (d = 5 mm, height = 3 mm). All surfaces were sandblasted (40 µm aluminum oxide, 2 bar) and treated with alcohol (al), saliva (s), saliva + water (sw), or saliva + NaOCl + water (sn) before bonding was performed with the following adhesive luting systems: RelyX(TM) Unicem 2 (RX), Scotchbond(TM) Universal (SBU) + RelyX(TM) Ultimate (RU) or Monobond Plus (MP) + Multilink(®) Automix (ML). After 24 h, thermocycling (TC:12,000 × 5 °C/55 °C) and 90 days of storage at 37 °C in distilled water, the shear bond strength (SBS) was evaluated according to ISO/TS 11,405:2015. Failure modes along bonding areas were characterized. Means and standard deviations (n = 10 per group) were determined and statistically analyzed with one-way ANOVA/Bonferroni (α = 0.05). (3) Results: The SBS after 24 h varied between 3.5 (sRX) and 69.4 MPa (snMP + ML). Values from 0 (sRX) to 70.3 MPa (swRX) were found after TC. Data after 90 days of storage showed the lowest values for sRX (0 MPa) and the highest values for alSBU + RU (75.5 MPa). Adhesive failure was noted at all aging conditions. (4) Conclusions: SBU + RU or RX and MP + ML including saliva decontamination of the ceramic surface with water or NaOCl + water allow efficient bonding to Lava(TM) Esthetic.",2017,0,0,
526, Weak Fragment Crystallizable (Fc) Domain Interactions Drive the Dynamic Assembly of IgG Oligomers upon Antigen Recognition,"J. Strasser, R. N. de Jong, F. J. Beurskens, J. Schuurman, P. Parren, P. Hinterdorfer and J. Preiner", ACS Nano," Activation of membrane receptors through clustering is a common mechanism found in various biological systems. Spatial proximity of receptors may be transduced across the membrane to initiate signaling pathways or alternatively be recognized by peripheral proteins or immune cells to trigger external effector functions. Here we show how specific immunoglobulin G (IgG) binding induces clustering of monomeric target molecules in lipid membranes through Fc-Fc interactions. We visualize and characterize the dynamic IgG oligomerization process and the molecular interactions involved using high-speed atomic force microscopy, single-molecule force spectroscopy, and quartz crystal microbalance experiments. We found that the Fc-Fc interaction strength is precisely tuned to be weak enough to prevent IgG oligomerization in solution at physiological titers, but enabling IgG oligomerization when Fabs additionally bind to their cognate surface epitopes, a mechanism that ultimately targets IgG-mediated effector functions such as classical complement activation to antigenic membranes.",2020,0,0,
442, Restorative material options for CAD/CAM restorations,D. J. Fasbinder, Compend Contin Educ Dent," Advances in adhesive dentistry and technological developments using dental computer-aided design (CAD)/computer-aided manufacturing (CAM) systems have provided alternative esthetic restorations to conventional laboratory processed restorations. Restorative materials for CAD/CAM-generated restorations must be able to withstand the rigors of the milling process, while providing clinical longevity once cemented. The esthetic restorative materials currently available for use with the Cerec System provide dentists with ceramic and polymer options for inlays, onlays, veneers, and crowns.",2002,0,0,
173, Effect of Toothbrushing on Surface Color of Ceramic-polymer Materials: An In Vitro Study,"F. L. Pouranfar, R. Sheridan, C. Salmon and K. S. Vandewalle", J Contemp Dent Pract," AIM AND OBJECTIVE: The purpose of this study was to examine the effects of toothbrushing on the change in color of extrinsic characterization of ceramic-polymer materials. MATERIALS AND METHODS: Two ceramic-polymer materials (CeraSmart, GC; Enamic, VITA) and one lithium-disilicate material (IPS e.max CAD; Ivoclar Vivadent) were tested. Specimens of each material were prepared, characterized, and glazed per manufacturer's instructions. The treated surface of the blocks were then brushed in a toothpaste slurry with artificial saliva using a toothbrush machine with a soft toothbrush. Commission Internationale de L'Eclairage (CIE) L*a*b* values were recorded with a spectrophotometer at baseline and at 3, 6, 9, and 12 simulated years of brushing (7,300 strokes/year). A mean change in color (ΔE*) and standard deviation was determined for each group and brushing interval. Data were analyzed with a two-way repeated measures ANOVA examining the effects of toothbrushing the ceramic materials on ΔE* over time (α = 0.05). RESULTS: The difference in the ΔE* between CeraSmart and Enamic was significant at 3 years, while the differences between them were not significant at 6, 9, and 12 years of simulated brushing. The ΔE* of IPS e.max CAD was significantly lower than CeraSmart and Enamic at all time points (all p < 0.0001) except for the comparison with Enamic at 3 years. CONCLUSION: The extrinsic stains on the ceramic-polymer materials may be more susceptible to change from simulated toothbrushing compared to the lithium-disilicate material. CLINICAL SIGNIFICANCE: Toothbrushing may change the color of extrinsic characterization of ceramic-polymer materials. However, the change may remain clinically imperceptible to the naked eye (ΔE* > 1.0) for nearly 6 equivalent years of brushing.",2020,1,0,
26, Adhesive bonding to polymer infiltrated ceramic,"J. Schwenter, F. Schmidli, R. Weiger and J. Fischer", Dent Mater J," Aim of this study was to investigate the mechanism of adhesive bonding to the polymer-infiltrated ceramic VITA Enamic [VE]. Shear bond strength was measured with three resin composite cements: RelyX Unicem 2 Automix, Clearfil SA and Variolink II on polished surfaces of VE and its components silicate ceramic [SC] and polymer [PM] (n=12). Further, the effect of etching VE with 5% HF for 15-240 s and the application of silane coupling agents was analyzed in a screening test (n=6). Shear bond strength measurements were performed after 24 h of water storage at 37°C. Significant bonding to polished substrates could only be achieved on VE and SC when silane coupling agents were used. Etching of VE with 5% HF increased shear bond strength. Following silanization of etched VE, a further increase in shear bond strength could be established. Etching for more than 30 s did not improve shear bond strength.",2016,1,0,
3, [Comparative clinical evaluation of the prosthetic treatment quality of molars restored by chairside manufactured CAD/CAM crowns],"K. E. Goryainova, S. V. Apresyan, I. Y. Lebedenko and I. A. Voronov", Stomatologiia (Mosk)," AIM: A comparative clinical evaluation of the results of prosthetic treatment with chairside CAD/CAM crowns for molars made from hybrid ceramics VITA Enamic, blocks of feldspatic ceramics VITABlocs Mark II, blocks of leucite glass IPS Empress CAD. MATERIAL AND METHODS: The study involved 30 patients aged from 19 to 60 years old with defects in hard tissues of molars. For clinical evaluation we used 'Clinical criteria for evaluation of direct and indirect restorations' developed by FDI in 2007, which included the assessment of several aesthetic, functional and biological parameters. We also included 2 additional criteria indicators: the condition of the antagonist tooth and the hygienic condition of the prosthesis in comparison with the hygiene of natural teeth. All patients were randomized into 3 groups of 10 people. After the treatment the clinical quality assessment was carried out in the following time intervals: 30 minutes, 1, 6, 12, 18, 24 months after the fixation of the crown. RESULTS: Clinical evaluation of the results of prosthetic treatment of 30 patients with chairside CAD/CAM crowns made from three different materials did not reveal any significant difference in the clinical criteria for evaluation of direct and indirect restorations within 24 months.",2019,1,0,
510, The Micromorphological Research of the Internal Structure of Chairside CAD/CAM Materials by the Method of Scanning Impulse Acoustic Microscopy (SIAM),"K. E. Goryainova, E. S. Morokov, M. V. Retinskaja, F. S. Rusanov, S. V. Apresyan and I. Y. Lebedenko", Open Dent J," AIM: The aim of the present work was to compare the elastic properties and internal structure of 4 different CAD/CAM chairside materials, by the method of Scanning Impulse Acoustic Microscopy (SIAM). METHODS: Four chairside CAD/CAM materials with different structures from hybrid ceramic (VITA Enamic, VITA Zahnfabrik), feldspatic ceramic (VITABlocs Mark II, VITA Zahnfabrik), leucite glass-ceramic (IPS Empress CAD, Ivoclar Vivadent) and PMMA (Telio CAD, Ivoclar Vivadent) were examined by Scanning Impulse Acoustic Microscope (SIAM). RESULTS: The results of micromorphological research of CAD/CAM chairside materials using SIAM method showed differences between the internal structures of these materials. The internal structure of feldspatic and glass-ceramic samples revealed the presence of pores with different sizes, from 10 to 100 microns; the structure of polymer materials rendered some isolated defects, while in the structure of hybrid material, defects were not found. CONCLUSION: Based on the results obtained from the present study, in cases of chairside production of dental crowns, it would be advisable to give preference to the blocks of hybrid ceramics. Such ceramics devoid of quite large porosity, glazing for CAD/CAM crowns made from leucite glass-ceramic and feldspatic ceramic may be an option. For these purposes, commercially available special muffle furnace for clinical and laboratory individualization and glazing of ceramic prostheses were provided. Further studies are needed to confirm the evidence emerging from the present research.",2018,1,0,
205, Evaluation of the Adaptation and Fracture Resistance of Three CAD-CAM Resin Ceramics: An In vitro Study,"N. Naffah, H. Ounsi, M. Ozcan, H. Bassal and Z. Salameh", J Contemp Dent Pract," AIM: The internal fit and resistance to fracture of resin ceramics are to be evaluated compared to that of lithium disilicate as the control group. MATERIALS AND METHODS: Four groups of 20 crowns each (GC Cerasmart, Vita Enamic, Coltène Brilliant Crios, and e.max CAD) were cemented on identical metal dies. Marginal gaps were measured before cementation and load to fracture was applied after cementation, half of each group was thermodynamically aged (3,000 cycles of 5° to 55° immersion followed by 200,000 cycles of 100 N load), finally the crowns were loaded until fracture in a universal testing machine. Statistical package for social sciences (SPSS) package 23 was used for statistical work. RESULTS: Marginal gaps ranged between 68.5 ± 23.8 µm and 87 ± 29.1 µm while occlusal gaps ranged from 220.7 ± 33.3 µm to 275.5 ± 46.5 µm and were not significantly different between groups. Fracture loads ranged from 633.8 ± 127.3 N to 1596.4 ± 497.7 N with lithium disilicate glass ceramics (LDGCs) and Enamic having higher values than resin nano-ceramics (RNCs). The fracture resistance was more related to material than aging and gap value. CONCLUSION: The margin adaptation of resin ceramics was comparable to lithium disilicate with no significant difference. Lithium disilicate showed a higher resistance than resin ceramics and there was a higher resistance to fracture for polymer-infiltrated ceramic-network (PICN) than RNCs. CLINICAL SIGNIFICANCE: Resin ceramics can have marginal adaptation and fracture resistance within clinical acceptance; therefore, they can be a good chair-side solution achieved in a single appointment session.",2019,1,0,
